Tourist Attraction,Name,Rating,Date and criteria,Title,Review
University_of_Madras,Balasubramanian R,4.0 of 5 bubbles,Aug 2019,University of Madras,"university of Madras is one of the oldest university and proud got my postgraudation through this university. Is is located nearer to  Marina beach and with vast area. Different departments, library etc are functioning here.  I too worked as a part time employee, during my college days"
University_of_Madras,ST_INDIA,5.0 of 5 bubbles,Sep 2019 • Friends,One of the oldest university in India,This is one of the oldest university in India which is situated right opposite to the Marina beach and the building is like ones of the British era. This is surely the most prestigious university in Tamil Nadu one of the most popular ones in India.
University_of_Madras,Karpagavalli,5.0 of 5 bubbles,May 2018,onemore British era building,"This is one of the famous universities of the state and so vast with beautiful building,nice garden, and is overlooking the sea. "
University_of_Madras,vinodkhedkar,4.0 of 5 bubbles,Aug 2018 • Friends,Nice University,I happened to visit this place due to my friend who was studying there earlier. This university has a long history of education.Nice campus.
University_of_Madras,vasan224,5.0 of 5 bubbles,Aug 2018 • Family,public state university,"it was established in 1857, it is one of the oldest and premier universities in India.It is a collegiate research university and has six campuses in the city viz., Chepauk, Marina, Guindy, Taramani, Maduravoyal and Chetpet. At present, there are 73 academic departments grouped under 18 schools, covering diverse areas such as sciences, social sciences, humanities, management and medicine along with 109 affiliated colleges and 52 approved research institutions."
University_of_Madras,vijmail99,3.0 of 5 bubbles,Jan 2018 • Family,Huge campus,Huge campus and a prestigious institution. But foul smell due to the sewage flow nearby. Lot of trees. Prepare for a lot of walking.
University_of_Madras,s_ramsam,4.0 of 5 bubbles,Oct 2017 • Solo,British legacy,This landmark building in Chennai presently housing the university is a lovely legacy of the British era. Fine architecture and well located facing the sprawling Marina beach.
University_of_Madras,James H,4.0 of 5 bubbles,Sep 2017 • Business,Excellent Architecture,This is a huge rambling place to visit. It is one of the oldest universities in India (chartered in 1857) and it is a glorious collection of Indo-Saracenic architecture. I gave a talk here on my last visit and had the chance to poke into some of the incredible buildings. Do try to find Senate House if you have the time and image what it was like it its heyday.  It is lovely place for a stroll anytime. Perhaps a bit tatty around the edges but it has that magical sense of former students over the ages.
University_of_Madras,Rucha121,3.0 of 5 bubbles,Jul 2017 • Solo,Oldest University in India,"One of the oldest and prestigious institute in India for education, offers lots of courses - UG & PG and many colleges are affiliated to this. Located near Marina Beach,"
University_of_Madras,Anusuya D,4.0 of 5 bubbles,Aug 2017 • Solo,landmark at chennai,"old building of educational institutions. landmark at chennai , situated at beach road. santuary for students."
University_of_Madras,krish862,4.0 of 5 bubbles,Apr 2017 • Family,one of the oldest temple for education,"The university is world famous and very old . Even the construction , we can see best architecture available in those good olden days..Present maintainance is not good"
University_of_Madras,Perry Grinate,5.0 of 5 bubbles,Mar 2017 • Solo,must see for fans of Indo-Saracenic architecture,"Robert Chisholm's Senate House is breathtaking from the outside.  Walk inside (no-one stopped me) and a desolate picture of an interior populated only by birds opens up.  Other Indo-saracenic buildings to visit (I hired a tuk tuk for a morning for 800 rupees and did a round trip) are the railway station, Ripon Building, Victoria Hall and Bharat Insurance Building"
