Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Albert_Hall_Museum,Shashank Dixit,4.0 of 5 bubbles,Dec 2022 • Family,"Heritage, Historical & Highly Recommended Museum Of Pink City ""Jaipur""",The Albert Hall Museum in Jaipur is the oldest museum of the state and functions as the state museum of Rajasthan. The building is situated in Ram Niwas Garden outside the city wall opposite New gate and also Jaipur Zoo and is a fine example of Indo Sara Scenic architecture . It is also called the Government Central Museum.The museum building was designed by Samuel Swinton Jacob in Indo-Saracenic architecture with Rajput influences.Check out the review photos for the ticket prices and operating hours.
Albert_Hall_Museum,RajaAjay,4.0 of 5 bubbles,Nov 2022 • Business,Cool,Good visit to a historic place. We liked the gloriful atmosphere there. Nice and good places to see and memorize for reference. Was impressed by the amount of items they keep for viewing. Very knowledgeable and great remembrance it is. Nostalgic
Albert_Hall_Museum,Juliana S,5.0 of 5 bubbles,Oct 2022 • Couples,Romantic property ,It is a beautiful property with interesting artifacts exposed. I do recommend this place for history and architecture lovers.
Albert_Hall_Museum,Rakesh A L,5.0 of 5 bubbles,Oct 2022 • Family,Visit to Albert Hall Museum,We visited the Museum and were very impressed with the collection. The carpet collection and the weapons collection is amazing.
Albert_Hall_Museum,Vandana,5.0 of 5 bubbles,Oct 2022 • Family,A must visit,"The only place in India to house a real mummy. The carpets,wooden ,stone ,pottery collections  will definitely take your breath away."
Albert_Hall_Museum,JSarna,2.0 of 5 bubbles,Oct 2022 • Couples,Dusty Treasures,"A rich legacy of art & treasure - neglected underneath a thick coating of dust - is the only way to describe the Albert Hall Museum, Jaipur. A fairly good, eclectic collection - including an unexpected Egyptian mummy - the museum boasts of a sprinkling of antiques from around the world but is unfortunately being left to rot under dust & zero housekeeping. The only saving grace is the air conditioning. Highly recommend a spring cleaning of the exhibits"
Albert_Hall_Museum,Paramjeet Singh,5.0 of 5 bubbles,Sep 2022 • Couples,A must visit place in Jaipur,"Remarkable structure.. when lit-up in night, it looks mesmerizing.. The place is very easy to find, situated in centre of Jaipur. A lot of good eating options nearby"
Albert_Hall_Museum,Harshit S,5.0 of 5 bubbles,Sep 2022 • Family,It was a wonderful visit with a wonderful guide(Ram Mishra).#mustvisit,"It was a lovely day and we learn a lot about the museum.It was the oldest museum of Jaipur and the museum staff was very good amd the museum was also very neat and clean.I also inspired by our guide because he was very knowledgable,exploring and experince of 25 years at the museum and he also visit us entire Jaipur and his name is Ram mishra.We really enjoyed with him while travelling."
Albert_Hall_Museum,Frank,5.0 of 5 bubbles,Feb 2022 • Friends,Amazing place and Amazing guide,"We visited Albert hall museum in February 2022. Our guide was Mr. Ram Mishra and we were really fortunate to have him on board with us. Albert hall is a wonderful space offering a combination of history and art. I was mesmerized to see the shields with epics engraved, the sculptures of abhaneri and the mummy. With the help of our guide who was fluent in french and english, it became easier to understand everything. We were taken care of with utmost attention. Albert Hall museum is also very beautiful and we enjoyed every moment there!"
Albert_Hall_Museum,Sneha_Pingle,5.0 of 5 bubbles,Aug 2022 • Family,Collection of ancient artistic work from around globe,"Its a place which has lots and lots of artistic collection from fabric to pottery to stone work, gems.It also has a mummy kept for display.Take a guide to understand about each section and artifacts kept there. Guide charges are apporx 250 Rs."
Albert_Hall_Museum,VidPamsKris,5.0 of 5 bubbles,Jul 2022 • Family,Best museum ever,"The best place to visit in Jaipur is Albert hall museum. The collection is amazing and whats even more fulfilling is the fact that there is a description for each and every artefact (unlike city palace museums which is not worth at all). Additionally the entire museum is Air conditioned which was a relief in the sweltering heat...you can spend time here comfortably. Of all the sight seeing places, this is the best in Jaipur at a very minimal entry fee of Rs50 pp. Go for it !"
Albert_Hall_Museum,Murtazakarim,5.0 of 5 bubbles,May 2022 • Friends,History place,Very good time it is to visit this place. Full of people who come to see the monuments sculptures lots of historical things of Jaipur And rajasthan. Musemum is well kept and having lots of areas to explore see and remember. You need to have more time to visit this place
Albert_Hall_Museum,ajay,5.0 of 5 bubbles,Mar 2022,Excellent Museum,Loved the museum even the building can be considered as heritage itself the museum is a great and must-visit place in Jaipur.
Albert_Hall_Museum,Chayan Kanungo,4.0 of 5 bubbles,Jan 2022 • Family,Great place for love history,The Albert Hall museum Jaipur is Great place for those who have keen interest in historical things. You will get all the historical items and ancient time products and a lot of information about history. You can also find a mummy. It looks great during night.
Albert_Hall_Museum,DisplayName,1.0 of 5 bubbles,Dec 2021 • Couples,"Great Museum, Horrible Mask Enforcement","Admittedly I should have known better going to an indoor museum, but have to point out for others that very few guests were wearing masks, and despite signs posted staff were not enforcing and often not wearing masks themselves. Oddly enough the outdoor staff were all masked and asking others to do so. All that aside, the Museum is fantastic, wish we could have stayed to see more of it."
Albert_Hall_Museum,ShyamKasturi,5.0 of 5 bubbles,Dec 2021,Heritage building hosting historical items,Museum is well maintained and having good collection of historical items. It may take around 1hr to complete your visit. Mewar history is well explained here.
Albert_Hall_Museum,Gem testing laboratory,5.0 of 5 bubbles,Dec 2021 • Family,Beautiful Albert Hall,Beautiful place to visit in jaipur for family and kid with great knowledge and photography   location is wov must visit Albert Hall in Jaipur
Albert_Hall_Museum,TSD64,4.0 of 5 bubbles,Nov 2021,Lovely artifacts well maintained,"This is worth a visit if you are in Jaipur. It contains beautiful artifacts, both old and new which are mesmerising. The miniature paintings in Rajasthani style are really a feast for an eye."
