Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Colva_Beach-Colva_South,Ajanta S,2.0 of 5 bubbles,Dec 2022 • Friends,"Foul smell, over crowded","At this moment, Colva lost its charm. There’s fishing and drying of those fishes happening just near the beach, hence not for tourists. Benaulim which is just 2 kms away is better than this one. Colva is the one, you can skip while in south Goa."
Colva_Beach-Colva_South,Kilroy_Mariner,4.0 of 5 bubbles,Jan 2023 • Family,Clean beach with activities,"Colva beach in South Goa is by far one of the cleanest beach.Water / sand is clean.There are lifeguards around too.There are water sport activities viz parasailing, water ski, banana boat, ringo. boat.As is with all beaches, there are numerous shacks with loungers. "
Colva_Beach-Colva_South,Sanvi,2.0 of 5 bubbles,Dec 2022 • Family,Nice,Foul smelling..just near the beach..beach is beautiful.. must visited .. good parking.. beautiful coconut trees..
Colva_Beach-Colva_South,Ravikumar T,4.0 of 5 bubbles,Jul 2022,Crowded but nice... watch out for stray dogs !!,"Hello to all readers and to all staff @ Trip.I was here during 1st week July 2022. I was stationed at Hotel Sea Coin. A budget hotel next to the beach. I chose to stay here so that I can walk onto the beach when ever I wished. It was only 5 mins away. The beach was good and clean. Plenty of stray dogs , so need to careful. The beach is quite windy and it rained almost every day, I was there. Loads of options for eating and bars outside the beach. Tsk tuts and taxis available most of the time. Public transport ( buses) are scarce. I did see a lot of people on rented two wheelers roaming around. Lots of provision stores and one ATM wishing walking distance. I didi not see a pharmacy though. The beach was crowded at peak times. Maybe next time , I will try to go more south to visit Goa's beaches. North for partying. South for peace and quiet. Pics attached."
Colva_Beach-Colva_South,Manish B,5.0 of 5 bubbles,Jun 2022,Good Beach,Goa is a land of amazing beaches and this place is worth visiting. Neat and clean beach with lots of activities to do. Even you can spend some time eating the delicious sea food here. A must visit place in Goa.
Colva_Beach-Colva_South,Ria1104,1.0 of 5 bubbles,Apr 2022,Worst Experience in Goa,"We went to explore the beach for a day during our stay in the nearby Benaulim Beach. It had a proper watersports section but prices were too high compared to North Goa. I would strongly advise to try watersports in North Goa and not Colva as the prices are almost double in Colva.Being unaware of the price difference we tried out parasailing here and enjoyed it no doubt. It looked quite scary from outside but while doing it was super fun. With three dips it costed us around Rs 2000 per person (later in Calangute we found out that this could be done in and around Rs 1200 to Rs 1500 there). Also we decided to order from a shack and relax for a while in their sunbeds. This is where things got really bad.Firstly the attendant asked us how much drinks and food we are going to order. If it was above a certain amount only then he agreed to allow us to use the sunbeds. We ordered 2 feni and a crab dish, left our luggage at the sunbeds and went for a swim. After a few minutes the attendant literally went to the sea and called us out as he claimed that the food was getting cold. In all other beaches we had visited in Goa in that week, never were we called back from sea for any stupid reason. Usually the policy is once you order some item you can use the sunbed and enjoy in the waters as long as you want. I think our attendant basically wanted us to have our drinks and food and either leave or order more. He was not OK with us occupying the sunbeds for that long with our existing order. We were already irritated at this and decided to finish our food, clear the bill and go. During the bill clearing also there was another issue. The attendant had verbally told feni prices to be Rs 80 per peg earlier and in the bill he mentioned Rs 180 for 60ml of coconut feni. Now we were in Goa for almost a week and were fairly acquainted with the liquor prices there. Feni prices were never this high anywhere....even in fancy restaurants and this was just a shabby shack. When we pointed out this and reminded him of the price he mentioned before.....he got furious and denied his earlier statement. He even got into an argument with my boyfriend and attempted to punch him but was stopped by his colleagues. At this I was super annoyed paid the overcharged amount and took my partner out of the place.In most parts of Goa  guests were treated with utmost respect but not in the shacks of Colva. Not only with us, I even saw another group of bachelors getting unnecessarily harassed by another shack attendant. So if you are a tourist I would advise you to stay as far as Colva shacks as possible. Also the beach here was the most crowded in South Goa. I did not feel safe swimming in my one piece swimming costume over here due to the constant irritating glances from a group of guys even though I was with my partner. Better to try out the Benaulim Beach instead of Colva Beach for a relaxing and far more peaceful experience both in terms of a swim or the shacks. This is my third time in Goa and honestly nowhere were we treated like the way we were treated in Colva. Never will I return to this beach again."
Colva_Beach-Colva_South,Tintu Varghese,3.0 of 5 bubbles,Jan 2022,Crowded beach,Colva beach: This is a crowded beach with a lot of beach shacks and local vendors. Take a walk to the end of the beach to escape the crowds and watch the beautiful sunset.
Colva_Beach-Colva_South,CHETANsurat,5.0 of 5 bubbles,Dec 2021,Supb Beach,Supb beach in south goa. clean nice place.Many veg non veg hotel near beach.Nice food available near beach.
Colva_Beach-Colva_South,Pramanan,4.0 of 5 bubbles,Dec 2021,good beach for walks,not as calm as benaulim but still not so crowded especially early morning.  authorites can maintain it better
Colva_Beach-Colva_South,Yash Kataria,5.0 of 5 bubbles,Jan 2021,Clean Beach,"One of the cleanest beach in Goa. Best place to visit with your friends and family. Calm and peaceful atmosphere with splendid scenery.For bookings or query contact:Kataria Holidays+91 9665518776, +91 7559468385"
