Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Gorai_Beach,Rani75,4.0 of 5 bubbles,Jan 2021,Picnic Spot,Clean beach...can take a long walkhorse ridingsunsetdrivefoodATV rideBeach is neat and cleanIdeal for picnic
Gorai_Beach,richanish,5.0 of 5 bubbles,Nov 2020 • Family,Secluded beach where you can take your ride,Approach to beach is good but a bit narrow. The sand is black and there is a lot of garbage floating in the water. Very few food stalls available so it's better to bring your own food. The only positive is that you can drive your car or bike on the beach and have some fun. There's nothing else that you can do over here. 
Gorai_Beach,S D Chandra,1.0 of 5 bubbles,Oct 2020,Fraudulent Cheating Locals. Dirty Beach,"Dirty beach. Cheating LocalsOur car got stuck in beach sand. The locals demanded 5000 rupees to pull out. We found a crane operator who would help for 500, they threatened him. The lifeguards were corrupt and refused to help. Ultimately we had to shell out the amount. It is a dirty beach and greedy and cheating locals are out to make a quick buck. They charged us 50% money at liquor shops as well. Nightmare in times of Corona. Hate this place"
Gorai_Beach,Menka Singh,4.0 of 5 bubbles,Feb 2020 • Friends,Refreshing place,I have being to gorai beach many time it is less crowded and it has some stall for food not many like another beaches. Water is clean and the environment is very nice with fresh air and positive vibes. Must visit with your family and dear ones 
Gorai_Beach,Yash Vasani,5.0 of 5 bubbles,Feb 2020 • Family,Gorai Beach 🏖 ,Nice place to visit with your family and love ones. You will feel that your not in india you have come to some another country differet environment not like the rest.. even you take ur bike or car on a beach even u can stay there over there u can alot of hotel to stay to change.. the best movement is you feel there u can even drive your car or bike over a water the surface is hard
Gorai_Beach,Soumyajit Saha,4.0 of 5 bubbles,Aug 2019 • Solo,Gorai Beach,Gorai Beach is a pristinr beach in Mumbai. One should definately visit this beach while staying in Mumbai.
Gorai_Beach,Peperon,4.0 of 5 bubbles,Sep 2019,Wonderful beach,"Very clean Beach at all. I went on a day time, I had a wonderful time at this beach.Also I love the food on the beachside"
Gorai_Beach,Cedric N,4.0 of 5 bubbles,Dec 2018 • Family,A popular day trip destination for Mumbaikars,"Had been to this beach in Gorai a long back ago. This beach is a popular destination for Mumbaikars.This beach is good for a one day picnic. It is lined with palm trees and small houses. It also has a few stalls selling street food, Golas, corn on the cob etc. However, some say it is a clean beach. But due to increase in local tourists, this beach gets filthy and dirty as they start littering on the sand. This beach is black in color. It offers sunset views. Had enjoyed having fun in the waves and collecting seashells as a child.This beach is an ideal place for families, couples as well as friends."
Gorai_Beach,aamchi.m,3.0 of 5 bubbles,Sep 2019 • Friends,Reviews,It's  located in uttan you can come here with your friends and family  to have enjoyment or to celebrate something .In this beach you can find lillte food stalls and cafe restro for eatries . The best time to visit this beach at evening to watch the beautiful sunset but at the weekend this place is very much crowded with people 
Gorai_Beach,Nikhil P,4.0 of 5 bubbles,Aug 2019,Clean beach,"One of the least visited beaches by outsiders in Mumbai sub urban regions, it’s far cleaner and remains less crowded as compared to its popular counter parts like Juhu beach. Only sour point is that returning back is a pain as you need to find auto for same."
Gorai_Beach,Ritul Chirde,5.0 of 5 bubbles,Jan 2019 • Family,Clean and maintained,The gorai beach in Gorai village is one of the well maintained beach in mumbai .can come by roadways from bahyander and also by jetty/ship from gorai. Its not much crowdy. The lifesavers have a constant walk to see whether all's going good. Food stalls are also available.
Gorai_Beach,Kiran R,4.0 of 5 bubbles,Apr 2019 • Family,Beach weekend,"My family along with my niece and nephew we went for a weekend beach trip to Gorai. Being exam time, there was hardly any crowd. As such, whenever I had gone, I never found beach crowded. You can reach there by road via bhayander. The road is good and after Bhayander you get the village feeling. Another great thing about the beach is you can park right on the beach. There are good shacks offering good food and beer. Beach is clean and safe. So nice place for family outing."
Gorai_Beach,meena1981,4.0 of 5 bubbles,Apr 2019 • Friends,safest and cleanest beach of India,"It is one of the safest and cleanest beach of India.It has ample space for picnic,ride bikes, ride camel or go inside sea for a boat ride.Couples prefers this beach due to lots of resorts, cottages available too.It is a lovers point beach .The beach is beautiful and easy accessible from both Borivali .The Ferry ride makes it exciting too.Enjoy cool breeze, Lay down on wide open space under green trees shades or at a beach front resort and keep munching food items available like Baraf Golas, Chana Masala, Bhek Puri & Pani Puri etc."
Gorai_Beach,analytic10,4.0 of 5 bubbles,May 2019 • Couples,Great location for a picnic,Went there after many many years. On a weekday morning. Very peaceful and uncrowded. Did not swim in the beach because has some thoughts of water being maybe not perfectly clean being so near Mumbai. Sand was darkish beige - could be natural colour. Sat in a shack inside hotel grounds (Picksy Hotel) with a beautiful view of the beach. Driving on the beach is allowed and is great fun
Gorai_Beach,Anitraveller,3.0 of 5 bubbles,May 2019 • Couples,Gorai beach,This beach is clean and better than juhu beach. Do not go during at afternoon as it’s very hot. You may go during evening and enjoy stalls around
Gorai_Beach,Hitesh S,5.0 of 5 bubbles,Jan 2019 • Family,sea Beach,"in the area called Mald and borivali, nice beach  not so clean water, its full day, free,enjoy walking on beach play games on beach some activity."
Gorai_Beach,M A,4.0 of 5 bubbles,Feb 2019 • Friends,Clean and perfect beach,Gorai beach is one of the cleanest beach in Mumbai. Horse riding is so famous in this beach... lots of fun.
Gorai_Beach,Rygly2322,5.0 of 5 bubbles,Mar 2019,OYO 12693 MANORI RESORT,"great place to spend time with friends & family and got a great deal with MMT as well, the rooms are very clean & also the best part is that the pool is open till 9:pm which makes it so relaxed feel, the food also is really great, 10 minutes from the beach and close to restaurants outside as well"
