Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Leo_Splash,jainms,5.0 of 5 bubbles,Mar 2019,Water sports,"this water sport is good and neatly maintained the water quality, day outing with food and games enjoyed a lot. "
Leo_Splash,LostMySelfTraveling,5.0 of 5 bubbles,Feb 2019 • Family,Kids love to dance in rain and mini slide,It's an awesome place for those who love to dance in the rain and music. Wonderful music. Kids really love the mini slides as it is lot of fun. My kid didn't want to come out of the shower and kept on sliding. It's small and safe for kids. Overall its a great experience for kids 🧒
Leo_Splash,SRIKAKOLAPU,5.0 of 5 bubbles,Aug 2018 • Couples,enjoyable,Its enjoyable over here with DJ and rain dance that is available.Mini slides to enjoy for kids and adults.We have outdoor games as well to play and provision to play indoor games as well
Leo_Splash,idea614354,4.0 of 5 bubbles,Apr 2019 • Friends,musty time,a best time spending time for kids in holidays they will enjoy water rides and mechanical rides. pools also available.
Leo_Splash,mail2mathews96,4.0 of 5 bubbles,Jun 2018 • Family,Leo Splash,Leo Splash nice place to enjoy the waterpark if we book in group we get in good discounted rate the park is well maintained as well good to enjoy
Leo_Splash,shivaraikod,4.0 of 5 bubbles,Aug 2018 • Friends,Good place to hand out,The place is neat and clean and I along with my colleagues had a wonderful time by splashing out in water all the time. 
Leo_Splash,TADAKAMADLA A,5.0 of 5 bubbles,Jan 2018 • Business,Good Picnic Spot,Leonia is very good place for weekend enjoyment with friends and family. The pool in the resort is very big and maintained neatly.
Leo_Splash,Sukanya D,5.0 of 5 bubbles,Aug 2017 • Friends,Nice water park. ,An awesome place for a group of people. The water park is well maintained. There are few rides. I went there wid my colleagues and enjoyed a lot. 
Leo_Splash,Prasad,4.0 of 5 bubbles,Nov 2016 • Business,Enjoyed the place,We have gone to leonia resorts on a Business trip. The place was clean and good. For parties and functions it is a good place. Pool side and gaming movies night parties everything is good here.Enjoyed a lot with coligues. 
Leo_Splash,BRKanth,4.0 of 5 bubbles,Mar 2017 • Business,Well Maintained,Best place for water sports. Pool is well maintained and high end resort. Not much crowded as well...
Leo_Splash,renu_73,5.0 of 5 bubbles,Sep 2016 • Family,A high end boutique resort.,"Went there with the kids for the weekend.It is a high end resort with some exciting stuff for the young crowd.Has a few pools so is not overcrowded.Excellent food,a restaurant with tables in the water where you feet are immersed in water a little above the ankle where you enjoy a peaceful dinner.The crowd is majorly those who come to spend the day, so the evenings are not very crowded and is peaceful."
Leo_Splash,Sisdahl,4.0 of 5 bubbles,Jan 2017 • Family,"Nice, and not crowded","Fair price, clean service and food, and orderly conduct, not like the overcrowded other parks.Remember sunscreen, not availeble."
Leo_Splash,BharatKumarKondru,4.0 of 5 bubbles,May 2017,Well maintained swimming pool,Very well maintained swimming pool with fun games. Very helpful staff. Well organised activities for kids.
