Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Metro_Railway,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,The country's oldest metro,"First conceived a century ago, the Kolkata Metro is the country's oldest Metro system, and something which you should certainly try out."
Metro_Railway,AVIDTRAVELLER53,5.0 of 5 bubbles,Oct 2022 • Couples,Lucknow Metro Railway - for fun & for the environment,"We took a family member’s suggestion to take the Metro from LKO airport. It was very good. Took just about 35 minutes. Price: just Rs50 per person!!!Clean, plenty to room, wheelchair availability, feeling to safety and security, helpful and proactive staff - it was a good experience.Must promote this mode of transportation for the sake of the environment and convenience."
Metro_Railway,Amod,4.0 of 5 bubbles,Apr 2022,Still going strong,Travlling by the Metro is a unique experience. Despite being over 4 decades old the Metro is still in good shape - perhaps got modernised in the past few years. It offers q quick connection between key places and keeps you away from the maddening traffic of the city. A 30 min. ride from Maidan to Dakshineswar costed us Rs. 20 per head.
Metro_Railway,Banshidhar S,5.0 of 5 bubbles,May 2022,Metro Railway,"The Kolkata Metro (Bengali: কলকাতা মেট্রো) is a rapid transit system serving the city of Kolkata in West Bengal, India. As of February 2021, it has two operational lines, a 31.36 km (19.49 mi) line from Dakshineswar to Kavi Subhash and a 6.9 km (4.3 mi) line from Salt Lake Sector V to Phoolbagan, for a total of 38.26 km (23.77 mi). Four other lines are in various phases of construction. The system has a mix of underground, at-grade and elevated stations using both broad-gauge and standard-gauge tracks. Trains operate between 07:00 and 22:30 IST and the fares range from ₹5 to ₹25.The Kolkata Metro is the first planned and operational rapid transit system in India. It was initially planned in the 1920s, but construction started in the 1970s. The first underground stretch, from Bhawanipore (now Netaji Bhawan) to Esplanade, opened in 1984. Line 2, or the East–West Corridor, opened in 2020. It is the fifth-longest operational metro network in India after the Delhi Metro, Hyderabad Metro, Namma Metro and Chennai Metro.Metro Railway, Kolkata and Kolkata Metro Rail Corporation are the owners and operator of the system. On 29 December 2010, Metro Railway, Kolkata, became the 17th zone of the Indian Railways, completely owned and funded by the Ministry of Railways. It is the only metro in the country to be controlled by Indian Railways. There are around 300 daily train trips carrying more than 700,000 passengers."
Metro_Railway,Rahul,5.0 of 5 bubbles,Apr 2022,India's oldest metro and still in service,"The Kolkata metro is India's oldest metro and the best part is, it it not just still in service, but also maintained spick and span despite all the crowds. Platforms and compartments are both clean and trains run on time. Definitely worth a one time travel just to evoke fond memories."
Metro_Railway,Swarnamanojpanda,5.0 of 5 bubbles,Dec 2021,"Dakhineswar,Kalighat,Esplanade,Park street",Best service providing Metro railway to kolkata public as well as to tourist. Metro train was completely central AC which is the best part.
Metro_Railway,Parwathi H,5.0 of 5 bubbles,Jan 2020,Efficient Metro,The Metro in Kolkata is the oldest metro that has been running in India. We had the occasion to use the services and found it very efficient
Metro_Railway,Sayak Roy Chowdhury,5.0 of 5 bubbles,Mar 2020 • Solo,Fastest Communication Mode in Kolkata,It is the fastest form of communication in kolkata connecting from North to South and east to West every 2 mins there is a train
Metro_Railway,Pritam Bhattacharjee,5.0 of 5 bubbles,Oct 2019,One of the best in the country.,The oldest Metro Service in the country. This is the most popular means of commute for all travellers within the city and of greatb service to office going people. The metro service is also undergoing an expansion and shall cover the entire Kolkata Metropolitan Area.
Metro_Railway,Rasputin21,3.0 of 5 bubbles,Feb 2020,Not as good as the Delhi Metro,"The Calcutta Metro must be older than the Delhi Metro.  It is dingy and dark.  The Metro is only for able bodied people.  The old, infirm and handicapped cannot manage the many steps.  There are a few escalators, but to access them you have to climb stairs!!Signs could also be clear in English.There are generally only two ticket counters and it is difficult to hear what the sellers say because of the ambient noise.If you can figure out the system and the exit gates then it could be an advantage to use the Metro  rather than getting stuck in the heat in the traffic jams.  It is a cheap way to travel at Rs5 per station."
Metro_Railway,good-living-montreal,5.0 of 5 bubbles,Jan 2020,Great and Easy Way to Commute,"We were very happy with the Kolkata metro. It can be somewhat crowded in rush hour times, but it brings you to the right place without getting stuck in traffic. The drawback is that you have to buy per trip a token, instead of having a pre-paid card system. In rush hour, the ticket counter can be very busy and there is a long Indian ""line""."
