Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Humayun_s_Tomb,SEEDJEN,5.0 of 5 bubbles,Feb 2023 • Couples,A beautiful & impressive heritage site,"This tomb of the Mughal emperor Humayun, an almost 500 year old UNESCO site is a very impressive place in scale  and design. You will marvel at the skilled craftsmanship of the work on show in trellis stone lattice windows & geometric designs, and ingenuity of the Persian architecture of Mirak Mirza Ghiyas. It is set in a large garden with some very old trees dotted around creating an oasis of peace juxtaposed with the busy city streets outside. There are other interesting structures to visit in the complex."
Humayun_s_Tomb,David D,5.0 of 5 bubbles,Jan 2023,The first of the great Mughal era tombs.,"Humayun inherited the Mughal Empire, then lost it, fled into exile with his wife and a small group of soldiers, made friends with the Safavid Shah of Persia and traded a priceless diamond for an army, which he then used to take his empire back. He trusted everyone around him and nearly everyone betrayed his trust, but despite his trusting nature, he died the prosperous ruler of one of the largest empires on earth at the time. His wife went on the Haij pilgrimage to Mecca and then built this tomb in his honour from her own treasures. The tomb complex is also historically important in that it was where the last Mughal Emperor was actually captured by the British in 1857. The tomb complex also houses other tombs, such as those of Isa Khan, who predated Humayun’s rule in Delhi."
Humayun_s_Tomb,Ambassador435631,5.0 of 5 bubbles,Dec 2022,Beautiful monument,"A very beautiful monument, so huge, the grounds are beautiful as well. We could have easily spent 3-4 hours marvelling at this wonder. Don't miss this!"
Humayun_s_Tomb,Hanzik von Tutenschwarz,5.0 of 5 bubbles,Jan 2023,Baby Taj Mahal that's worth the price,"Very interesting experience. The area is quite well maintained. Takes around an hour or two to walk around. You can go all the way inside the tomb. Around 50 Rs for locals, 600 Rs for foreigners (I think it's 550 Rs if you buy the ticket online, but I don't know where you can do that). You can take everything with you, there seems to be no restrictions on cameras and bags.Combined with a visit to the Sunder Nursery across the street, this was a lovely afternoon."
Humayun_s_Tomb,Shil P,4.0 of 5 bubbles,Dec 2022,Great history,Such beautiful grounds that we didn't realize the importance of and almost didn't stop to see. I highly recommend paying a little extra for one of the official tour guides. The history of the moghuls who came to India and this site being the inspiration for the Taj Mahal was just amazing. Highly recommend this on your tour of Delhi.
Humayun_s_Tomb,Anika S,5.0 of 5 bubbles,Dec 2022 • Family,A monument built by Emperor Humayun's wife in his memory.,Humayun's tomb is the tomb of the Mughal Emperor Humayun .It is a monument built by his wife in his memory. It is UNESCO world heritage site and was built before the more renowned and another famous Mughal monument Taj Mahal. It's ay Nizamuddin area near the mosque opp Sunder Nursery.
Humayun_s_Tomb,Majdalina,5.0 of 5 bubbles,Dec 2022 • Friends,Beautiful,Taj Mahal precursor - with over 100 tombsGo before 4:00 PM because some gates inside close by 5:00 PM although it remains open to visitors
Humayun_s_Tomb,Sarah Afker,5.0 of 5 bubbles,Dec 2022 • Friends,Oh the architecture ,"This is a breathtaking mausoleum in the hub of Central Delhi. The architecture is splendid and I would recommend carrying water and being wary of fake guides and pick pocketers. This is a must see when in Delhi, nothing quite made my trip than the visit to the Humayun's Tomb"
Humayun_s_Tomb,singhasam,4.0 of 5 bubbles,Nov 2022,The first garden tomb on the Indian sub-continent.,"THIS is the tomb of the Mughal emperor Humayun.It was built in 1570, is the first garden tomb on the Indian sub-continent and the site is a Unesco World Heritage monument.When you arrive you walk into the site through an archway flanked by trees.Visitors then walk down a stone drive towards the main tomb area which can be viewed on several levels.Times are different post-Covid and all the waterways around the site which used to be full are currently empty on Government orders as part of efforts to combat the virus. You have to imagine the tinkle of water or the look of reflections.The main white marble dome is impressive and rises more than 150ft.It is possible to climb very steep stone steps to get out on to a terrace overlooking the gardens, but be warned. There are handrails but the climb needs care particularly if you are elderly or disabled.Inside the main building itself are several tombs with graceful stone and marble work and fretted stone windows.The structure is a combination of Persian, Turkish and Indian architecture and was commissioned by Humayun's first wife and consort, the Empress Bega Begum.Keep an eye out when you wander round the gardens because a wealth of birdlife lives there. I even saw a Brown Kite come down to drink at a point where lawns were being watered.A very peaceful place and well worth a visit."
Humayun_s_Tomb,Woodstag,4.0 of 5 bubbles,Oct 2022,Great Mughal Tomb Garden Place to visit,"Interesting place to visit and explore this first garden Mughal tomb built in memory of his wife and inspired several major architectural innovations, culminating in the construction of the Taj Mahal and other Mughal architectures. Great place to walk around and having a guide to explain the history."
