Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mystery_Rooms,sharmas17344,5.0 of 5 bubbles,Jan 2023,Fun activity,"Really enjoyed solving the mystery... It is a real fun way to get away from daily hustle... get into the theme, and think like a detective. Will surely visit again :))"
Mystery_Rooms,sachinyadav522,5.0 of 5 bubbles,Jan 2023,It was great experience,It was really hard and entertaining experiece a must do experience. Themes were really great. Will visit again soon 
Mystery_Rooms,aadi2312999,1.0 of 5 bubbles,Dec 2022,Unable to understand the concept,Its just waste of time and money. I suggest you to invest this amount somewhere else. Per head amount is very high. Value they are providing is very less. 
Mystery_Rooms,singhbulika04,5.0 of 5 bubbles,Jan 2023,Murder mystery,Excellent . It was awesome experience. Puzzles were very nice n trucy. We also made reels at last. It was fun overall.
Mystery_Rooms,sakshamgupta26,5.0 of 5 bubbles,Dec 2022 • Family,Best experience,It was my first experience I liked it the most. I would prefer it to my friends and siblings. And i want to be come again .
Mystery_Rooms,shreyasharma_aug15,5.0 of 5 bubbles,Dec 2022,Amazing experience,It was an amazing experience with friends. Small birthday celebrations can also be done there. Puzzles were really good.
Mystery_Rooms,ris04hit,5.0 of 5 bubbles,Dec 2022 • Family,Fun at mystery room,It was really fun at mystery room. Different locks to open and different types of puzzles to be explored. Though I find it little costly but still it is fun!
Mystery_Rooms,someonewhovisitsalot,4.0 of 5 bubbles,Dec 2022 • Family,Great fun,"It was really fun. The room, the props, the clues, everything was great. I will try each and every room. It is great fun."
Mystery_Rooms,shnitish,5.0 of 5 bubbles,Nov 2022,Fun but expensive,"Puzzles were very good and they also give hints if you are stuck, but the ticket price is too much in my opinion. They can make it a bit affordable :)"
Mystery_Rooms,NeelRai6,5.0 of 5 bubbles,Nov 2022,Cabin in the woods,This was a nice place to visit with friends as it requires teamworkOverall good place for childrenAnd if you play any of the map decode even the smallest things 
Mystery_Rooms,soumildhingra,5.0 of 5 bubbles,Nov 2022,Soumil,"It was very fun, went with my friends and it was a very good experience for all of us. We played Cabin In The Woods"
Mystery_Rooms,devansharora072010,1.0 of 5 bubbles,Oct 2022,It was very bad .It was not the worth of 900 rupees,It was not the worth of 900 rupees it was the worst I hav ever played.pls try to improve aar I will not come next time
Mystery_Rooms,guptarippy,5.0 of 5 bubbles,Oct 2022 • Family,Fantastic,The mystery was Very interesting and time using concept..kids enjoyed alot..even we have small kids also
Mystery_Rooms,nidhiprasadcs,5.0 of 5 bubbles,Oct 2022 • Family,Best games,I really liked the concept. Children really had fun and it helps in using their  cognitive skills and learning.its a mast paise vasool
Mystery_Rooms,vinayvashisth,5.0 of 5 bubbles,Oct 2022,Very Decent Place for group of friends,Very fun place to hangout for a quick fun tour.There are many different story mode available. Inferno was the hardest out there and we managed to complete it by 80%.Time Well SpentI'll recommend this to everyone 
Mystery_Rooms,prisheeta22,5.0 of 5 bubbles,Sep 2022,Amazing,It was really exciting and enthusiastic experience. Would love to revisit and enjoy again. Thanks a lot!
Mystery_Rooms,adarshbhagat142,5.0 of 5 bubbles,Sep 2022,Great Experience,It was an amazing experience. It was our first time and we enjoyed a lot. Working together to solve the puzzles. It was fun.
Mystery_Rooms,manormagairola1995,3.0 of 5 bubbles,Aug 2022,The hurt Locker,"This was my first time to visit mystery room, it was little bit difficult to solve puzzles but interesting to found the clips, we enjoyed."
Mystery_Rooms,aksheya07,5.0 of 5 bubbles,Aug 2022,Very nice, really great experience of real life escape  game with my friends  . Had a great experience in my mystery room... this very unique and owsm game....
Mystery_Rooms,arorakhushi11072011,5.0 of 5 bubbles,Jun 2022,It was great! I really liked it,It was great and fun the clues were amazing it was a bit hard but we got it almost through the end :)
Mystery_Rooms,Tadbeer13,4.0 of 5 bubbles,Jun 2022,Amazing experience,"In short, It was a great experience. All the members are very kind and sweet.Will visit again for sure!!!"
Mystery_Rooms,aanchaladv,3.0 of 5 bubbles,Jun 2022,Everything was great,Everything was great except the ticket price they are charging too much.. else it was a thrilling experience. Ticket price shall be less. Can also add some food stalls near the place. 
Mystery_Rooms,sarthakbohidar2310,5.0 of 5 bubbles,Jun 2022,great fun,"Great fun, lots of fun themes to choose from, a mystery at every difficulty level to solve, the feeling of solving mystery is out of the world"
Mystery_Rooms,akansha3804,4.0 of 5 bubbles,May 2022,My experience,My experience inside the mystery room was great. It was a real life escape challenge. The only thing due to which I deducted one star is the price. The cost is too high for each person also and the extra time cost is also very high. 
Mystery_Rooms,Vipin Kundnani,3.0 of 5 bubbles,May 2022 • Family,Not sufficient time,When in any game the time described in 1 hr. then why do you sell extra time to complete the remaining part ? I mean if you already know the game length is 75 minutes then why you given 60 minutes ? You sold 15 minutes time for extra Rs.500. Or you should shorten the length. I mean Rs.900 each ticket for 1 hr. is not enough for you. You play tricks to charge extra during the game.
Mystery_Rooms,manavahlawatxd,4.0 of 5 bubbles,Apr 2022,One of the best experience!!!,"Look , mystery room is a nice concept if you want to spend good time with your friends. Just go for it !!! "
Mystery_Rooms,A200723,3.0 of 5 bubbles,Apr 2022 • Family,It was way too expensive for the duration,"The visit was way to expensive, I’d want to go again but I’d prefer not due to the price hike. The last price was a lot less than now."
Mystery_Rooms,TeamNewDelhi,5.0 of 5 bubbles,Apr 2022,Prison Break Escape Room,Our group had a fun time in the prison break escape room. There were a variety of puzzles to solve. The team at Mystery Rooms did a good job.
Mystery_Rooms,ayushimittall,4.0 of 5 bubbles,Apr 2022,Great Experience,Overall it was a great one hour experience of solving the mystery as well as the staff is so nice there ..loved the experience nd would love to visit sometime soon to solve some new mystery!
Mystery_Rooms,Sayyam2000,1.0 of 5 bubbles,Apr 2022,Total Waste of Money and Time,"It was a Terrible experience and total waste of money and time . It is highly over charged,I recommend don’t go there "
Mystery_Rooms,Chhavi2022,5.0 of 5 bubbles,Apr 2022 • Family,Amazing,We went in a group for birthday 🎂. We all had lot of fun and a new and unique experience. Thank you mystery rooms rajouri garden. 
Mystery_Rooms,manochania788,3.0 of 5 bubbles,Feb 2022,average,give everyone free money and provide free medals everyone will then love to come there and help in mysteries
Mystery_Rooms,maninder1107,5.0 of 5 bubbles,Mar 2022,Great Concept,"The experience was really great however, it is a bit costly. If they would have given 1.5-2hrs at the same price it would have been more reasonable. I visited the mystery rooms with my friends at Rajouri garden."
Mystery_Rooms,812ros,4.0 of 5 bubbles,Mar 2022,Abduction,"The theme was perfect, though the locks were not that good. Even after knowing the right code it took 10 mins just to open the lock which is waste of time. Also, the Hints were not that good. Most of the hints we got were the things that we already completed."
Mystery_Rooms,nidhi55333,2.0 of 5 bubbles,Mar 2022 • Family,review,its too expensive as per games the prices should be kept reasonable such that it will be called worthy visit and time should be provided as per difficulty level as after half completing the task you ask for money for extra time required
Mystery_Rooms,vatsvaaruni,3.0 of 5 bubbles,Mar 2022 • Family,concept is ok.,Too costly for the given experience. Overall New one for Indian folks. Small kids don't enjoy it. Gud for teenagers 
Mystery_Rooms,manya871,3.0 of 5 bubbles,Mar 2022,Entertaining,It was definitely very interesting and new . Since I had visited it before I would say that my visit last time was a bit better but this was also great. Though it sometimes seems that when you are occupied the times run very fast.😅
Mystery_Rooms,smaksh2008,1.0 of 5 bubbles,Apr 2021,it was $hit,the machine was broken everything had a very bad quality the workers didnt know what to do the mystery was very easy 
