Tourist Attraction,Name,Rating,Date and criteria,Title,Review
The_Anna_Centenary_Library,Bupa,5.0 of 5 bubbles,Apr 2022 • Family,Heaven for Book lovers.,Amazing place with lots of books. Definitely a big salute to kalainar. Every time I feel excited when Ithe collection of books and ambience of surroundings.
The_Anna_Centenary_Library,vijay c,4.0 of 5 bubbles,Jan 2020,Best library in Chennai,Anna centenary library in Chennai is the biggest library in Asia. It houses vast collections of ancient manuscripts. Good resources for students preparing for competitive exams
The_Anna_Centenary_Library,Ansi,5.0 of 5 bubbles,Jan 2020,very interesting,definetely worth to visit. you can spend here a day and it seems to be minutes....We would definitely go again if we could. recommendable
The_Anna_Centenary_Library,LostMySelfTraveling,5.0 of 5 bubbles,Jan 2019 • Family,Superb library,"It's an awesome library with lots of categories including children. You can study comfortably, peacefully. There is a facility for visually challenged or visually impaired. So it's a must visit place for the people who love."
The_Anna_Centenary_Library,Sai B,5.0 of 5 bubbles,Oct 2019,Excellent Library,"Excellent library with lots of books, Build by Former Chief Minister M Karunanithi. Now its not well maintained as it was earlier"
The_Anna_Centenary_Library,ababushankar,5.0 of 5 bubbles,Aug 2019,Paradise for book lovers,"You can find books for all ages and interests. Children's section has books for children and teachers. The library has exclusive space for those who would like to study peacefully, with your own books and laptops"
The_Anna_Centenary_Library,nithyavasu,5.0 of 5 bubbles,Sep 2019,Reader,"excellent collection of books, good facilities and easy to access by any mode of transportation. well maintained kids section , good collection of periodicals, comfortable seating, well ventilated , full of energy and above all excellent space for visually challenged and IAS aspirants.  "
The_Anna_Centenary_Library,Arul Prakash Samathuvamani,4.0 of 5 bubbles,Jul 2019,Knowledge Hub of Chennai,"Its one of the biggest libraries in Chennai. Other than ""Read you Own Book"" section, pretty much all other sections have some place for you to sit and read quietly without any disturbance. Its fully air conditioned. Engineering section could have better collection of books, most recognised author book are not available.The place does not have a canteen. It does have a caffeteria, but other than tea, there is no choice in food."
The_Anna_Centenary_Library,Deadman17,5.0 of 5 bubbles,May 2019 • Solo,Large collection of books,"The library has a large collection of books and is a book lover's paradise. There are books for kids, teenagers as well as office goers. If you are studying for a competitive exam, then one should visit the place. One can study here in peace."
The_Anna_Centenary_Library,Krishnaveni S,5.0 of 5 bubbles,Apr 2019 • Family,Amazing children's section,"It is a vast library, the largest in South Asia. It is located in kotturpuram. It has an amazing children's section where kids will love to go. It also has own book reading section, Braille section, regional language section. You can just go and read. No need of any membership. No borrowing of books allowed"
The_Anna_Centenary_Library,Karpagavalli,5.0 of 5 bubbles,Dec 2018,Wow,The place itself speaks of its own history and the n.number of books available mesmerize us to spend more time here.the maintenance of the place can be increased for its not as it used to be.
The_Anna_Centenary_Library,Swami1939,5.0 of 5 bubbles,Apr 2018 • Family,Book lover's paradise,"The Anna Centenary Library on Gandhi Mandapam Road, Kotturpuram is a place where you can see a very large collection of books on innumerable topics. The library is designed excellently and the atmosphere is conducive for calm reading. People love to visit this library to collect lots of data of their interest.    "
The_Anna_Centenary_Library,Sundaram R,4.0 of 5 bubbles,Jan 2019 • Family,visit to library,the library has improved upon in the last one year further to meet readers needs.[qualitative]ambience included.genuine readers will be delighted after a meaningful time well spent
The_Anna_Centenary_Library,uk555,4.0 of 5 bubbles,Dec 2018 • Solo,Book lovers' sojourn,"It's a heaven for book lovers. Has a good collection of books that you can pick, find your corner and blissfully spend as much time as you want. The search catalog computers were not working, but you can browse through the racks, find your pick and read through the day there.Milk parlor is located at ground floor for refreshment, but otherwise you need to head out for snacks/lunch. Toilets badly need maintenance."
The_Anna_Centenary_Library,RavikumarEswaran,4.0 of 5 bubbles,Dec 2018 • Family,Very nice for a public library,They have modelled it on the lines of the libraries in singapore. Kids section is amazing. Lot of books for kids to read and enjoy. Even other sections are good with ample place to sit and read. There are weekly events and activities for both kids and adults. But state of the restrooms are pathetic. Very poorly maintained restrooms.
The_Anna_Centenary_Library,DayaMass,5.0 of 5 bubbles,May 2018 • Friends,"""Informastic""","I visited this library on my summer vacation.This library was built as a memory of Anna's 100th birthday.This library is highly facilitated with A/C.This library has 10 floors,and each floor has different book sections.The 1st floor is for children.And the last floor contains books about history , travel and tourism.You can enjoy a lot here.The entry is free.And there is also a separate place for reading our books which we bring from home.There is also a Braille section for blinds.There is food court beyond the building and a Aavin parlour inside the building at ground floor.I hope u enjoyed this review.But I want u to experience it by visiting the library.☺☺☺"
The_Anna_Centenary_Library,Vinod500,3.0 of 5 bubbles,Nov 2018 • Solo,Huge Library Mismanaged,"My recent visit to this library was disappointing and saddening. I visited the Periodicals section on the 1st floor. The daily newspapers were current. However, I was shocked to find only June and July issues of India Today, Time etc. Magazines like Business India, Business Today, Forbes India, Open, Economist etc were nowhere to be seen. Most shelves were totally empty. I had gone to the same library a year ago, when the current issues of all these magazines were available for reading in the library. So I inquired with the staff why the deterioration in the last one year. They were apologetic, and said subscription to periodicals like India Today, Forbes India, Open etc have been renewed recently and December issues will be on the shelves. It took them 6 months to renew subscriptions! It smacks of mismanagement of this public resource at the top levels."
The_Anna_Centenary_Library,Ashish S,5.0 of 5 bubbles,Nov 2018 • Business,Nice visit,It was nice to visit the library. It was a neat place. It was very peaceful as well. Very informative visit.
The_Anna_Centenary_Library,Priya M,5.0 of 5 bubbles,Sep 2018 • Solo,Literature lovers paradise,Massive library complex located in Chennai City. Its a literature lovers paradise and there are so many books available. 
The_Anna_Centenary_Library,nageswararao g,5.0 of 5 bubbles,Sep 2018 • Family,Massive library,"Its a massive library, one of its kind in whole of South India. Well kept place with literature of most of Indian languages."
The_Anna_Centenary_Library,CharmDeepak,5.0 of 5 bubbles,Mar 2018 • Couples,Extraordinary Collection,Anna centenary Library is well organized library. it has every single feature what an ideal library has. though it is a silent library there is a room for louder section in the ground floor. this is not lending library but you can take picture of your fav books  with mobile ( in silent mode). Laptop is allowed.  
The_Anna_Centenary_Library,Anusree P,3.0 of 5 bubbles,Jul 2018 • Family,Very large,"Anna Centenary Library is very large building.  you will get mostly all the books, silent place and very spacious location"
The_Anna_Centenary_Library,vinodkhedkar,4.0 of 5 bubbles,Aug 2018 • Solo,Good Library,This is a very nice library which has a wide variety of book on different subjects. Good ambiance and silent place. Good place for book lovers.
The_Anna_Centenary_Library,selvambikaiyali,4.0 of 5 bubbles,Apr 2018 • Family,anna library,"big library, you will get mostly all the books, silent place and very spacious location, good for book lovers and readers"
The_Anna_Centenary_Library,worldwomantourist,5.0 of 5 bubbles,May 2018 • Friends,Wonderful collection of Books,Very great library with massive collection of books. Needs to be maintained well. Lot of rare books. One of the Best Library in Chennai.
The_Anna_Centenary_Library,vasan224,5.0 of 5 bubbles,Aug 2017 • Family,all books in one place,anna centenary library has all the books for the students also it provides a peaceful place for the students to read in a clam manner.
The_Anna_Centenary_Library,ilavarasi_sm,4.0 of 5 bubbles,Jul 2018 • Business,Forest of book and books,Lot of books collection from kids to senior citizens of all categories. It got very big space to read comfortably whichever you would like to...
The_Anna_Centenary_Library,vijmail99,2.0 of 5 bubbles,May 2018 • Family,lack of attention,need to improve a lot...less collections and lacking basic amenities. assistance staff not available for help
The_Anna_Centenary_Library,Madhan K,4.0 of 5 bubbles,Apr 2018 • Business,The good library,The library is huge and lots of books 📚 to read and study and understand.People who likes to read its a good place.Can get all types of books to boost our knowledge Must visit place for book lovers
The_Anna_Centenary_Library,Alicia A,5.0 of 5 bubbles,Nov 2017 • Friends,Fun to explore,"Visited the Anna Centenary Library to see the palm leaf scripts, which were a unique find. We hoped to get our readings done there as well but it was more so just to see. A huge library, a great place to explore when you want a change from the busy city life. "
The_Anna_Centenary_Library,Keertan,4.0 of 5 bubbles,May 2018 • Family,Good,"The Anna Centenary Library (ACL) is a newly established state library of the Government of Tamil Nadu. One of the largest libraries in Tamil Nadu, it is located at Kotturpuram, Chennai. A big boost to book lovers, it is said to be South Asia's largest and most elegantly designed library.Housing about 1.2 million books, the library is well equipped with state of the art facilities including a spacious auditorium, amphitheatre and two conference halls. The library is open to public from 9am to 8pm daily. The major attractions of the library are children's section, with fun-filled theme-based reading area with multimedia kits and storybooks. The library also has a special section for the visually-impaired, with talking books and Braille displays. ACL is often reckoned as a reader's paradise. The library is spacious and cool, and offers a calm reading environment. Moreover, it offers membership facilities, Amenity Centre and Food Court, Digital Library as well as Residential Facility for Researchers. The library is easily accessible from any part of Chennai. If you are planning your visit to Chennai, it is preferable to visit the place during the months of November to March, as the climate will be pleasant then."
