Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sisodia_Rani_Palace_and_Garden,Siddharth S,2.0 of 5 bubbles,Nov 2020 • Couples,Sisodia garden,"A place you can give a skip, not that great and prefer going during evening.If been to rock garden in Chandigarh don't go to this place"
Sisodia_Rani_Palace_and_Garden,Nandini,4.0 of 5 bubbles,Oct 2020,Interesting,"Tucked away, we decided to go here . The staff at the counter were very cordial and we were informed that till 31st October, it is on a 505 discount of entry tickets. On entering the garden, we thoroughly enjoed ourselves but it hardly takes much time to see the multi layered garden. What we found more interesting is on coming out of the garden, on the walls opposite to it, the paintings are still visible and given the fact, that there were on time tested palace walls, it mage it more special."
Sisodia_Rani_Palace_and_Garden,Coastal826245,5.0 of 5 bubbles,Aug 2020 • Couples,Garden & garden,Maharaja time royal garden. beautifull landscpaed with fountains and flowers. Reasonable entry ticket.
Sisodia_Rani_Palace_and_Garden,Shoeb S,5.0 of 5 bubbles,Nov 2019,Beautiful Palace and Garden,"the Palace is closed for visitors, therefore we can only view the garden which is on the ground floor.the entire palace is divided into three segments.Ground - GardenFirst - Kind of BalacySecond  - Actual Palace.we enter into the monument from the second phase that is beside the palace."
Sisodia_Rani_Palace_and_Garden,Leslie L,4.0 of 5 bubbles,Nov 2019 • Solo,Nice gardens," I visited Sisodia Rani Palace and Gardens during my day tour of Jaipur City with Royal Majestic Tours and an excellent guide, Mukesh who provided an excellent account of the history of the Rani Garden. The garden was lovely, but not very large with lots of frangipanni trees exuding a beautiful fragrance."
Sisodia_Rani_Palace_and_Garden,jazsacher,3.0 of 5 bubbles,Nov 2019,beautiful garden,"I enjoyed my visit to the Sisodia Rani Palace and Garden.  There was no one here when we visited in the afternoon and was ideal for taking a nice stroll, enjoying the sites, and taking scenic photos.  However, the garden and palace seemed a bit generic and ordinary for me compared to the ones we had already visited.  I don't mean to detract from the review but there were so many others in Delhi and Jaipur that were simply 'out of this world' that I need to rate this place as ordinary compared to the others."
Sisodia_Rani_Palace_and_Garden,sanjeevkdass,5.0 of 5 bubbles,Sep 2019,Beautiful ,The Sisodiya Rani garden depicts the kind of love the king has for his queen. He built this garden for her exclusively and it’s been made beautifully. The garden is in levels and I loved it. Do visit once. 
Sisodia_Rani_Palace_and_Garden,Tanvi,4.0 of 5 bubbles,Jul 2019 • Family,Beautiful garden,The garden is beautiful and clean . I visited here with husband and kids . It was not too crowded . The entry fee is also not too expensive . It is a huge garden and we enjoyed . Although we were here for 20-30 mins here .
Sisodia_Rani_Palace_and_Garden,JillyKent,3.0 of 5 bubbles,Apr 2019 • Friends,Green and peaceful garden,"We visited this garden as we are keen gardeners. The garden is a multi - tiered paradise garden , very green and peaceful. We were disappointed that the fountains were not working and there was no water in the channels so it missed the effect of being a true Paradise garden. Nice change after the noise of Jaipur."
Sisodia_Rani_Palace_and_Garden,Aveek B,5.0 of 5 bubbles,Mar 2019 • Family,Bit on the outskirts of Jaipur but not very far and wonderful place,The Sisodia Garden is very well maintained and is on the city outskirts. One might get Ola from the garden post visit or need to rely on local transport like Auto. Its not in the itinerary for most travelers but the garden is well maintained and is a stepped garden. Its surrounded by hills all over and its serenity is the best feature.
Sisodia_Rani_Palace_and_Garden,Tish A,5.0 of 5 bubbles,Apr 2018,Beautiful Garden and Palace,Its a beautifully maintained place. Not crowded as it has an entry ticket and few tourists are aware of this beauty.Its a stepped garden with a palace sorrounded by mountains. Must visit.
Sisodia_Rani_Palace_and_Garden,M9000,2.0 of 5 bubbles,Feb 2019 • Friends,Not worth the entrance fee nor the time,"The place is about 10km away from the Jaipur city center and we book a taxi via Ola to get there. The entrance fee for foreigners is 200INR which I thought was way overpriced for what it was. The palace which is overlooking the garden was under renovation (as of Feb 2019) and thus not accessible The garden were nice but nothing spectacular at least not in winter. The ""canals/fountains"" did not contain water - not sure if that is season dependent or not. In the evening there should be a fountain show which we had to complain (they said there were not enough people to do the show) in order to see it. The ""fountain show"" was also underwhelming. To see the gardens and pictures we took like 20min. The place is quite far away from any other attractions in Jaipur. Considering the location/entrance fee and the fact there is really not much to see I would say it is not worth the visit."
Sisodia_Rani_Palace_and_Garden,Jccj49,4.0 of 5 bubbles,Oct 2018 • Friends,Lovely quiet Oasis,"What a pleasant surprise to find this small garden hidden away.  It was so quiet and peaceful, the toilets and grounds were very well kept.  Unfortunately as in most places we visited the fountains were not working.  But I would recommend a visit."
Sisodia_Rani_Palace_and_Garden,siva200,3.0 of 5 bubbles,Aug 2018 • Solo,Away from other attractions,Its located away from other attractions. Its a small garden which has been average one.Good place to walk for 10-15 min. It can be skipped.
Sisodia_Rani_Palace_and_Garden,Kishanu Karmakar,1.0 of 5 bubbles,Jul 2018 • Couples,worst because of officers behavior,"I heard about place and decided to go there, after reaching the address one of officer said me camera is not allowed hence other regular visitor bringing camera as they feel like home. place would be good, because i did not enter just because of their officers who sited on ticket counter shop. never thought about this kind of worst services i got in jaipur."
Sisodia_Rani_Palace_and_Garden,Umang A,4.0 of 5 bubbles,Jun 2017 • Friends,Royal...,This situated approx 10-12 km from main city on Jaipur Agra highway...beautiful garden with royal palace. It has se entry ticket as well..
Sisodia_Rani_Palace_and_Garden,vmtrek_travel,3.0 of 5 bubbles,Apr 2018 • Couples,Passable,"Rupees 50 as entry was unjustified as access to the main palace was restricted due to renovation. Even the fountains in the garden were switched off.The garden was decently maintained but more greenery than colourful flowers.On return from Galtaji temple we spared sometime to drop in. Surely, it could have been avoided."
