Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Heera_Panna_Shopping_Center,VipulRshah,1.0 of 5 bubbles,Mar 2021,JUST AVOID. ONLY FAKE PRODUCTS,"I went last week. Bought some Twining tea made in UK. Totally duplicate products.After reaching home, opening the box, I realised that I was trapped. All fake products. Fake packaging and fake products.Also all the shoes, belts, clothes they sell are first copy/duplicate and of very very inferior quality."
Heera_Panna_Shopping_Center,Naresh1936,3.0 of 5 bubbles,Oct 2019,Shopping complex catering to varying tastes,"Heera Panda is shopping complex comprising a large number of medium-small shops, offering almost every product from electronics to fashion garments, household necessities to nonessentials. Reportedly supplies include foreign goods also. The prices are generally appropriate, although some bargaining is advised."
Heera_Panna_Shopping_Center,meena1981,3.0 of 5 bubbles,May 2019 • Friends,not so big,"Heera Panna mall is decent place with heaps of shops running from readymade garments, watches.electronic merchandise, imported deos, cowhide accesories.shoes etc.The mall employees are not helpful for products selecting.For billing  you have to wait for a long time at counter."
Heera_Panna_Shopping_Center,ABDULNAFIH,4.0 of 5 bubbles,Feb 2018 • Friends,Economical shopping,"In the centre of city just opposite Haji Ali and next to cross words we get whatever we need at the best price. Any brand , any collection at most affordable prices."
Heera_Panna_Shopping_Center,121dhara,3.0 of 5 bubbles,May 2018 • Family,Ok ok place...,Not so good not so bad type experience it was. Mostly there are shops who sell the copy products of branded stuff. 
Heera_Panna_Shopping_Center,Mohammed Kadiyani,4.0 of 5 bubbles,Jan 2018 • Friends,Economical and Value for Money ,"Best place to go for standard grey market products likes Electronics, clothes , phones , cosmetics and watches.Most of the products here are from Bangkok but quality is too close to original and difficult to distinguish.Goods are durable and complete value for money .You just need to know the right pick.Bargain power should be good or else you would end up paying more than required.Also some dealer sell original product boxes and packs to make the product look original.Go for this place If you want to indulge in cheap shopping with small amount "
Heera_Panna_Shopping_Center,Jay Shah,4.0 of 5 bubbles,Apr 2018 • Family,Shopping time,Just visit in the morning. But due work going on outside the market footfall was very low. Very good varieties of branded items in footwear and apparel. Also see and shopped varieties of accessories of women from the shops.One can buy items here. Good varieties available.
Heera_Panna_Shopping_Center,Ultra Foodie,5.0 of 5 bubbles,Feb 2018 • Family,Good shopping place ,"This is a really good place to shop if you find the good products and bargain well....One can find first copy handbags, shoes, pens, belts and accessories There is damn good collection of phone cases and covers at very reasonable price.....Laptop covers are really good here as well... Good place even just to checkout...the market is really cool"
Heera_Panna_Shopping_Center,BeingNomad,3.0 of 5 bubbles,Dec 2017 • Solo,Imported/Grey Market,The place is just opposite to Haji Ali and becomes must visit. This primarily is famous for its imported electronics at cheap prices but i found they have a lot of accessories and clothing shops too selling some of the well known brands; though not sure of their genuineness.Tips: Most of the shops are reluctant to accept digital payments hence if plan to visit have cash with you.
Heera_Panna_Shopping_Center,Ethel m,4.0 of 5 bubbles,Oct 2017,Grey market,"Black market ideal for branded electronics and shoes,perfumes, etc. Just opposite Haji Ali mosque, easily accessible. Went looking for women's clothing but that range isn't too great."
