Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Lajpat_Nagar_Central_Market,Djalaj,2.0 of 5 bubbles,Dec 2022 • Family,This can’t be from Bikaner,Cash counter is always without a change. They force you to pay by UPI or by card. The person handling the counter needs to undergo a training  on being humble and polite to customers.
Lajpat_Nagar_Central_Market,Bhanu Pratap Singh,5.0 of 5 bubbles,Apr 2022,Best Deals,"I visit the Lajpat Nagar central market for the first time. I find it a little rush area. I might get stuck in the market if I do not have a PARK+ app with me for parking. But it is a great place to buy quality products at the best price. If you are looking for the same, it is a perfect place for you."
Lajpat_Nagar_Central_Market,run007,5.0 of 5 bubbles,May 2019,Best shopping,"Best shopping in Delhi with affordable rates.Only best deal to take from , make sure you bargain until you get a good deal."
Lajpat_Nagar_Central_Market,ByeJeanette,3.0 of 5 bubbles,Feb 2020 • Couples,Worth a visit,I liked This market but found as a tourist most sellers were not interested in showing me any merchandise Even when i asked for it. The prices were a bit higher than toget Places we have been to in India.
Lajpat_Nagar_Central_Market,rajesh u,4.0 of 5 bubbles,Feb 2020 • Business,Pulse of the city,"Shopping areas tell us about the pulse of the cities and Lajpat Nagar is no exception. It's a must for any visitor. For the Indian tourist it's a great bargain, a place from where you carry back goods. You also carry back the idea about what commerce can do! For the visitor from the West it's more interesting. A melting hub of humanity, in all shapes and attire, bumping into each other, striking out the perfect deal. The salesmen selling shirts selling for less than a dollar to shops stocking the most expensive ones. All in harmony. The small streets are a taken for granted by the locals but are a tourist's delight with the sheer variety of wares, the colorful arrangements and the beautifully lit up atmosphere.Must spend an hour. Enjoy the street food. Walk and soak in the atmosphere. It's a must."
Lajpat_Nagar_Central_Market,SmithaCherian,5.0 of 5 bubbles,Jan 2020 • Family,The friendly market,We thoroughly enjoyed being in this market. We would visit again and shop more. Though it’s a big expensive than Sarojini Nagar I liked this market. The food is to die for
Lajpat_Nagar_Central_Market,Wanderer23635804919,4.0 of 5 bubbles,Dec 2019,rows n rows of shops,"Great range of all sorts of indian wear,accesories, kurtas,suits,shoes.Be mindful to safe keep your belongings.Getting an uber or ola in the evenings is almost impossible. get a rickshaw to move you 1 or 2 km away then get your transport."
Lajpat_Nagar_Central_Market,NamitaPattnaik,4.0 of 5 bubbles,Nov 2019,Lots of branded / non-branded shop for mid range shopping,Perfect for mid-range shoppers. At lajpath nagar market you can find good western wear and mid-range ethnic wear.
Lajpat_Nagar_Central_Market,chikpick,4.0 of 5 bubbles,Dec 2019,A middle class bazaar....,"Closed on mondays, this market has everything needed for a wedding shopping. though not many branded showrooms r there but common brands like VIP, BIBA, MEENABAZAAR, Madame, U.S.Polo etc r there. Apart from this lot of local shops selling readymades, kurtas, accessories r there. also for the shoppers there are tasty chaat kiosks available. For a perfect shopping feel this place is a must to visit. with local vendors bargaining can be done. There is something for everyone in their budget."
Lajpat_Nagar_Central_Market,AVNI,3.0 of 5 bubbles,Jun 2019,Too crowded,"If you are looking for apparel to wear on a wedding or parties, this is the place. It has lots of shops of sarees, lehengas and other dresses. Also, restaurants and stalls serving good street food."
Lajpat_Nagar_Central_Market,Aman Sachdeva,5.0 of 5 bubbles,Nov 2019 • Solo,Aman Groom Studio,"I am a world traveller and tried tailoring at various place across the world. But I can surely say that this is one of the most pleasing experience. I just had 24 hrs to get the suit tailored, and I am glad I was given a great tailoring experience and was called well before time and delivered on time. I would surely recommend this place for people travelling to Delhi. They have great collection of fabrics, great tailoring unit and most importantly the commitment to deliver on time."
Lajpat_Nagar_Central_Market,ashishdeora123,4.0 of 5 bubbles,Sep 2019,nice,"A residential and commercial point near South Delhi district is Lajpat Nagar which was named in honour of Lala Lajpat Rai who was known to Indians as the Lion of Punjab Central market is the most visited spot in Lajpat Nagar where people come to buy fabrics, shoes, ornaments, food items etc"
Lajpat_Nagar_Central_Market,kamal_innovaa,4.0 of 5 bubbles,Nov 2019 • Family,Good for shopping,Market has very big and with well direction.They small to big show rooms. Also they have street vendors where you can buy many things.
Lajpat_Nagar_Central_Market,Ishita Sarkar,5.0 of 5 bubbles,Nov 2019,Central market,"This is one of the mostb famous markets in New Delhi. Full of variety, reasonable and having so many street food stalls."
Lajpat_Nagar_Central_Market,Sarina14,4.0 of 5 bubbles,Jul 2019,"If you love shopping and can bargain, this is a market to visit in Delhi","Lajpat Nagar Central Market has its share of loyal shoppers like me who despite all the problems like impossible parking, the crowds, the uncleanliness still love the market for its amazing bargains.  I have been going to Lajpat Nagar market for many years. Earlier I would drive but now I prefer to take the metro or an auto.  One can find wonderful clothes that are trendy and cheap,  the tastiest chaat,  and not to forget talented mehndi artists who are busy applying mehndi sitting on the footpaths.   One can find household wares, jewelery, groceries, sweets, savories,shoes, bags... gosh the list is endless.  If you are good at bargaining, you will do well here. Street vendors dot the entire market."
Lajpat_Nagar_Central_Market,parul k,4.0 of 5 bubbles,Jul 2019 • Couples,Nice,It's like sarojini nagar market. You have to be good in bargaining. Lots of big brands are also there.
