Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Guindy_National_Park,Gma,1.0 of 5 bubbles,Dec 2022 • Solo,Zoo ... just a zoo....,This is not a national park if the nation can not enjoy it.  It is just a zoo. All the res of the gorgeous area is saved for the governor's family.... sham!!
Guindy_National_Park,Bhaskar,2.0 of 5 bubbles,Dec 2021 • Family,"Zoo, not a national park","Firstly, it's not a national park. It is a children's park, more like a Zoo, where there are a few animals like deer, Blackbuck, jackal etc. and reptiles like lizards, crocodiles, alligators with a few birds. Not a place where one can spend more than an hour. There is also a snake park adjacent to it which is better. Ticket for adults is Rs. 20 and for children above 5 years upto 12 years is Rs. 15."
Guindy_National_Park,Jayesh Chandra ... P,3.0 of 5 bubbles,Feb 2020,Small Zoo,"There is a Snake park and a Children's Zoo + Park.. Both have different gates.  And different tickets.  Be careful when you buy tickets. The Zoo + Park does not have too many animals, but is well maintained.  I could not see too many animals.  Even the children's playground was crowded. There is a restaurant cum sit out outside the park. Not inside."
Guindy_National_Park,Deadman17,4.0 of 5 bubbles,Feb 2020,Good Place,"A good place to come and spend some time with friends and family in the sun. It is a bit difficult to get entry to see the various animals and the entire complex is a bit untidy. However, the exhibits are nice to see for both adults and kids."
Guindy_National_Park,Michael A,1.0 of 5 bubbles,Jan 2020,"A little-known, boutique Nation Park: but impossible to enter due to the Game Warden's reluctance to allow visitors!","I was bitterly disappointed to be unable to see and photograph the Blackbuck, rare in South India, in the Guindy National Park.Some fortunate—and determined—visitors manage to get permission to visit this little-known gem of a National Park! A wonderful experience for the Indian wildlife enthusiast to see and photograph the graceful Indian antelope, the Black Buck of classic Mughal paintings, is inexplicably denied by the apparent indolence of the Present Game Warden, who is impossible to contact by telephone, email or gain audience by the overseas visitor!Why are some of the best things for the keen wildlife photographer made so difficult in South India—in contrast to the facilities in North India for wildlife photography by overseas visitor? "
Guindy_National_Park,#amosamiyanayek🎧,3.0 of 5 bubbles,Jul 2019 • Friends,🦖,"quit simple to enjoyable for kids as well as adults ... very close to Anna University and the Gandhi Mandappam... insight of the campus musium planatorium and vdo shows are there but you must be book the tickets for those, prerior based on time! "
Guindy_National_Park,Richard7,3.0 of 5 bubbles,Nov 2019 • Solo,Shabby animal exhibits,The Children's Park is run-down and shabby. I was disappointed by the animal exhibits that are in ramshackle cages. There are a few Indian animals that might interest tourists. The main section of the National Park is locked up and I was unable to work out how to find someone to let me in.
Guindy_National_Park,eeebvr,5.0 of 5 bubbles,Aug 2019 • Family,Greenery to spend an hour,We can visit this place and spend for an hour or two. It is like a mini zoo with caged animals. This place has good green cover. Snake park is located beside this.
Guindy_National_Park,Daniel,5.0 of 5 bubbles,Jul 2019 • Friends,Place to come,This is a nice and perfect place for leisure with friends and family members. Love to visit again.....
Guindy_National_Park,Priyanka V,4.0 of 5 bubbles,Jun 2019 • Family,very good place for localites with children,"this place has a small zoo...........few deers,jackals,peacock,turtles,snake,ostrich,langur etc........along with a child play areacrowded on weekendshas a substandard eatery outside.........better take packed food...good outing for children...........one time see for adults"
