Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chandni_Chowk,Apolonia70,4.0 of 5 bubbles,Sep 2022,"Spices, chai, perfumes, dates, nuts and Mr Spice","Whether you plan to buy anything or not - this spice market is a must just for the experience of the worlds largest spice market.  Much of it was via a rickshaw - mainly to get through the narrowest laneways and avoid physical contact with people and motor bikes. The rickshaw driver did an amazing job - very physical and hard work - really appreciated his efforts and tipped accordingly - grateful for his safe journey.  Unfortunately because the lanes are so packed with people traffic it was im[possible to stop to look at some of the interesting shops we passed - it was a  few days before Diwali so there were many colourful decorations - the clothing was amazing. We did stop - on a street with Jain history. The architectural style was lavish, colourful and photogenic. We visited one store that had some artifacts, jewellery, and another section where a person sold exquisite pashmina. Some of the jewellery was made by an 80 year old artisan.  We continued through the market by rickshaw stopping in wider road areas to look at the dates, dried fruit and nuts and of course spices.  One date seller had a variety of types of dates and had to buy some. A visit to My Kumar's spice store was the best experience. He took the time to guide me through the spices I was looking for - medicinal value as well as culinary.  Luckily, Herbies sources his spices here so we can replenish in Australia.  A Kumar is a master blender 6536 Khari Baoli - enjoy. I bought a lot of items here.  Had a chai sold by a street seller working under a shop counter - amazing. Also bought some perfume oil from a perfumery further along the road.  Rickshaw driver knew where to find one and took us there - another reason he was appreciated.  I watched people ordering custom blends of their perfume oils and was intrigued by what was available.   I wanted a simple single oil to sue as a perfume to deal with the sweat from the heat and humidity. The small bottle of lemongrass oil essence cost me only 40 rupees - bargain. A must visit location with so much to see.  Could have stayed longer but too hot for me.  Thank you Mr A Kumar from spice store (he does tea too) and guide Sanjeev from Trail Blazers Tours India."
Chandni_Chowk,VIPIN_GOEL_TP_Impex,4.0 of 5 bubbles,May 2022,Chandni Chowk is heart of Old Delhi- think & get that there,"Chandni Chowk is heart of Old Delhi. Full of hustle and bustle all across. The area is densely populated as well as has very dense commercial activities. The road from Lal Qila (Red Fort) to Fatehpuri Masjid is called Chandni Chowk. Recently the whole area is renovated with red stone. Vehicular traffic is closed for day time. Only hand rickshaws or E-rickshaws are plying on the road. Lot of greenery created on the centre of the road. Now people can walk on footpaths easily. Chandni Chowk is famous for local cuisine and snacks in restaurants or on road side or in small small shops along the road and streets. One can buy anything used in daily life from the market from regular to bridal clothing, jewellery, sweets, electricals, electronics, computers, shoes, all types of watches, cameras, cycles etc.;  anything will be there at competitive prices. One can go there any no. of times and will find something new there. One can go to Paranthe Wali Gali, Kinari Bazar, Nai Sadak, Ballimaran, Kucha Mahajani, Khari Baoli, Chawri Bazar, Cycle Market, Bhagirath Place, Lajpat Rai Market and many more markets at or adjacent there. Red Fort, Sis Ganj Gurudwara, Jain Temple, Fatehpuri Masjid can be visited there."
Chandni_Chowk,Akshay P,5.0 of 5 bubbles,Nov 2022,Great place with authentic street food delicacies,"A visit to Chandni Chowk is a must and its convenient location to the Red Fort makes it easy not to miss. Its a great idea to walk along the street - since cars are not allowed, its quite comfortable, but you do need to watch your pockets. Its best to walk all the way down to Fatehpur Masjid. Enough avenues for shopping at reasonable prices, but the greatest attraction are the eating joints - Tiwariji corner for chole bhature, jalebiwala, Natraj dahi bhalla, rabri bhandar in the paratha galli and other numerouse optionsFor kids, it is a good idea to book a cycle rickshaw and ask him to take a round of the entire street - great place to be in the evenings"
Chandni_Chowk,Wanderlust Family,5.0 of 5 bubbles,Sep 2022 • Friends,"Intoxicating magic, must be experienced.","I absolutely loved the all intoxicating chaos, rich history, culture, magic, colour & beauty that is the old lane ways of  Chandni Chowk. No visit to Delhi would be complete unless you spend a few days getting lost an exploring the vibrant old lanes and markets of Old Delhi. Go and experience the real India  and have a trip of a life time."
Chandni_Chowk,SF Guy,5.0 of 5 bubbles,Sep 2022 • Solo,Love It!!!,"Talk about vibrant and hustle and bustle of Old Delhi this is the place. Beautiful street with several temples, shops, etc. Very colorful at night and just an all around vibrant and wonderful place."
Chandni_Chowk,Isaac M-C,5.0 of 5 bubbles,Aug 2022 • Family,Amazing!,"If you want to experience the full force of Delhi’s atmosphere, no trip would be complete without a trip to Chandi Chowk. The place can feel insane and overwhelming at times, but the place is full of life and incredible gastronomy: an experience I will never forget! If you’re ever in Delhi, you must visit this fantastic market. It is the adventure of a lifetime."
Chandni_Chowk,A_Dipali,3.0 of 5 bubbles,Jul 2022 • Family,A busy place in heart of Delhi.,"A busy place in heart of Delhi. The walkway is good. From 9 am to 9pm only vehicles allowed there are e riksha. So it is relatively less crowded and less polluted. There are shops on both sides of the walkway.  Red fort and parathewali galli are close by.We visited it on July, looks like not so good time to visit.  Winters will be better here. But then it will be so crowded. "
Chandni_Chowk,VIPIN_GOEL_TP_Impex,5.0 of 5 bubbles,Nov 2021,"Tourist coming to Delhi, should spend some hours here","We visited Chandni Chowk several times in November 2021 to purchase bridal dresses. There are specialized specific markets called 'Galis' for most of the items you want to purchase. Both wholesale and retail business go together in a same Gali. Chandni Chowk is well connected with Delhi Metro. Car parking space are few and are always near full. One can not drive car here, as it is not allowed. Chandni Chowk after renovation is easy to walk and enjoy. Red stone is used on the roads which resemble stone used in Red Fort. You can use E-rickshaw to travel there. If we are in here, it is not possible to go back without the taste of Old Delhi. Every Gali or corner has shops, stalls and Khomchas selling local delicious foods. One should always try 3-4 types of items at separate shops. The taste will be there with you forever. Any tourist coming to Delhi, should spend some hours here. Several historical places are there nearby."
Chandni_Chowk,Amar S,1.0 of 5 bubbles,Dec 2021 • Business,Must avoid,Worst place.. Nothing to watch or enjoy. Just crowd and thugs. Delhi has many other better places to offer. Try to avoid it
Chandni_Chowk,send rakhi,5.0 of 5 bubbles,Mar 2021,Satiate Your Taste Buds,Outstanding place for street food lovers and shopping birds. Come here and satiate your taste buds with chaat and other delicacies.
