Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Pondy_Bazaar,Richard G,4.0 of 5 bubbles,Aug 2022,long time ago but India ia always facinating,A wonderful Country and I have been from North and South and East and West. Food is good and People are very friendly. Contrast between say Chenai and Delhi makes it even more worthwhile. I also have been to Leh and to Mumbai.
Pondy_Bazaar,Ravikesh P- Fiji,3.0 of 5 bubbles,Aug 2022,Good shopping experience,"It was very ideally located as we stayed at the Grand Chennai by GRT. As the place is well known for its shopping it was a great experience as the whole street, Sir Thayagarya Road, T Nagar is full of shops.  Apart from main streets, there are smaller streets that also has shops. As it is a famous place for shopping, shop owners take full advantage and things are very expensive. Prices are same or more expensive than the shopping malls like express mall. Communication can be a problem as salespeople do not speak fluent english. Hindi too can be a problem.  Another drawback is the constant negging by the street dwellers who are either begging or selling things which they insist you to buy. Not many clean eateries except for some big restaurants like A2B and Balaji. KFC is also available."
Pondy_Bazaar,Hooray H,5.0 of 5 bubbles,Dec 2019,Cleanest shopping street in India,"Lots of shops, well organised & busy.We went into an amazing shop full of stainless steel products of mediocre quality but very inexpensive.Fun"
Pondy_Bazaar,TravelTime,4.0 of 5 bubbles,Mar 2020,Lot of shops,"There are lot of shops to choose from with varied prices, you can get items starting from 5 rupees. Pondy bazaar is in TNagar, it is a huge street. Parking is little difficult to get during weekends especially for cars, but well organized parking throughout the area. There are lot of items to choose from based on your budget, this is heaven for girls for sure......"
Pondy_Bazaar,PitoyAmpil1941,4.0 of 5 bubbles,Feb 2020,Phoenix Mall at Velachery Main road,"the place was big, huge n large.... n very expensive..... with a 65 US dollar standard room price at Design Hotel...... one has to enter the hotel from the mall entrance...."
Pondy_Bazaar,KARTHIKb87,5.0 of 5 bubbles,Dec 2019,Chennai busiest Market area,"Pondy bazaar is chennai's one of busiest Market area since long time. Its had busiest road and lot of shops to purchase. Recently Govt made Pedestrain plaza in Pondy bazaar as part of smart city project with wider foot paths , automated parking, lot of fountains, decorated trees etc.,"
Pondy_Bazaar,discerning24,5.0 of 5 bubbles,Jan 2020,Amazing shopping strip,"We enjoyed the bargains, the ambience and the range of 'name' shops and local bazaars. The street has been made pedestrian friendly, a rarlty in this city of aggressive motorists. It is quiet with trees lining it and places to sit. Thoroughly recommended for your visit to Chennai."
Pondy_Bazaar,SAAGOBAA,5.0 of 5 bubbles,Aug 2019,SAREE SARI SAREE,If you want best saree with best quality and great look with budget cost then this is place to explore it and buy. they have from A to Z types of sarees available .
Pondy_Bazaar,#amosamiyanayek🎧,3.0 of 5 bubbles,Dec 2019 • Friends,🎁🛍️,the newly renovated and one of the most shopping destination and busiest hub... not even only shopping including food and WiFi accessable around the street ... the best for relaxation and hangout with kids and friends 
Pondy_Bazaar,tsk0101,4.0 of 5 bubbles,Dec 2019,A must visit place in Chennai,It is one of the busiest places in Chennai with a lot of shopping centres and shops for almost anything you want.
Pondy_Bazaar,LostMySelfTraveling,5.0 of 5 bubbles,Dec 2018 • Friends,For Anything And Everything - Pondi Bazar,"Pondibazar is one of the best places in Chennai for shopping. The flee market is very reasonable. One more thing that is good about this place is its not too conjusted like T Nagar. That's why I prefer Pondi Bazar T Nagar. You have everything available here from fro. You flowers, footwear, clothes, toys and what not. Everything is available here. "
Pondy_Bazaar,FaisalShb,4.0 of 5 bubbles,Oct 2019,A happening place,Quite busy but lots of options for local shopping. Seems like a popular place among the locals and some tourists.
Pondy_Bazaar,plantablok,5.0 of 5 bubbles,Sep 2019,Shopping,"Very busy street but convenient and easily accessible from the hotel GRT Grand. Very exciting to walk through and department stores , local shops and restaurants offer excellent choices. This is a must for tourist visitig Tamil Nadu"
Pondy_Bazaar,KathiraveluG,4.0 of 5 bubbles,Sep 2019,Shopping,One of the famous street for shopping. Convenience store to clothing to departmental stores to restaurants. Pleasant to walk along for window shopping as well.
Pondy_Bazaar,buddy_2564,5.0 of 5 bubbles,Aug 2019,Lots of shopping option,"Very close T Nagar so if you are planning for shopping, it might take you all day as I found out. Lots of choices but do haggle as it is a must in some place."
Pondy_Bazaar,Deadman17,4.0 of 5 bubbles,May 2019 • Solo,Main market place,"This is one of the busiest shopping places in the whole of Chennai. One can buy good quality stuff, at good rates, especially if you are looking to buy in bulk. The area is usually crowded and one should go in the afternoon to avoid the rush."
Pondy_Bazaar,flying_girl_iya,5.0 of 5 bubbles,Jun 2019 • Family,Shooping TOP,You got a lot of little merchant at affordable prices you can deal with them a bit and you will pay less :) 
Pondy_Bazaar,kamalakaran,4.0 of 5 bubbles,Jul 2018 • Family,shopping place,good to buy things like kithenware. i bought electric chappati maker.can buy ever silver things too.i bought preethi grinder there.
Pondy_Bazaar,balkivinod,4.0 of 5 bubbles,May 2019 • Couples,Heart of Chennai ,"The location is famous for shopping.  You can find sarees and jewellery shop at pangal park. And dress material shops at pondy bazar are famous like naidu hall, flora etc.However the location is crowded in the evening and during festival timw. The traffic can be regulated, but still congested and need to think about parking before visiting as sometimes you need to walk"
Pondy_Bazaar,Meezanur R,4.0 of 5 bubbles,Apr 2019 • Family,Shop at chennai with tourist feel,"It’s a nice market place where you find some good brands and some local brands in clothing, toys, and home appliances. Enjoy shopping "
Pondy_Bazaar,Wanderer,5.0 of 5 bubbles,Apr 2019 • Friends,Chennai high profile shopping district,"Pondy Bazaar is renowned as a shoppers paradise. Almost all brands of apparels  are available in the high street. Unbranded accessories stuff also available at Pondy Bazaar foot path merchant complex. Even garlands of lovely flowers are readily available for adorning couples to be married, and also for decorating our gods. It also has a number of large variety of jewelery shops for you to choose from."
Pondy_Bazaar,Zinia F,4.0 of 5 bubbles,Feb 2019 • Family,Street market gem,"I go there for the jewelleries! Not the best finish though as one of my earrings broke off right after buying it and by then I already had come home so couldn't do the change, but overall the designs are great and the price is really cheap with the right bargain skills!"
Pondy_Bazaar,Narendran J,4.0 of 5 bubbles,Mar 2019 • Family,Nice to experience the atmosphere,"I will recommend to visit this place if you are looking for cheap and bargain goods. Many of the shops in this area offer beautiful Indian traditional clothes, right from kurti tops for ladies to children clothes but do not expect high quality stuff as this place caters more to the locals who are looking to buy knock-offs."
Pondy_Bazaar,Tina,4.0 of 5 bubbles,Feb 2019,large variety,"Here you have such a big variety of products that you are hardly able to know what to take, and from whom! the prices are very good and competitive!"
Pondy_Bazaar,Karpagavalli,5.0 of 5 bubbles,Feb 2019,Shopping hub of the city,The place is another ancient locality of the city which is now the shopping hub of the chennaites.the places is so crowded and connected with the huge traffic that makes the shopping a hectic task around.
Pondy_Bazaar,Shaji Joseph,5.0 of 5 bubbles,Aug 2018 • Family,place of shopping,"This is a place good for shopping. The most of the main famous are located to this place, you can also enjoy including the street purchase too.  A guest will get every thing over here but it is a crowded place. All main shops have there own parking place, also corportion is also maintaining some parking space on paid bass"
Pondy_Bazaar,Narasimhan G,4.0 of 5 bubbles,Feb 2019 • Family,Gold by History !!,This connects T Nagar chennai to Anna salai chennaithe cinema theatres  were long demolishedBig bazaar is doin goodGarlands are reasonably priced .more choices are available
Pondy_Bazaar,Val A,5.0 of 5 bubbles,Feb 2019 • Friends,GREAT SHOPPING,This area is really good for best quality shopping with reasonable prices.  There are a good few malls in the area as well. Eating outlets plentiful. Great value for money and lots of good choices of shops and food varieties
