Tourist Attraction,Name,Rating,Date and criteria,Title,Review
La_Martiniere_College,SagarVS,4.0 of 5 bubbles,Jan 2023,Interesting history,"Full of history and a legacy that many who passed of this school cherish with love. We went around this place and spent about an hour and a half. Lots of historical information apart from the tomb of Claude Martin. If you are into histary, its worth visiting. Several imposing beautiful structures."
La_Martiniere_College,SVAYAMBHU C,5.0 of 5 bubbles,Dec 2022,LMC Dec 22,"A visit to this sprawling heritage campus is a must. Extremely well maintained campus, buildings and grounds. There is a horse stable as well and a retro ambassador thrown in"
La_Martiniere_College,Mayank_Jhnj,5.0 of 5 bubbles,Nov 2022,beautiful & great architecture,Was quite pleasantly surprised with the architecture of the main building. It is spread across big area and one would be happy to see the art work in the college. Do insist on visiting the main building and see it from inside. 
La_Martiniere_College,Rohit B,5.0 of 5 bubbles,Oct 2022,Dipped in history & architecture,"An educational institution as this one is very inspiring. Especially because there is a lot of history with it. It is a monument that has stood over 2 centuries, and the gandeur of the place can be felt when inside Constantia House. Visit this place and take a piece of history away with you."
La_Martiniere_College,Deepika M,1.0 of 5 bubbles,Aug 2022 • Friends,Uncouth Teachers at La Marts Boys,"On a visit to the school during their independence function, I witnessed a bunch of teachers misbehaving with and humiliating a parent. What example are such teachers setting for the children they are supposed to educate?Very disappointed and disillusioned. I intend to share my experience with the school's Management Board."
La_Martiniere_College,Ankurcfa,5.0 of 5 bubbles,Aug 2022,Must visit,"Yes its a school, but a must visit to see th building and architecture. Its open to public, no restrictions"
La_Martiniere_College,venkatrams2,5.0 of 5 bubbles,Jul 2022,Journey to the past,"It was great to see the reputed college which is over 170 years old.  It gave a nice feeling to think that the same building, the same rooms, the same classes educated people more than a century ago"
La_Martiniere_College,John Muriango,5.0 of 5 bubbles,Oct 2021,Amazing,"A historic school started by a French military officer two centuries ago. The grounds are lush and ambience is lively, and so too are the education standards."
La_Martiniere_College,Nilakshi S,5.0 of 5 bubbles,Jul 2021,Awe inspiring.,"The sheer size of the campus is awe inspiring. Had read up about this college but seeing it was a great experience. Although we were not allowed entry inside the college, driving through the campus and seeing the various facilities provided to those privileged makes one proud."
La_Martiniere_College,Rakesh K,4.0 of 5 bubbles,Feb 2020,Famous fascility,"Landmark going strong after 175th academic session,real happening for students driving them to the core to tudy and get results"
La_Martiniere_College,Rohit Gupta,4.0 of 5 bubbles,Dec 2020,Old and Gold,Structure : AwesomeLocation : SuperbIs college open/Close : Closed due to CovidRecommendable : YesStaff : Heard that perfect
La_Martiniere_College,DrKlair,5.0 of 5 bubbles,Dec 2020,European style,Beautiful architecture with a splendid history Though it was closed due to covid yet they were kind enough to let us see and explore. The main building has been recently renovated as is the church inside. Not to be missed
La_Martiniere_College,Ajay,5.0 of 5 bubbles,Nov 2020,Best,"In these unprecedented times of Covid pandemic, we found the hotel following every protocol of social distancing and sanitation. The room was clean, service was excellent."
