Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Anandi_Water_Park,Shameer S,5.0 of 5 bubbles,Nov 2021 • Family,Must visit Anandi Magic world. Lucknow.,We visited there Anandi Magic world property and it is awesome. Worth each penny. Excellent room service. Good rooms. Good food. Good rides. Waiters were prompt. Overall loved my exp. 
Anandi_Water_Park,Tanvi,4.0 of 5 bubbles,Dec 2019 • Family,Enjoyed at water park,There were good rides enjoyed here . Water park charges are normal . My kids played a lot and we're very happy .
Anandi_Water_Park,Harshit,4.0 of 5 bubbles,Jul 2019 • Friends,Just okay.,Price in my opinion is little high from what service and facilities it provides.Few rides are available and is most crowded on weekends.
Anandi_Water_Park,Mukesh Srivastava,1.0 of 5 bubbles,May 2019 • Family,Expensive and poorly maintained resort,"I visited anandi water park today.The turn for the resort is not marked prominently. If you are coming from BBD side,  u have to take a turn immediately after crossing the canal,  cross it again and take left turn,  the road is almost a service road adjacent to the canals and has different coloured flag all along till the resort. For a weekday the entry was for 700 rs for adults. Lunch was an addon for 150 rs, which we didn't opt for. The guy at the reception offered us private changing rooms for additional amount which we declined, a decision we regretted. The entry amount included one small cold drink,  a small cup of ice cream and one snack with choice between pav bhaji and noodles. The management dies not allow outside Food and your bag is checked. Food offered was of average quality. The pool and the slides are good and continuous DJ plays on quite loudly,  we enjoyed this part. The sour point were the changing rooms which were actually filthy,  cubicle doors were broken,  in ladies room people had thrown used sanitary pads,  so it was a real bad experience. The do provide costumes on payment both for men and women but people in the shirts baniyans and other dresses were also visible. Coming to pool and slides they have a good assortment but all if them do not function simultaneously.  I was there from 12 to 330 and the wave pool was not operative. Some youngsters with life guard t shirts are present.  But they were actually doing crowd management next to slides and blowing whistles.  The sitting area of the restaurant  was again dirty and unkempt.  Though tired we moved away from there quite fast. Go there if you are only in for pool and slides. Also the parking is not free. They do provide a small locker in the men's changing room. It can accomadate a small back pack. "
Anandi_Water_Park,ShivaniK,5.0 of 5 bubbles,Jun 2018 • Family,Jannat,I love this ...place it's like jannat 😀for me becoz..we enjoyed a lot whenever we go each nd everything is good .. washroom are clean always..staff are very helpfull quick facilities provide delicious food... my fav water park ever is Anandi .thenkew Anandi nd his Team😍 i'll come soon again
Anandi_Water_Park,Pawan_Shrotria,4.0 of 5 bubbles,Jul 2018 • Friends,Nice to hangout,"A good place to hangout but only in summer season.  There are sufficient number of rides.  Though tubes are too less.  Wave pool is operated ONLY on the days when there is crowd.  On our two visitsfrom 10-2 pm,  wave pool and water cascade were not operated."
Anandi_Water_Park,Abhineet,5.0 of 5 bubbles,May 2018 • Family,Great in Summers,get relieved in the scorching heat of April- June. good day out for the family. food is also OK and economical
Anandi_Water_Park,592abck,3.0 of 5 bubbles,Mar 2018 • Family,Just like any other water park,Just like any other water park. Nothing special. There is no point going here if you don't have lot of time in your hand.
Anandi_Water_Park,vikashvikki2,4.0 of 5 bubbles,Mar 2018 • Family,Vikas Trivedi,This place is very nice i love it ..we enjoyed a lot .. all slide are working 😍😍😍😍  i will suggest u this water park
Anandi_Water_Park,arpit s,1.0 of 5 bubbles,Jul 2018 • Family,Not value for money.. food quality is worst.just u don't have options in Lucknow it's d only place..plz never suggest,Only thing that hv change is ticking price..no renovation done yet.. poor condition of changing room.. never suggest you to visit this place..
