Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Crawford_Market,Melina Devi Seeam,2.0 of 5 bubbles,Jan 2023,Disappointing,"This place was so confusing to get around. The quality of the products aren't that great and they aren't as cheap as you might think it is. From a distance, it could look ok but once you've had a close looks at the products it begins to look deceiving. We just left after a short while and decided to rather get to a mall or the shops on Veer Nariman road in Fort for better deals and good quality products."
Crawford_Market,Apolonia70,4.0 of 5 bubbles,Oct 2022,"Very busy market - street stalls, shops - fruit and vegetables","This was almost a full day city tour with guide Jayashree from Mumbai Wanderlust tours. Jaya was flexible with shopping locations - i wanted to see a variety of locations - Mall, stores and a market. We came to Crawford Market because it was best located to fit in the other places on my list.  I wanted to see the flower market but that happens much earlier and sellers are finished by the time tourists appear. So I had to settle for fresh produce and the general offerings on the street and shops we passed. The countless sellers sell everything from face washers ( i bought one to mop up perspiration - hot and humid) to fashion, leather goods, makeup and a mind-blowing range of items including cookware. It is a bustling market with locals buying here.  The prices were very reasonable and quality good.  My guide's advice on which stalls were reliable was useful.  I wish I had bought more but weight and luggage are always a problem.  It was fun exploring this market and i especially loved the quality of their fruit and nuts and dried fruit. It was Diwali so I bought a couple of lovely boxed fruit and nuts - freshly packed as you wait. The only thing that wasn't the best was seeing live animals in small cages - not only birds but cats and dogs.  The market has an old world vibe with no modern trappings - just hard working stall holders and lots to explore."
Crawford_Market,Anup K,4.0 of 5 bubbles,Dec 2019 • Family,Good market with variety,"For anyone visiting Mumbai and coming here as part of sight-seeing -- you dont need a guide.  You can enter and just browse around.  It's a market visited by locals from Mumbai.  Communication should not be a problem.  If you are at a place where you are unable to communicate, just walk away."
Crawford_Market,SalimM,3.0 of 5 bubbles,Dec 2019,Very busy and crammed,"Crawford Market, the largest market in Mumbai, is an incredible place to shop for food and household goods, take photos, or simply wander around people watching. It's also not a bad place to try local snacks, as there are myriad street-food stalls serving up all sorts of treats. Give yourself at least a couple of hours to wander slowly and see what is on offer."
Crawford_Market,igolfCA,3.0 of 5 bubbles,Mar 2020,Too much,"This market is huge and has everything under the sun ...flowers, spices, fabric, fruits and vegetables, clothing, tea, pets and birds, sweets, and nuts. There are also cosmetics, perfumes, and handbags which seem to have good prices, but they are knock-offs. The whole place is dirty, crowded, and too much for me. One quick visit was enough."
Crawford_Market,Sanjeev Nanda,5.0 of 5 bubbles,Dec 2019,A Day Of Adventure For The Thrifty,"A few months ago, before this outbreak of coronavirus was just a blur on the horizon, my friend and I were on the look out for decent lamps for our outdoor patio project. A friend of us suggested a place called the ""Chor Bazar"". While not unheard of by me, I was taken aback by the assurance of this friend of mine that I will find what I need over there. Me and Vivek (the project buddy) took a long drive from Andheri to South Mumbai, and finally reached the hallowed ground - the Crawford Market area (which is a lively fruit wholesale market by the wee hours of morning, and a front for the Chor Bazar, by the afternoon). Vivek and me parked at one of the many pay-n-parks around the location, and began our adventure on foot. While we eventually found our way to the many lamp dealers in the market, we were also greeted my honestly fascinating odds and ends all over the place. Home decor, electronics and dinner-sets galore - everything was unique to say the least. We could've wrapped the whole affair in an hours time, but somehow, three and a half hours proved insufficient. It was a hoot. A definite MUST visit for thrift shopping.~Sanjeev Nanda"
Crawford_Market,EtzyKetzy,3.0 of 5 bubbles,Dec 2019,Too many guides," We arrived at the market to be met by a guide who said he would show us around, we said we were happy to wander by ourselves - eh then showed us a sign stating that porters were mandatory but no payment was required.  He took us to a spice stall, a fruit and veg stall then hustled us along another aisle and then we were back at the entrance.....I wanted to see where the animals were so he grudgingly took us there.  Then he was not happy when we didn't pay him.  Not a great experience, I have been in far more interesting markets in the Far East and have never had a ""guide"" before.  The architecture is interesting but you can see that from the exterion, I wouldn't go back there."
Crawford_Market,David D,4.0 of 5 bubbles,Mar 2020,An adventure in Mumbai,"Wednesday 4th March and we walked from CST Station to this old market, it took just over 10 minutes.Outside the market was chaotic with delivery lorries, taxis and tuk tuks all converging.It is best to ignore anyone who speaks to you at the entrance to the market. They are either trying to make tourists visit their shop and buy something, or to act as a Guide, then demand payment.Inside this old building are rows and rows of stalls selling, spices, fabrics, cosmetics, fruit & vegetables, sweets, clothing, nuts, foods and so much more.If you can't find what you are looking for here, then you wont find it in Mumbai.The metal grid supports the roof and the large lantern shaped lights.A must to visit when in Mumbai."
Crawford_Market,Ellen P,4.0 of 5 bubbles,Mar 2020 • Solo,Huge market with a variety of things,"Went here as part of a tour. It is a huge market that sells lots of things, like fruits, spices & tea leaves, as well as pets. I bought a number of tea leaves packets cause it has a lot of variety & the price is much cheaper compared to the prices in the shops."
Crawford_Market,Brenda H,4.0 of 5 bubbles,Feb 2020 • Couples,Good market,"This is a great market indoors with original features from early 19th century.Felt very safe with lors of little side stands selling fabulous spices, fabrics fruit, flowers. etc. We visited on a cruise but were not allowed much time to explore the area properly which was a shame."
