Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Panna_Meena_ka_Kund,Travel To Jaipur,5.0 of 5 bubbles,Feb 2023 • Business,Very nice palace,Very nice palace i will  recommend this for  everyone to visit this monument highly recommend this pis near by amber fort And palace
Panna_Meena_ka_Kund,exploredaunexplored,3.0 of 5 bubbles,Mar 2022 • Solo,Photostop,We went in the afternoon and it was a bad time to visit this place. Scorching heat. Go early morning or in the evening. You can't go down. You need a special permission if you want to go down. It's nice but not well maintained.  The water is supposed to have medicinal properties but I'm not sure if it still holds true.
Panna_Meena_ka_Kund,Michael,5.0 of 5 bubbles,Nov 2022 • Couples,Beautiful historic location,Fantastic place to visit during sunset. Highly recommend!Do not walk into the steps though as the security guards will be watching.There is a temple right next door which makes it even more picturesque.
Panna_Meena_ka_Kund,beckynmax,4.0 of 5 bubbles,Sep 2022 • Solo,Interesting architecture,"Worth a stop if you are in the area. About 5 minutes unless you climb down. Pretty step well with a nice old, abandoned temple across the road."
Panna_Meena_ka_Kund,FLnurseER,4.0 of 5 bubbles,Aug 2022 • Family,Hidden architectural gem,"On the way to the Amber Fort our guide had stopped for a little surprise visit here. The 450 year stepwell is an eight story staircase architectural gem that does not take a long time to see, but the pictures from here are simply stunning. What a marvelous public gathering place it must have been in its heyday."
Panna_Meena_ka_Kund,vivek0210,5.0 of 5 bubbles,May 2022 • Friends,Architectural brilliance of Step wells in Rajasthan,"If you visit the Amber Fort don't miss the famous Panna Meena Ka Kund. It a simple square stepped well that take 10 minutes to visit. If you want to experience and understand the architectural brilliance, symmetry and science behind the Kund (stepped well) you should spend over an hour."
Panna_Meena_ka_Kund,goanjock,5.0 of 5 bubbles,Mar 2022,Absolutely Fascinating,Absolutely fascinating stepwell with stunning backdrops in all directions. It is nice and peaceful and whilst close to the Amber Fort is off the main tourist track. We spent about half an hour just wandering round whilst soaking up the atmosphere. A definite must see when in the area.
Panna_Meena_ka_Kund,Eileen G,4.0 of 5 bubbles,Dec 2021,Nice Views,"This stepwell is in a lovely spot with great views of the fort and surrounding buildings. Since we had already seen the Chand Baori this stepwell was slightly less impressive. But it is worth seeing, especially if you haven't been to Chand Baori."
Panna_Meena_ka_Kund,Rahul Mishra,5.0 of 5 bubbles,Nov 2021,Hidden Gems of Old Amer City,"When you walk inside the city of Amer, you will find that history and archeology is scattered there. whose most beautiful pearl is this place."
Panna_Meena_ka_Kund,Deb,5.0 of 5 bubbles,Dec 2021,Hidden Gem,A hidden gem and a must-explore place. One of the most Instagram-worthy places. A bit of better upkeep and maintenance is required though.
Panna_Meena_ka_Kund,ShyamKasturi,4.0 of 5 bubbles,Dec 2021,Historic step-well,"This historical step-well is located nearby Amber Fort. You have to ask your vehicle driver, during your visit to Amer Fort, to take there, otherwise, they will skip it. We were not allowed to go down on steps. We can only see from top and take some snaps."
Panna_Meena_ka_Kund,Joanna H,5.0 of 5 bubbles,Dec 2020 • Friends,Best city tour - no sense of being rushed,"Nizam came to take us around Jaipur at short notice, my friend could only travel by car - a very clean and comfortable car with bottles of water for us,  We went on a city tour to Gaitor Tumbas - I had never been before despite going to Jaipur more times than I could count. Then Nizam drove us to Amber Fort and waited while I looked around.  Then we went to Panna Meena ka Kund, I'm most interested in the Baoris in Rajasthan Nizam was curtious and polite he had interesting things to say about the places we visited.  He stayed with us and made us feel very safe. The water Palace is so beautiful we had a coconut water there just to enjoy it for longer.We wanted to buy textiles and asked Nizam if he knew a good place. Mina sat in the work room and the men ran textiles to her there while I went into the main shop. I found it to be very reasonable in rates and fast for making up the clothes. Well done Nizam - much better shopping experience than usual in Jaipur! Like Victor Kiam, I liked the trip so much I bought a company!!!10/10 Nizam"
Panna_Meena_ka_Kund,JayeshLC,4.0 of 5 bubbles,Jan 2021,Nice Photo Stop,"This is in AMER Fort and very nice place for photo opportunity. You cannot climb down the steps and if you want photography done for any special occasion, you need to take permission as it is under UNESCO. It is very good site for Pre-Wedding Photo shoots and lot of film shootings have happened here."
Panna_Meena_ka_Kund,angelacollins3,3.0 of 5 bubbles,Feb 2020 • Friends,Close attraction,"Nice looking stepwell, would have enhanced the experience if we were able to walk down. The attraction is worth stopping at on the way to the Amer Fort "
