Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Aksa_Beach,Rani75,4.0 of 5 bubbles,Feb 2021,Beach in suburbs,"This beach a family place. people go for a picnic. Beach, games, sunset, walk and food is all you need "
Aksa_Beach,Kapil Pip,3.0 of 5 bubbles,Feb 2021,Good beach but full of tourists and food stalls,"Good beach but full of tourists and food stalls. In evening during low tide, the beach extends and you can get some peace."
Aksa_Beach,mumbaindicator.com,5.0 of 5 bubbles,Feb 2020,Aksa beach a lovers paradise,Very peaceful beach suggest to visit during sunset for amazing view and photo click opportunities. some decent food stalls at the beach to satisfy your hunger. anyone looking for long beach walk with your loved one. Aksa beach is the destination for you.
Aksa_Beach,adScorps,5.0 of 5 bubbles,Jan 2020 • Friends,One of Mumbai's Best  ,"Aksa beach is one of the best beach option in mumbai. Its very neat and clean and big too. Is accessible from early morning till late night. Various modes of transport available like bus, auto, ola, uber etc. One of the mumbai's must to visit place. "
Aksa_Beach,Tejinder S,4.0 of 5 bubbles,Feb 2020,Clean,"Away from city, much cleaner than city beaches like Girgaum and Juhu. Don't expect the usual hustle and bustle but good to spend quality time. Commuting can be a problem."
Aksa_Beach,aamchi.m,4.0 of 5 bubbles,Sep 2019 • Friends,Review,Nice place to hangout with your friends and family .The environment here is  very friendly and peaceful.The place is also well maintained .The sunset is also beautiful mostly people come here to see the sunsets 
Aksa_Beach,fareha khan,5.0 of 5 bubbles,Sep 2019 • Friends,Fun,"One of friend came from Delhi three days.She wanted to visit some beach,as I live very close to this place I took her with me for an outing to this very beautiful place.Aksa is always my favourite place.Its lil dizzling and weather was amazing,we enjoyed a.lot."
Aksa_Beach,Aman K,5.0 of 5 bubbles,Aug 2019 • Couples,Very Nice beach,"After Juhu Beach, if a beach is the most famous in Mumbai then it is. It is a very luxurious and romantic beach."
Aksa_Beach,Deepa,3.0 of 5 bubbles,Feb 2019 • Couples,Romantic place.,"Aksa beach lies in Aksa village in Malad,Mumbai.It is accessible from both malad as well as Borivali.Good clean and peaceful beach as compare to Juhu beach.But there is not any water sport there but we can spend a good time with our partner or friends or family."
Aksa_Beach,Fayaz Ahmed Sheikh,4.0 of 5 bubbles,Sep 2018 • Friends,Very good beach,This is one of the famous beach easily accessible through Malad Station  (30 mnts - 45 mnts) or through Versova via Mudh Jetty. If you are lucky enough you can watch shooting of any serials as most of the days shooting is very common.
Aksa_Beach,Gautam Pendharkar,4.0 of 5 bubbles,Apr 2019 • Family,Decent Gateaway,"Although away from actual city, it lies in far west which is difficult to reach in traffic. Its a huge beach but not so clean. Some of the area is restricted by navy. Not much water sports. "
Aksa_Beach,meena1981,5.0 of 5 bubbles,May 2019 • Friends,awesome beach,"Aksa Beach is a popular beach near Aksa village at Malad where many private cottages and hotels are available on rent for tourists and visitors.It is one of the cleanest beaches in the Mumbai.The beach has a base of the Indian Navy at one end and a small beach called ""Dana Paani""at another end.One can not take bath at this beach due to high tides."
Aksa_Beach,Hitesh S,4.0 of 5 bubbles,Dec 2018 • Family,SEA BAECH,"away from old city, people go and enjoy the beach, water is not claer, avoid swimmiing in the sea, just enjoy the sand and sea breeze."
Aksa_Beach,Sumitkumar_13,5.0 of 5 bubbles,Feb 2019 • Family,Beautiful,Aksa Beach located in Malad West is one of the famous Mumbai beaches. Lot of people visit this place on holidays for recreation.
Aksa_Beach,Nikhil P,5.0 of 5 bubbles,Apr 2019 • Solo,Clean and calm in morning,"Mumbai is blessed with great coastal line and some nice beaches . Aksa beach is one of them. Being regular with jogging at Juhu beach,  I decided to give it a try and was pretty much surprised with the cleanliness of the beach. I have heard from locals that it remains quite crowded during the evenings and weekends, but there was very less crowd in morning."
Aksa_Beach,Pankhuri,5.0 of 5 bubbles,Jan 2019 • Family,Some peace and quiet from the city chaos,One of the less crowded beaches in Mumbai.. best if you go early morning to avoid parking hassles. Best vada pao and Kanda bhaji available for breakfast snacks and many more.. the water is also clearer than the other beaches in Mumbai and the sand feels lovely under the bare feet .. sunset is another great time to Visit.. one of the best beaches in Mumbai!!
Aksa_Beach,RRV,4.0 of 5 bubbles,Mar 2019 • Family,One of the cleaner and better beaches,"Was here for an early morning sports time and was happy with the cleanliness.Luckily it was a low tide so there was ample space to play around. There were several groups and yet there was space for everyone.Good part it is not heavily commercialised., but can get extremely crowded in the evenings on weekends. More so because of the narrow lanes and heavy traffic buildup.Recommended to visit in the early morning hours."
Aksa_Beach,aksinglacs,5.0 of 5 bubbles,Mar 2019 • Family,I am regular morning jogger on Aksa Beach.,According to me Its the best beach of Mumbai. Very peaceful in mornings.Lovely breeze and soothing voice of waves. The Resort Five Star Hotel of Raheja Group is located just on the entrance to beach. Autos and regular buses going to Mud Jetty for Aksa Beach are available from Malad (W) Station. Saturday and Sunday evenings are very crowded. 
Aksa_Beach,Ashish Y,3.0 of 5 bubbles,Feb 2019 • Family,Weekend gateway,Aksa beah is one of the clean beach in Mumbai. Aksa Beach is a weekend gateway- good for family visit with children.
Aksa_Beach,Chirag Mehta,4.0 of 5 bubbles,Nov 2018 • Family,Family time,Good place to spend on weekends with family and friends. On most of the occasions the beach is clean and both the care taking staff and government officials are ensuring its stays that way. great connectivity by public transport and one can rent tents as well to avoid heat and sun
Aksa_Beach,Footprints727663,5.0 of 5 bubbles,Feb 2019 • Family,Beautiful,"I went to Aksa Beach. Located a little on the outskirts of the city in Malad, Aksa Beach is an unparalleled oasis for a rejuvenating retreat from the hustle bustle of the city traffic. It is great place to go."
Aksa_Beach,hitesh j,5.0 of 5 bubbles,Dec 2018 • Family,One of the cleanest beach in Mumbai,"If you are a beach lover, and If you are in Mumbai- dont miss this place. Offers everything a good beach-side should give you."
Aksa_Beach,snymjain,4.0 of 5 bubbles,May 2018 • Friends,better beach than Juhu,This beach is not that popular as compared to Juhu but I found it to be much better as it was cleaner. The only issue faced was of transportation as after sunset it became difficult to book a cab or auto as the demand was high while supply being low.
Aksa_Beach,Choton C.,5.0 of 5 bubbles,Jan 2019,AKSA Beach...Fresh Air in Busy Mumbai Life,"Good Think ---Nice Beach ... Went By : MUMBAI LIFE LINE BEST BUS : 271 from Malad Station....Good Snacks (Vada Pau, Maggie , Tea , Masala Papad)....Sea shore walking....!!!"
Aksa_Beach,Parvezk1980,3.0 of 5 bubbles,Nov 2018,Good for family outing for Vasai-virar people,"Hi,Clean and cam black sand beach with less crowd. you need to carry your own food and snacks, as very few vendors are there and that also they will charge you more"
Aksa_Beach,Subhoshree R,5.0 of 5 bubbles,Nov 2018 • Friends,Serenity and peacefulness,Also beach is a paradise for friends who want to enjoy the sunset together. It was a chilly November and we all went to have fun at the beach. Some great experience is gathered and we made unforgettable memories. I have captured some best sunset shots from the beach. 
Aksa_Beach,MANCHIMASTER,4.0 of 5 bubbles,Jan 2019,Aksa Beach,Aksa Beach good for family visit with children. Do not venture into any swimming as the beach is dangerous
Aksa_Beach,Ramakant S,5.0 of 5 bubbles,Jun 2018 • Couples,Romantic Destination - A place to propose your feelings,"Most of crowd is of college students as this place attracts alot of crowd from nearby colleges in Malad. Sunset is must so go there at that time around. Expect to see people making out right there so nowadays it's not suggested to people who find this disgusting, Suggested to Love birds who wants to know more to each other. Be Bold , Share your feelings to the loved ones"
Aksa_Beach,sumod k,4.0 of 5 bubbles,Dec 2018 • Family,Clean beach,Much cleaner and better than other beaches in mumbai. Gets crowded on weekend evenings. Though the sunset is beautiful.Go in the mornings to enjoy the clean waters and scenery.
Aksa_Beach,Aunik,5.0 of 5 bubbles,Sep 2018 • Friends,Most attractive,Aksa beach is located in malad west in Mumbai.It attracts couples and friends at sunset time mostly.A best option for morning walk and jogging.
Aksa_Beach,Foodiengine,4.0 of 5 bubbles,Dec 2018 • Family,Amazing climate,A perfect place to start your weekendYou can visit the place early in the morning and enjoy the weather
Aksa_Beach,701ancyd,5.0 of 5 bubbles,Feb 2018 • Family,BEACHES OF MUMBAI,"Amazing, clean, serene beach. dangerous for swimming due to sinking sand. Pleasant and romantic beach. Good hotels around."
Aksa_Beach,cool_satchmo,4.0 of 5 bubbles,Feb 2018 • Friends,Nice place for a relaxed stroll,"Getting to the beach can be a bit difficult since one has to travel down a narrow and very crowded road through Malwani village. However, once you get to the beach it is not very crowded and a nice place for a relaxed evening stroll. Swimming can be dangerous here"
Aksa_Beach,SYNTHIYA L,5.0 of 5 bubbles,Nov 2018 • Friends,Relaxing Place,Best ever beach i have visited no need to go Goa you can feel the experience at Aksa beach good environment. 
Aksa_Beach,sharjeelcool,3.0 of 5 bubbles,Jun 2018 • Friends,Great,This beach is a very good place to spend some quality time with your friends and family be rest assured
Aksa_Beach,Amrendra K,5.0 of 5 bubbles,Nov 2018 • Solo,Clean and Less crowed,Aksa beach is perfect getaway for People residing or visiting Mumbai. Best part is it very less crowed and Clean. It has a long and sandy beach. There are many small shops who are selling snacks and other food items. Parking is available at the Entrance of beach. Only thing which needed to improve is this place does not have public toilet nearby.
Aksa_Beach,Shabri,5.0 of 5 bubbles,Dec 2017 • Business,Aksa Beach,"This is a beautiful and surprisingly clean beach reasonably accessible from Mumbai. It may be a bit far from the city center,  but worth the drive if you are looking for some sun n sand fun - most other beaches in Mumbai are either too crowded or too small to really be able to take in the beauty of the Mumbai coastline."
Aksa_Beach,disha,5.0 of 5 bubbles,Jan 2018 • Family,clean place,On the Christmas Eve it was an unplanned trip when I visited Aksa beach.Seriously enjoyed a lot.! At 6 pm it was really nice to see the sunset.After walking a bit we reached an island like structure were we had hot spicy bhaiya with chutney that really complimented with the chilled evening.it was really a clean beach where children can play safely.there are interesting rides for childrens.and people can have a lot of things to eats.the quality is good. as well as the washroom are also clean.really a nice place to visit.must go unplanned you can release stress. !...
Aksa_Beach,KapilDwivedi,3.0 of 5 bubbles,Sep 2018 • Family,Not good for Family.,The place is good to have fun with friends and for couples  but not good for Families as there are lots of couples.
