Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Shirdi_Sai_Baba_Temple,abhinandn t,5.0 of 5 bubbles,Apr 2022,Great Place To Visit And Take Blessing Of Sai Baba,"I Loved the visit Om Sai Ram, Here we visited at 2019 jan, after 10 years, and found many things have changed. I will visit here again."
Shirdi_Sai_Baba_Temple,Chinmai Gupta,4.0 of 5 bubbles,Jul 2022 • Family,Plan your taxi carefully.,"I went to Shirdi, from Delhi with my 70+ parents and 2 kids, aged 13 and 7, thinki g that it is a safe destination to travel to, for ladies.We had planned a 5 days trip, starting from Shirdi, to trimbakeshwar, then Nashik and then back to The hotel - Marigold Regency was wonderful- neat, clean, staff helpful , free pick and drop service to the Sai Temple.The only problem we faced in the whole trip was the taxi that had been arranged through a travel agent.We arranged it before travelling to avoid last minute confusions but it did not turn out to be so.The taxi driver was apathetic, had no desire to show us  nearby attractions even on repeated requests.Did not tie the luggage on the luggage carrier, so in effect we travelled in cramped seats despite it being a 7 seater.He took us to specific shops in shani shignapur and shirdi and compelled us to buy stuff from there, and had no consideration for my elderly parents parking very far away- saving his petrol and creating difficulties for us, which were avoidable.Even when requested to drive further he refused.On the third day of the trip, he started harrassing us for extra money- refused to follow the earlier agreed upon  itinery and created a lot of stress for me and my parents.To the extent that eventually we had to change out taxi.But this experience left a bad taste and made me to feel that even now, single females with/ without kids are not safe to travel."
Shirdi_Sai_Baba_Temple,anu_v,5.0 of 5 bubbles,Oct 2019,Holy Baba,I visited this temple with my parents and friend. The place is quiet and holy for anyone who knows Baba. It is well known among locals and tourists. 
Shirdi_Sai_Baba_Temple,Nanthakumar Ganesan,5.0 of 5 bubbles,Dec 2019 • Family,Calm place for medidation,Good location and calm place near to VGP golden beach.. I liked ambiance much.. Very calm place and better place to do medidation
Shirdi_Sai_Baba_Temple,Mansi Reddy,4.0 of 5 bubbles,Dec 2019 • Couples,Beautiful visit,This temple located in ECR is so peaceful and beautiful. They have evening Aarthi and the atmosphere is very calm and composed. 
Shirdi_Sai_Baba_Temple,Mrudula,5.0 of 5 bubbles,Aug 2019,Baba temple,Shirdi sai baba temple is the best temple to visit and there are no restrictions towards any  religion and one can visit and spend some time
Shirdi_Sai_Baba_Temple,OMKAR PAGADALA,5.0 of 5 bubbles,Mar 2019 • Family,Lord sai baba,This temple has a lot of significance. I have visited the temple with my family. Nice atmosphere to keep mind relax and peaceful.
Shirdi_Sai_Baba_Temple,Gopi,4.0 of 5 bubbles,Dec 2019,peaceful and divine place.,I love this place. Every Thursday  I went to Saibaba temple. This Thursday I visit Shirdi sai baba temple. It was so nice and peaceful and divine.
Shirdi_Sai_Baba_Temple,Geet L,5.0 of 5 bubbles,Dec 2019 • Family,Piligram,Hi. This is satish from vizag traviling to shiridi shell I visit 5 jyothirlinga Temples in one day from shirdi..???
Shirdi_Sai_Baba_Temple,Sunitha Shenoy,5.0 of 5 bubbles,Jul 2019,Divine and Peaceful,The temple located in ECR the road after Food village and is spacious and is very peaceful. If you happen to visit other than Thursdays you will find pretty less crowd here.One can sit in the dhyana mandapam which is located below Baba's statue. Apart from that there is a huge space right in front of his idol.
Shirdi_Sai_Baba_Temple,Akshay,5.0 of 5 bubbles,Nov 2019 • Family,Shirdi visiting places,"Everyone should visit sai baba temple after completing the darshan in samadhi temple there is a place called DwarikaMai, the place where sai baba spent 60 years of life and the Dhuni is still burning in DwarikaMai.After that go to old shirdi a good place to watch and feel relax it entrance costs 125/person and it is 3km away from temple some of the photos below ."
Shirdi_Sai_Baba_Temple,RaviUnni,5.0 of 5 bubbles,Oct 2019,a Sai temple off ECR located in spacious premise,"Located in Injambakkam on the left side of the road, coming from Tiruvanmiyur and soon after Food Village. Spacious temple complex with sufficient car parking space. Besides Sai, it has few Hindu dieties; separate structure where you can sit and meditate. theres a go-shala located in 1 corner of the complex. overall a very calming and peaceful experience"
Shirdi_Sai_Baba_Temple,mageshkumar712,5.0 of 5 bubbles,Aug 2019,Best place for Peace of Mind,"I visited this place during the month of august,me and my friends visited this temple as we heard this sai baba temple was famous in ECR.So we decided to visiti this temple and it was so pleasant and we felt the peace of mind , when we come out of this temple."
Shirdi_Sai_Baba_Temple,Kunal7086,4.0 of 5 bubbles,Dec 2018 • Business,They have clean Blood Donor camp within the temple,"Good to travel very early in the morning in order to beat the traffic and also enjoy the sun rise.As we arrive, watch out on the guys selling pooja plates as you need to bargain. they begin with 1300 rs and can come down to 500 or less depending upon the items you want to present. In my opinion, even if you dont take any items, you will still be blessed :)they have broken down the process by extending the time taken to take the tickets and then join the main que, this will reduce the crowd and you will get decent time to perfrom your pooja.Enjoy and remember your reasons of goign to shirdi...once that is clear then all other small inconvenices will be irrelevant!"
Shirdi_Sai_Baba_Temple,Hariharan D,5.0 of 5 bubbles,Aug 2019,Divine Darshan,Baba's temple gives you divine aura and mental peace. You could sit at the temple for long hours to say your prayers and also make offerings at the temple. If you are keen you can also pay for the annadhaanam at this temple.
Shirdi_Sai_Baba_Temple,Rangakumar,4.0 of 5 bubbles,Aug 2019,Spacial temple,Relaxed and peaceful dharshanlarge space to play around for kids and peacefull to have a chat with dear onesdiscuss important things in the temple premises
Shirdi_Sai_Baba_Temple,Alina Z,5.0 of 5 bubbles,Aug 2019,Heavenly,"Not a Sai Baba devotee here, but a long time meditator - my friends and I can testify that this is an abode of peace, brotherhood and unconditional love. Also, everyone we met here was really nice and helpful, and the temple grounds are very pleasant and well maintained. Do come for a visit, and buy the nicest garlands from the vendors right outside. "
