Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ram_Ghat,Surya Katakam,4.0 of 5 bubbles,Feb 2022,Clean and Neat Ghat,"There are many ghats built  on the bank of Shipra river for bathing during Khumbmela. Ram Ghat is also one of those Ghats which is 1km away from Mahakaleshwar temple and 3 km from Ujjain railway station. Ram Ghat is known for:1. Ram Ghat is oldest holiest bathing Ghat compare to other Ghats of Ujjain. 2. Shira Aarthi held here everyday evening which is most memorable moment of this place visit.3. This Ghat is famous for its Sun set View.4. Due to its prime location, Ram ghat witnesses a huge croud during Khumb mela including the Akharas, who arrives here to take holy dip during Khumb.5. Boating Facility is available here during normal days"
Ram_Ghat,Kaalsarp dosh pujan Ujjain Price 1500₹,5.0 of 5 bubbles,Nov 2022 • Business,Kaalsarp dosh pujan,"You can contact Guru ji for Kaal Sarp Dosh Poojan.  At present, Kalsarp Puja in the entire city of Ujjain is done by Guru ji with complete Vedic rituals for only 1500 ₹, its Mangalbhat Puja is also done by Guru ji and Guru ji's birth chart study is also perfect.  Along with all these works, Guru ji also does the worship of Vastu defect prevention and business, business obstacle removal with complete law."
Ram_Ghat,williamsamaddar,5.0 of 5 bubbles,Oct 2022,Positive vibes,"Located on the eastern bank of the Kshipra river, close to the Harsiddhi Shaktipeeth is the oldest and most famous ghat of Ujjain [referred to as Avantika in our shastras]. The place is a hub of various Hindu ceremonies and rituals which take place everyday on the steps of the ghat. This is also where the Kumbh Mela is held every 12 years. The clean and peaceful place is dotted with several temples and exudes a very positive vibe. One of the most spiritual spots in the country."
Ram_Ghat,DKD007,5.0 of 5 bubbles,Sep 2022,Jai Shipraji,"What a place. On the banks of auspicious river Shipraji this is pure bliss. After having darshan at Maa Harsiddhi mandir, sitting on the banks of the river is an experience in itself.   "
Ram_Ghat,dimpoo1971,4.0 of 5 bubbles,Aug 2022,DONT MISS AARTI,Its very long ghat by shipra river.people need to maintain cleanliness. highlight without doubt is evening aarti.
Ram_Ghat,Swiggy Wala #swiggywala,5.0 of 5 bubbles,Jun 2022 • Friends,Ram Ghat ujjain ,"📍Shree Ram GhatThis place is very holy place and says that Lord Ram has taken bath after shraddh of Dashrath (his father). Here is no need of queue because its very long.Extremely popular as the venue of the famous Kumbh Mela in Ujjain, Ram Ghat is one of the biggest pilgrim places in India. It is where millions of pilgrims gather during the event. The aarti here is renowned and the ghat is known to be the oldest bathing ghat in Ujjain, almost as old as the Kumbh mela itself"
Ram_Ghat,abkush,3.0 of 5 bubbles,Dec 2021,Ram Mandir Ghat,"Ghat itself is quite clean and well maintaned, but the water of Kshipra isn't.There is a lot of garbage (thrown by visitors possibly) keeps floating in the water.There is a huge trishul (trident) from a temple beside it.Nothing much to do, in case you are not planning to have a dip in here."
Ram_Ghat,skdel2016,4.0 of 5 bubbles,Nov 2021,A place to attend aarti on Shipra river,"The place having Shri Ram Mandir at bank of Shipra. Ghats are clean but water is not too clean. People should have some respect where Laks of people come in Singhasth Kumbha. Aarti is being performed at evening where you can enjoy. people come here for Holy Bath , but I wish it could be managed better."
Ram_Ghat,Vilhelmatia,2.0 of 5 bubbles,Jan 2021 • Family,Respect,The attendees to this site has no respect for the complex and water itself. It is need of good scrub and water purification.
Ram_Ghat,Jaspal_Singh,5.0 of 5 bubbles,Oct 2020 • Family,Pious Snana,"Ghat is well managed and kept clean round the clock. Good place to do snana, Pooja, japa and worship. Nice mgmt of facilities for pilgrims, even during COVID times. Water is also clean and river well maintained. Must visit. "
Ram_Ghat,Gdj,5.0 of 5 bubbles,Feb 2020 • Family,Ramghat ujjain,In most famous ram ghat at the bay of shipra river.according to shastras very importance of snan at mokshdayni shipra river.
Ram_Ghat,ankan146,4.0 of 5 bubbles,Jan 2020,"LORD CHITRAGUPT,,YAMRAJ'S ACCOUNTANT TEMPLE FOUND HERE.  ---DONT MISSSS  AT ALL..","1)most famous ghat in ujjain near mahakal temple .5-7 minuts only 2)lord chitragupt (accountant of yamraj)  TEMPLE HERE.it is said offer here copy and pen for auspicious reasons.(exclusive and rare temple) 3) SHIPRA ARTI  IS A SIGH TO SEE HERE..IN EVENING.. 4) BATH here alowed but water is slipery,,so beware,,and  dont go far in water..stay near..on steps and use mug/bucket.5)shipra RIVER  ITSELF IS  anant poonya dayini,,,,,so dont miss this famous ghat.clik helpful if liked below review.."
