Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Children_s_Park,PranavKarnik,5.0 of 5 bubbles,Apr 2019 • Solo,A good experience,"At Rs.20, with the kind of experience you get is with it. There are two parks - snake park and children's park. Both have an entry fees of Rs.20 each. Combined you get see a hell lot of snakes with information, lizards, crocodiles, deers, monkeys, peacocks, birds, emu, jackel, turtle, etc. It's a must visit place with children. Limited food is available outside the parks but since this park is in the city you can make your own plans to have food. "
Children_s_Park,mohit406,3.0 of 5 bubbles,Mar 2019 • Friends,Disappointed bit,"Went snake park to see  king cobra   to our surprise there was none , other snakes were kept in very small area which i felt could use more space.Basically looked a mini zoo with less amenities and space for animals    can spend few hrs  "
Children_s_Park,mani_kalai,2.0 of 5 bubbles,Jul 2018 • Family,Just a mini zoo,Not much activities for children. Entry tickets  ₹20 for Adults and ₹5 for childrens which is value for Money. It's just a mini zoo with small play area. There are more adults visitors then childrens. And they totally occupying the play area which is meant for childrens. The play area is not. Maintained well and most of them are unsafe for kids. Local park play areas are better here. Except the trees and entry fee nothing special for kids. 
Children_s_Park,rvignesh1947,5.0 of 5 bubbles,Apr 2018 • Couples,Good,Nice place to relax and enjoying to see the kids activities nice place in chennai and we had a great time
Children_s_Park,YashiR25,4.0 of 5 bubbles,Jun 2017 • Family,For children,A green luscious park kinda thing near Guindy National Park. There is an entrance fee to it. Lots and lots of deer. Children can amuse themselves.
Children_s_Park,mdkhaleel,4.0 of 5 bubbles,Aug 2017 • Family,Green patch in a concrete jungle,"          Suddenly it struck my mind to take my granddaughters who were getting bored to children’s park at Guindy, within the city limits of Chennai. We had a nice evening with various animals & birds in enclosures like, langoors (monkeys), Deers, zebra, Turtles, Peacock, EMU,Parrots, lovebirds, Rabbits, varieties of snakes etc. It was sad to notice that lots of enclosures were empty and many were still under construction. There are two or three play areas & children like it very much. More than a children’s park it is a lovers park, as you can see them a lot loitering here & there. Hardly you can spend Two or three hours here, as it is tiring & no other entertainment & empty enclosures. Lot can be done to make it more attractive not only for Children but also for those who accompany them. But not a bad idea to take your children and visitors once in a while away from the busy life in a concrete jungle. Best time is after you leisurely finish your lunch at home, but not in the hot sun."
Children_s_Park,Finn J,5.0 of 5 bubbles,Jun 2017 • Family,On visit with children,"A very good place to visit with your children,playground,place to eat, lot of animals. you can easy ley your children running arund and play etc."
Children_s_Park,Prasobh K,3.0 of 5 bubbles,Feb 2017 • Family,Nice small park for kids to enjoy !!,"Guindy Children's park is on Sardar Patel Road near IIT. The place has a nice green cover and several places for young kids to play and enjoy. There are a few animals like Deers, Monkeys, Turtles, Birds like paecock, emu and parrots. The children will definitely enjoy this small zoo :) Also there is a small snack counter for food and juices. Overall one can spend 2-3 hours here with young kids."
Children_s_Park,babu m,5.0 of 5 bubbles,Jan 2017 • Family,Normal,This only park inside of Chennai  it's nice to children and our family  not a big place but good place  
Children_s_Park,Anusuya D,4.0 of 5 bubbles,Jul 2016 • Family,nice small zoofor kids,childrens love to enjot in visiting this zoo. many schools bring children as they can teach about animals. but only small number of animls
