Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Bandra_Fort,Acineto,5.0 of 5 bubbles,Jan 2023,History and Gardens,"Banrda fort can be hard to get to, but I managed to get an uber there and back from Colaba.The area is relatively clean and very nice to walk around. There is a garden which mingles with the remnants of the fort. There is also an access point to the beach area on the rocks. The area near the fort is quite open, and there are people using the area to play. It also has a really nice view of the ocean and the Sealink bridge.The area is free to enter but is gated, and it does close for the night. There is a path that goes under the Sealink, but it seems to still be under construction as it ends as you reach the bridge.The area is nice for photos or just sitting around for a while, especially in the garden area."
Bandra_Fort,Abhilasha Kambli,4.0 of 5 bubbles,Aug 2022 • Friends,Must visit place for photoshoot and travel Bloggers,Worli koliwada is one of the seven orginal isands of Mumbai. It a home to the koli community. Must visit place for travel bloggers.
Bandra_Fort,Yogesh L,4.0 of 5 bubbles,Jan 2022,"Good old Fort, needs maintenance",This is a small fort at the sea shore - famous for movie shootings - it definitely needs some maintenance and uplifting and taking care of garbage management.
Bandra_Fort,jojo,4.0 of 5 bubbles,Nov 2021,Scenic Beauty,Scenic views of sunset being enjoyed by many. The historic fort had pathways and rocks and could  be viewd  the panoramic sea link. Had many seating arrangements and thick trees and a natural look.This being the land end of Bandra had tanquility and beautiful views.
Bandra_Fort,RAJENDRA884 PRASAD,4.0 of 5 bubbles,Feb 2021,Great place for history buffs and youngsters!,"This is one of the most frequented place by youngsters, which is also known as Lovers' Point. Also known as Land's End, it is part of rich history, where Portugese rulers built a fort in 1640, Fort of the Waterfront.  This entire area was bought by a Parsi businessman Sir Byramjee Jeejeebhoy in 1850.  Now one can see Taj Land's End and abodes of several top Bollywood persons in this area."
Bandra_Fort,Menka Singh,4.0 of 5 bubbles,Nov 2019 • Friends,Beautiful place. ,This fort was built in 17th century. And it is very beautiful with beautiful vibes. The place is very refreshing and cleanliness is OK OK. But it is one of the most beautiful place I have seen. Must visit. 
Bandra_Fort,Iqbal M,5.0 of 5 bubbles,Mar 2020 • Couples,Lovely,This is my honeymoon trip with my love when i explore bandra i went to bandra fort .when i reached there  great view amaze me .its located nr taj bandra hotel .wow view here of sea and bandra worli sea link
Bandra_Fort,ankushsunkale,4.0 of 5 bubbles,Sep 2019,ancient portugese fort of 17th century,"This fort was built by portugese in 17th century . Now only some structure is remaining. this fort, bandra band stand visit can be combined. There is bus service from bandra station to Agnel Ashram and you get down at last stop. From this fort nice view of sea and sea link.best visit time early morning or evening."
Bandra_Fort,Vikas Singh,4.0 of 5 bubbles,Jan 2020,1640 built fort,After the Mahim fort fell to the Portuguese in 1517 they built this fort Castella de Aguada in 1640. There was source for drinking water nearby which was used to supply water to the fort. Unfortunately little remains of the old fort. However the place gives a good view of the Worli bridge.
Bandra_Fort,ashwin k,1.0 of 5 bubbles,Jun 2019 • Friends,Place for cheap love birds,This place which looks like a fort is now more of a place for cheap love birds. Not recommended for family at all.
Bandra_Fort,Ramesh B,3.0 of 5 bubbles,May 2019,An overlooked aspect of Mumbai history with free entrance,"Went there out of curiosity. Learnt about the portuguese in Mumbai, development of Mumbai and had wonderful views of the sea link bridge and Mumbai skyline. I would have appreciated if the nearby 5 star hotel contributed to the upkeep of this piece of history."
Bandra_Fort,Tripcultr,5.0 of 5 bubbles,Jul 2019,Great place to click a picture with Arabian sea and Sealink,Great place to visit during monsoon and to click a picture. You have Arabian sea and Worli sealink on one side and Taj Land end on the other side.
Bandra_Fort,Mahesh Kulkarni,5.0 of 5 bubbles,Jul 2019 • Family,Bandra Band Stand,"Bandra Band Stand, Bandra, Mumbai.A wow place to pepp your mood and get rejuvenated to the core.Just 3 km from Bandra station and 3.5 k. From BKC is this Bandra Band Stand with long promenade n a walkway with lines of small bushy trees n eatery houses with small shacks.A must visit place in Bandra even if one is visiting Bandra for  one day.Adjacent is Shahrukh Residence of Mannat, it's more famous."
Bandra_Fort,sijick,5.0 of 5 bubbles,Jun 2019 • Business,Must visit place in Bandra,"At the land's end is the Band stand, where in British raj, the band used to play music, hence the name. It has a small fort like structure, still in its ancient form. The sea dashing against its walls makes it a lovely sight. Whenever we visit Mount Mary, we do make it a point to go here. Only issue is when we go with family, we feel embarrassed as love couples are shamelessly doing their stuff. Police should do something about this menace."
Bandra_Fort,Gautam Pendharkar,3.0 of 5 bubbles,Nov 2018 • Family,Sad Fort,"The Bandra fort has an amazing location overseeing the Arabian sea and the WBSL. It can attract lakhs of foreign tourist if maintained properly, It has become a den for couples, people doing shoots and selfie point. It can be promoted in a proper way to promote tourism."
Bandra_Fort,Musafir_shimoga,4.0 of 5 bubbles,Jun 2019,Scenic views ,"Bandra fort a dilapidated structure on the shores of Bandra Lands end. A good place to enjoy the scenic views of the Arabian sea. The bandra worli sea link on the one side and skylines of Mumbai at the backdrop adds to the scenic views from the fort. There's a small garden adjacent to the fort and the entire area is occupied by young couples. The Taj Lands end hotel and Mannat, the residence of Shah Rukh khan are additional attractions in the vicinity. "
Bandra_Fort,naganand,4.0 of 5 bubbles,Jun 2019 • Solo,Bandra Fort mumbai,"The ruins and ramparts are located next to  hotel Taj lands end in Bandra mumbai. Well kept with a lovely garden of trees and walking paths and seating overlooking the mahim creek it was strategic to the colonisers , initially by the Portuguese in the 17th century and then the british who took it over and destroyed it. Some great views of the worli sea face and the sea link bridge."
Bandra_Fort,Vishesh A. Chawla,5.0 of 5 bubbles,Apr 2019 • Friends,Breath-Taking view of The Sea-link,"The Bandra Fort which is located beyond Taj Lands End, in Bandra offers breathtaking views of the Sealink and is a Must Visit for tourists who wish to just enjoy the skyline towards South Bombay!"
Bandra_Fort,Sanchay,4.0 of 5 bubbles,Mar 2019 • Friends,An ok place to relax,"It's not much to explore in itself, but the picturesque view of Bandra-Worli sea link is worth the visit. Visit in the early hours of the day, or you might find yourself in scorching sun, without much shade around. Plenty of places to sit and decent backgrounds for selfies. There are some food stalls nearby for quick snacks."
Bandra_Fort,mnrkrishnan,4.0 of 5 bubbles,Nov 2018 • Family,Best view of Bandra-Worli Sea link,"Castella de Aguada, also known as the Bandra Fort, is a fort located near Bandstand in Bandra, Mumbai. It seems its Portuguese builders actually called it Forte de Bandorá. It is located at Land's End in Bandra.  The view of  Bandra Worli sea link is amazing from here.  Nearby there is also a Park.  Evening time is best enjoyable here with family & children."
Bandra_Fort,Pratik1310,3.0 of 5 bubbles,Mar 2019 • Friends,Not great,The place is located very near to taj lands end. Many locals come there to spend some time as it has a very good view of the bandra worli sea link. 
Bandra_Fort,Kartik K,2.0 of 5 bubbles,Oct 2018 • Friends,Dirty,The view from here is great but the place is usually dirty and filled with people. Not as good as it used to be. 
Bandra_Fort,Skaramoosh,4.0 of 5 bubbles,Dec 2018 • Couples,Thumbs Up!,"Lots of locals come to this vista point. A very good view of the bridge, Bandra-Worli Sea Link.Not necessarily on the to-do or must-see list. But if you happen to be in the neighbourhood it's a good spot for some photos.The locals spend hours just relaxing and hanging out. We spent just under an hour walking the grounds and getting some snapshots."
Bandra_Fort,OldseadogOxford_UK,4.0 of 5 bubbles,Feb 2019 • Friends,A cool place to visit,Arrived at the Fort via a Tuk Tuk ride from Banda Station which was great fun and with the experience of local driving.The Fort has excellent views of the new bridge and is adjacent to gardens that give relief from the heat.
Bandra_Fort,vaishalineo21,4.0 of 5 bubbles,Jul 2018 • Family,Good for couples.,Thinking to go with family please ignore as this place is only good for couples hanging around you can travel with friends.
Bandra_Fort,Dhruv Furiya,4.0 of 5 bubbles,Feb 2019 • Friends,Bandra Fort Review:,"The sea near the fort is egalitarian – it is experienced in equal intensity by everyone in its vicinity. The Bandstand Promenade is a kilometer-long walkway that ends at Bandra Land’s End, where Bandra Fort, as well as an amphitheater. The old Fort is not properly maintained or else it is a great historical site in Bandra a family visit is a must for all Mumbaikars."
Bandra_Fort,Sunil G,3.0 of 5 bubbles,Jan 2019 • Family,Old fort not well maintained,Bandra fort is very old one but its not well maintained. there is lot of construction around and its not an ideal place for picnic
Bandra_Fort,Komator,4.0 of 5 bubbles,Sep 2018 • Couples,Nice and crowded,"The Bandra Fort is located in the south part of Bandra. It's usually very packed with people. From tourists to students relaxing. The fort itself is almost destroyed, but the green area is very nice to relax."
Bandra_Fort,KapilDwivedi,3.0 of 5 bubbles,Nov 2018 • Family,Good for couples.,Do not visit with family as its place for couples only annoying. You can have a nice view of Worli sea link from the fort.
Bandra_Fort,DeeTee,4.0 of 5 bubbles,Jan 2019 • Family,Excellent place to view the Bandra-Worli Sealink and get to the sea.,This is a great place to visit especially around sunset time for photography of the bandra worli sealink and the sunset as well. There's a garden here as well but be advised you'll find a lot of couples in cozy cuddly and even questionable positions too. Top off your visit with some nice snacks over tea or coffee at Taj lands end. If that's not in your budget then you can also walk to nearby CCD at bandstand and on your way see Shahrukh Khan's home too.
Bandra_Fort,Mohit Agrawal,4.0 of 5 bubbles,Jan 2019 • Friends,Place where lands meet sea,"Fav spots of couples.Lot of movie shoots happens here.Fav place of joggers.Home for stars like SRK , Salman. Must visit when on Mumbai Darshan"
Bandra_Fort,RoyDebashis,3.0 of 5 bubbles,Dec 2018 • Family,A open hangout place in Mumbai,"Bandra Fort also known as ""Castella de Aguada"" means Fort of Water point. It was built by the Portuguese in 1640. This is now a famous hangout site for Mumbai people. From the fort your can have a nice view of Arabian ocean and the Bandra–Worli Sea Link bridge. During low tide the rocky beach beside the fort can me a attractive place. This is one of the best sunset point of Mumbai. There is no entry ticket required for this site. A open stage is there where different shows been organize."
