Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Banganga,Mahesh Kulkarni,5.0 of 5 bubbles,Nov 2019 • Solo,"Banganga Tank at Walkeshwar, Mumbai.","Banganga, Walkeshwar, Malabar Hill, Mumbai.Today was Tripurari Purnima Deepotsav. Many organisations including MTDC had organised this function as an event to make the spot popular to attract tourism.Bhagwan Laxman pierced his arrow and Ganga Mai appeared from earth is the folklore of the place and people around worship the place, though few throw their washed waste water in the tank with carelessness.Tripurari Purnima Deepotsav must be propagated on a larger scale and timing must be maintained irrespective of the innumerable VIPs reach on time or not."
Banganga,Sachin K,5.0 of 5 bubbles,Aug 2019 • Family,Legendary ,"Banganga is located in Walkeshwar in South Mumbai. It is easily accessible by public transportation. There is a legendary history to this tank of water, which dates way back to Ramayana times. The city of Mumbai can certainly do cleaning of the water and restoration of the surrounding area to attract tourists and to make it a major tourist attraction. Would certainly very highly recommend visiting the same to any traveler who is interested in ancient Indian history. "
Banganga,Nikhil P,3.0 of 5 bubbles,Jun 2019 • Solo,Religious place,"Located at Walkeshwar , near raj bhavan,  this is a small pond. It is associated with Hindu religious believes and is often visited by families to perform religious ceremonies. There is nothing much to look for at this place so visitors to Mumbai can give it a miss and move on Girgaum chowpaty."
Banganga,Hitesh S,5.0 of 5 bubbles,Oct 2018 • Family,PND with History of Hindu Mythlogy,"Its smallpond with hindu  small temple near buy and has mythological history with this pond, local people take care for clanliness of the pond."
Banganga,592abck,3.0 of 5 bubbles,Jul 2018,Hindu place,This place has facility to do last rituals of the dead ones. Nothing much to see here except a small lake
Banganga,RAVALNATH P,5.0 of 5 bubbles,May 2019 • Family,religious visit,"on Sunday 5th May visited walkeshwar banganga along with my younger brother.Their is an anecdote that Lord rama visited this place in search of sita.He was unable to trace her in order to appease Lord Shiva he created a shivling from sand and worshipped it.He wanted to do abhishek with water but water was not found anywhere so Lord rama took his bow and arrow and with the arrow he created a pond which is known as banganga.    The entire place is surrounded by temples of various gods like Hanumana,venkatesha.    At the entrance of the lane to the temple their is a temple of Lord khandoba.This place is a must if you want to visit a religious place."
Banganga,albatraoz_stories,5.0 of 5 bubbles,Feb 2019 • Solo,quiet peaceful place in south Mumbai,"I would suggest going here really early morning or evenings. the place is beautiful. However, as usual many of us keep littering the place, so let us keep our India Clean. During a yearly festival the entire area is lit up and beautiful. Date must be checked before going. I also love to sit here on some lazy afternoons, watching kids jumping into the water, beautiful swans, kids playing cricket. Ek baar zaroor jao...more details on my insta account albatraoz_stories"
Banganga,MANCHIMASTER,4.0 of 5 bubbles,Dec 2018 • Family,banganga,banganga at walkeshwar is place of interest as it says when Lord rama shot an arrow ie ban inthe  ground and ganga water came out 
Banganga,Padmini15,5.0 of 5 bubbles,Dec 2018 • Family,Believe it or not!,"It is said that on his way to Lanka to rescue Sita, once Ram was very thirsty. When he asked his brother Lakshman for water the latter took out an arrow (ban) and water emerged after it pierced the ground.The water here is sweet even though it's only a few meters from the sea.It is believed that a subterranean tributary of the Ganges flows here and so the water isn't brackish and hence the name  Banganga. It is a must visit place."
Banganga,NissimKrispin,5.0 of 5 bubbles,Sep 2018 • Couples,Banganga Tank,"Sometimes you must have some quiet in this chaotic city.A magical retreat you find in the Legend Palace Jain Temple. The temple was originally built more than a thousand years ago for the god of the sand, but the structure that stands there today is from 1715. Beneath the temple is the interesting water tank “Banganga Tank” were believers bathing in, pilgrims who believe that the water broke out from the earth after Rama fired an arrow into the earth from his legendary bow. The reservoir is impressive. The silence is wonderful. We sat for a long time at the foot steps that surrounded the reservoir on all sides, and we could not stop being impressed by the calm, the silent and by the ritual of the bathers."
Banganga,BomiPardiwalla,3.0 of 5 bubbles,Sep 2018 • Friends,Dirty,"Saw the place as it's just off Teen Batti at Walkeshwar. Dirty green water, no safety measures or warnings, and poor infrastructure add to this otherwise beautiful pool of water and a holy and serene place. Still worth a look."
Banganga,Abhishek Devle,5.0 of 5 bubbles,Sep 2018 • Friends,Old place in Mumbai must visit ,"Old place in Walkeshwar. Banganga Tank is an ancient water tank which is part of the Walkeshwar Temple Complex in Malabar Hill area of Mumbai in India. The Tank was built in the 1127 AD, by Lakshman Prabhu, a minister in the court of Silhara dynasty kings of Thane. Must visit here"
Banganga,OhBoy,3.0 of 5 bubbles,Jul 2018 • Family,To be packaged right ,"Simple serene placeVisited the place late afternoon before going to other planned places, hence was not a downer Not much to explore at the tank but some interesting places in the vicinity if u r interested in old temples.Have some time at hand and visit nearby small templesBest way to reach get down at Charni rd station walk over to beach side and take a cab"
Banganga,AmolMathur,5.0 of 5 bubbles,Jun 2017 • Solo,Religious visit,"I have been here twice and both time on a personal note due to loss of a family member. The place is considered holy by many and have all the means to carry out last rites for hindu folk. It is well maintained , neat and clean. a part of mumbai not many know about or like to visit but the entire area is surrounded by colourful canopies and shops. A very beautiful and peaceful place to be. Should visit if you are in mumbai. Easy to reach but parking can be tricky at times. "
Banganga,PuckPasha,5.0 of 5 bubbles,Mar 2018 • Couples,A little Gem,"Hidden in the middle of a slum it has a small temple: Walkeshwar hindu temple. The place is very clean, like all Mumbai, and very peaceful. Does not look like a slum. No tourists!  A resident approached us and we talked. He was very happy to live here, with the reservoir just nearby, clean and fresh air, away from the tumble of the city. A little gem."
Banganga,MamaT23,5.0 of 5 bubbles,Apr 2017 • Family,Divine and Holy,Blessed to have been at this sacred location. Hidden in the middle of the city. Not to many tourist there. People/ locals were very welcoming to have us.
Banganga,Swapnil_kale11,2.0 of 5 bubbles,Mar 2018 • Family,Banganga Tank,"A watertank at the esteemed location in the city - Walkeshwar. The waterbody is huge and has ghats all around. It is surrounded by many temples.Priest performing pujas and some having bath in the tank is a usual site. However, cleanliness is not to be seen. The place is highly unclean and any enthusiastic tourist would be disappointed with its condition today."
Banganga,Chukki27,5.0 of 5 bubbles,Dec 2017,Amazing & Monumental,"This tank is a hidden treasure in Malabar hill.  Taxi from Charni road station is the best way to get there. Couple of steep steps down  leads to this tank, rectangular with steps all around. But on reaching the tank area, feeling is serene, calm & peaceful.  Awesome view all around. Surrounding the tank there are many beautiful ancient temples & the small village houses with people living in them. There is mythology to the development of this water in this tank. Famous temple is here Kashi  Math. We were fortunate to visit this temple & join in during prayer & also have temple lunch with the other devotees. Definitely worth visiting."
Banganga,Sudeep Paralkar,5.0 of 5 bubbles,Feb 2018 • Friends,Bliss in the chaotic city,Banganga is very ancient tank predating Mumbai 's history .The tank is surrounded by almost 15 temples . The place offers solitude and bliss in chaotic city . The village adjoining the tank is very quite and peaceful.The place is photographer's delight .traveler interested in local history of the city should definitely visit the place.
Banganga,Yogesh K,4.0 of 5 bubbles,Jan 2018 • Family,Tranquil place in the hustle bustle of Mumbai,"Explored this place for the first time over the long weekend around republic day. I’ve been living in Mumbai for last 15 yrs but never had the oppty to go here before. But K was curious n eager to visit after Kate n William from the royal English family visited this place in the recent past. The place is very nice n tranquil. You won’t get a place to park the car nearby, have to walk for about 10 mins from the place you can park your car. The water in the tank is not so clean but you’ll find people swimming in it. Feels like you’ve come to some remote village in India, doesn’t feel this is part of Mumbai. "
Banganga,Christina Lynch,4.0 of 5 bubbles,Nov 2017 • Family,"Fresh Water Tank, Nice to Pass By","We had the [unfortunate] pleasure of visiting the tank during the Hindu ritual of remembrance of a passed loved one. Although I am not proficient on the process, the somber feeling was there from loved and respected ones. It is a short trip to visit the tank, but one that was filled with respect as we were able to view the honoring of a respected individual. The tank is located within a neighborhood, with some shops on the outskirt. "
Banganga,Bimal0401,3.0 of 5 bubbles,Nov 2017 • Family,Miracle on the hill. ,Very old and beautiful tank in south Mumbai's Walkeshwar area. The place is well known  for rituals after death in Hindus. The tank is very huge and with full of water . The tank required cleanliness. The nearby vicinity also requires attention as regards to cleanliness. The local authority should keep close eye on beautification and cleanliness to maintain such a beautiful heritage side. There is need to deploy round the clock security guards . 
Banganga,Dipankar D,5.0 of 5 bubbles,Sep 2017 • Friends,Superb cultural Value!,"I, along with my friend, who is also an ardent amateur photographer visited Banganga Tank, which is often called the mini ""Banaras of Mumbai"". This fresh water tank, along with the neighboring Walkeshwar temple, was built in 1127 AD by Lakshman Prabhu, a Goud Saraswat Brahmin in the court of Silhara dynasty of Thane. The site holds immense mythological significance among the Hindus. It is believed that when Lord Rama was on his way to Lanka, he paused at this spot to pray to Lord Shiva to help him find his Wife Sita, who had been kidnapped by king Ravana. To do so, he created a Shiva Linga from sand, which came to be known as Valuka Ishwar (meaning an idol made of sand in Sanskrit), thus, lending the temple its name. When Rama, thirsty and tired, asked his brother Lakshman for a drink of water, he shot an arrow into the ground, which resulted in a spurt of freshwater. It was believed that this water came from a tributary of Ganga and the spot was hence named Banganga (Baan means an arrow in Hindi).Centuries since it was first built, Banganga and its vicinity – with its unique sights, sounds and aromas still takes us back to a simpler, quitter time and remains a great spot to escape the city’s usual cacophony. As you make your way down, one of the many narrow alleys branching out from the main road and leading to the tank, you are surrounded by a motley crew of temples and old houses bathed in vibrant hues of red, yellow, orange, pink and other colors. You will also see the local area kids bathing in the tank."
Banganga,JigDave,3.0 of 5 bubbles,Feb 2017 • Friends,Old Memories,This place is very old and in surrounded by temples all around. Its said to have the mythological importance of this place. One can feel blessed showers with the waters of Banganga.
Banganga,knoesenm,3.0 of 5 bubbles,Apr 2017 • Solo,Respect the locals,This watertank is very important to the locals. One should therefore show respects as many people come here to wash in the water that they believe has a source directly from the Ganges. Not many tourists come here so it is hardly crowded. Priests sometimes perform prayers here with people who have lost loved ones. On your way here you will find some locals selling fresh fruit and vegetables. Makes for beautiful photos. 
Banganga,Mirajkar,4.0 of 5 bubbles,Mar 2017 • Solo,Great place missed by many tourists ,It's an ancient tank considered holy by many Hindus .In the days of Pritupaksh many North Indians living in Mumbai come to perform pujas to remember their forefathers.It is also surrounded my many small ancient temples going back nearly 400 hundred years . Seek out the ancient temples if you like history and architecture.
Banganga,Phil W,4.0 of 5 bubbles,Mar 2017 • Couples,Banganga Tank,This open air water tank is part of the Walkeshwar Temple Complex in Mumbai's Malabar Hill. The present structure dates from the early 1700s and is very impressive.
Banganga,Kenyan Traveller,4.0 of 5 bubbles,Jan 2017 • Couples,Banganga Tank,Ancient Hindu myth is the root of the freshwater spring. Quite run down and dirty though. The Indian tourism department should give it a bit of a face lift.
Banganga,gautamic,3.0 of 5 bubbles,Feb 2016 • Family,Blissful Banganga!!,"Banganga Tank - One of the oldest fresh water tank in Mumbai, almost touches the sea yet is a source of fresh sweet water!!                                                                             The area encircling this is steeped in history & mythology amidst a string of high rise luxury apartments - surrounded by temples,bathing ghats,dhobi ghats,Samadhis, Akhadas,royal cenotaphs,Hindu burial grounds - in the Malabar Hill area.This is also the venue for the famous two day music festival celebrated annually & a venue for the Coldplay ""Hymn for the weekend""!! Interesting watch: old windows,old buildings that share a history and the different Dvarpala  structures,myriad colours,also enjoy the peace here:)"
Banganga,LSSmiami,5.0 of 5 bubbles,Dec 2016 • Couples,An Eye Opening Experience!,"Firstly, I suggest going with a guide that can explain what you are seeing.  It is not to be missed!  Banganga is a city within a city... a city made of makeshift housing from tents to tarps to cardboard.  But within this microcosm , there are stores and groceries, a barber, etc.  You will see generations of people living here in life's simplest terms.  Yes, it is dirty and perhaps unappealing but so very interesting.  We were a group of four with a private guide.  I would not feel comfortable walking alone although I must say everyone we saw smiled at us and gave me no reason for concern.  This was one of the high points of our  visit to Mumbai."
Banganga,GeorgeThePorge,4.0 of 5 bubbles,Dec 2016 • Solo,Odd and charming pocket of ancient Hinduism in modern Mumbai,"It is indeed rundown and dirty, but that is because it is a block of the poorer traditional India, stall and little sidestreets hemmed in on all sides by skyscrapers- a fascinating juxtaposition of old and new and often (though not when I went) with large rituals at sunset. I loved it."
Banganga,Jaap G,5.0 of 5 bubbles,Nov 2016 • Friends,"Magical, mysthical","I love this place. It's very small, but so serene. Through alleys you leave the busy city of Mumbai behind you, and you arrive at this quiet place called the Banganga tank. It's great for some peace of mind, and to escape the city for an hour or so."
Banganga,Kushal K,3.0 of 5 bubbles,Jul 2016 • Friends,Visually un-appealing but good insight into Mumbai's history,"There's nothing visually appealing about this tank. If you're in Mumbai for a few days, skip it. However, if you have time have time and a good guide, try and pay a visit. ""Khaki"" does some very interesting walking tours in the area. They'll show you architectural traces of Mumbai's colonial past in some of the most ugly looking building around the tank which is fascinating which you'd never notice on your own. They also show you a some interesting graveyards and stuff here with some historical significance. There's also a couple of temples and a good view of the sea from here (through a very smelly lane)Also, Coldplay's ""Hymn to the weekend"" was also shot here in case that interests you."
Banganga,rakhsup,3.0 of 5 bubbles,Oct 2016 • Family,Water body - Pond for the Temple,"It's an old pond, for the old Walkeshwar Temple, which is now not maintained much. Surroundings are not that great."
Banganga,Aartichand,3.0 of 5 bubbles,Apr 2016,A holy stop,Located in the middle of the concrete jungle of south mumbai this is an old holy destination for followers of Lord Rama. The pond is popular for a religious dip and the steps iconic. Often foreign dignitaries are taken on a tour of this destination. But maintenance is low and the place quite dirty.
Banganga,rashmi r,4.0 of 5 bubbles,Jan 2016 • Family,""" A visit to Mumbai is not complete without visiting banganga""",The steps surrounding the pond remind us of the ghats of varanasi or haridwar . You can start from one end and go in parikrama visting each building or house as you go. Almost each building has a small temple in it. The wooden carvings on doors and pillars in some of the temples are truly unique. I heard that some years back some musical and cultural events were held here but were later discontinued. Such places of heritage are treasures which if not preserved and kept clean will slowly decay and this will be a national loss.
Banganga,AKTHAKUR,5.0 of 5 bubbles,Aug 2016 • Family,TAKE BATH IN THIS HOLY POND BANGANGA CREATED BY LORD RAMA,"This pond banganga is located in south of mumbai accessible by road. If you are taking a taxi it will go straight to the pond.Or else you can take a taxi from grant road station west side or bus from the station west side to the walkeshwar bus depot and walk for around 5 minutes to the pond. This pond was created with an arrow of lord rama when he was feeling thirsty on his way to Sri Lanka to rescue his wife Sita from the demon Ravana.Lord Rama took an arrow and pierced it on the land and prayed to Mother Ganga and this pond was formed. The source of water is Ganges. Banganga means arrow and ganges river. Opposite to the Pond is the ancient shiva temple and many small temples built ages back.The shiva linga inside the shiva temple was also created by Lord Rama from sand. You can watch fish,ducks in the pond and you can take bath and offer holy water to lord shiva. There are few shops near the pond and you can also take help of priest poojary to perform pooja for your ancestors or to ward off your sins.that is the belief. the priest poojary in the shiva temple performs pooja.the temple trust manages the pond and the temples.Worth definitely a visit during daytime."
Banganga,rekhavinod,4.0 of 5 bubbles,May 2016 • Couples,Holy Place,Banganga is located at Walkeahwar and is very popular tourist destination. This place is considered as very auspicious by Hindus and many religious rituals are conducted here.
Banganga,thatzamit,4.0 of 5 bubbles,Feb 2016 • Solo,Historical,One of the nice historical and holy place in Mumbai to visit. One can know the history of Lord Ram and this place.
Banganga,Karan440,4.0 of 5 bubbles,Jul 2015,must visit,It is a part of Walkeshwar Temple near Malabar Hill. The place has the old and rustic feel to it. I visited the place for a photography session. Right place for capturing historic and temple pictures
Banganga,CarLinkMumbai,4.0 of 5 bubbles,May 2016 • Friends,Heritage site in the concrete jungle,An ancient lake lined with ghats on all sides and having multiple entrances lies in the middle of the upmarket concrete jungle in Mumbai. The steps are under restoration and little messy currently. Serene lake formed by the water springs on he bank of Arabian Sea. Must visit site.
Banganga,shyamrupani,4.0 of 5 bubbles,Apr 2016 • Family,In Mumbai but out of Mumbai ! ?,"An ancient lake, thousands of years old, made by LORD RAMA himself by shooting an arrow in the earth to quench his consort Sita's thirst, while in 14 years' exile from his own kingdom, water gushing out till now from same spot , people purifying themselves in the 'HOLY' water with rustic surroundings, recently visited by Britain's Prince William and Princess Kate,I don't know how I  missed this place in Mumbai having livid here for 57 years? An ancient but basic and  simple Lord Shiva Jagannath Temple at the lake entrance- a must see for religious visitors and History lovers to Mumbai."
Banganga,J. Meng H,3.0 of 5 bubbles,Mar 2016 • Solo,A silent place in city,"It's just a lake near a few temple.If you enjoy the silence in a city, perhaps you would like this place.Some part of it is still under construction."
Banganga,Debarati D,4.0 of 5 bubbles,Oct 2015 • Friends,Heritage Choked with Urbanisation,"The  Walkeshwar temple complex with the Banganga tank in its focal point is a living example of heritage choked by rampant urbanization. Here the paradox of traditional life coexisting with unbridled modern encroachment is all too vivid. Near the edge of the Arabian Sea at the southern tip of Malabar Hill, Mumbai, several small, crumbling, stone-turreted temples and flower-garlanded shrines surround a rectangular pool of holy water in an area of looming modern-day skyscrapers and traditional tiled structures. The tank is believed to have existed from the time of Ramayana. Ritual bathers who come here believe the mossy waters of the tank have healing powers and originated from a natural spring. As the legend goes, Rama rested here while on a mission to rescue his beloved Sita from the demon king's abode in Lanka. Overcome with fatigue and thirst, Rama asked his brother Lakshmana to bring him some water. Lakshmana instantly shot an arrow into the ground, and water gushed forth creating a tributary of the Ganges, which flows over a thousand miles away, hence its name, Banganga, the Ganga created on a baan .  Its waters are considered just as sacred as those of the great river itself. The development of the tank and the main temple took place during the 12th century under the rule of the Silahara dynasty.The complex was rebuilt in the 18th century after a Portuguese invasion destroyed it. In the shadow of one of present-day Mumbai's most prosperous neighborhoods, Banganga continues to function as an out-of-time devotional hub, its tolling bells and mantra-chanting pujaris drawing devotees to worship the divine. It is not a part of the usual tourist circuit and it is truly difficult to believe such a place exists in the tony Malabar Hill area of Mumbai.Was fortunate to visit this place as a part of a heritage walk.Also note that December is the time for open-air concerts held at the Banganga Festival."
Banganga,ColdCorona,4.0 of 5 bubbles,Feb 2016 • Solo,Little Oasis Hidden among the Mumbai Streets,"This is an out of the way gem location in Malabar Hill area of Mumbai not far from the Walkeshwar Temple or Baan Ganga Temple dedicated to the Hindu god, Shiva.  The Banganga Tank was built in the 1127 AD, by Lakshman Prabhu, a minister in the court of Silhara dynasty kings of Thane, rebuilt in 1715 AD as part of the Baan Ganga Temple complex and is being renovated again to day (February 2016) at least the steps portion.The water in the 'Tank' is fresh water and this large open space a mist the jam packed Mumbai city backdrop is a nice oasis and frequented by locals.  Nice place to take a break from the Mumbai chaos and just relax and enjoy the peaceful surroundings.  You may even see kids swimming or at least enjoying a competitive game of cricket."
Banganga,Coasties99,4.0 of 5 bubbles,Feb 2016 • Couples,An interesting area to explore,We would never have found this place if it wasn't for the knowledge of a local taxi driver. He dropped us on the street above and we walked down some winding lanes and staircases through a residential area with temples dotted between houses. The tank itself is green with algae and surrounded by rubbish but the whole area is so interesting and quite peaceful. We bought fruit from a local stall and wandered around for a while. Definitely worth a look.
Banganga,vinodkhedkar,4.0 of 5 bubbles,Jan 2016 • Solo,Heritage Lake,"This place has heritage and religious importance in the history of Mumbai city. Situated at Walkeshwar in South Mumbai,this lake is important for conducting many religious rituals especially after the death of close kin. This place is bit ignored and need a proper maintenance.Area around this place is a hot real estate property."
