Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Auraveda_Panchakarma_Centre,Anuja J,5.0 of 5 bubbles,Feb 2020,The most relaxing massage I have ever received,"Very relaxing. The whole thing was my first experience so I have nothing to compare it with but it was the best way to de-stress after a tough long very stressful month. Totally worth the money and time. I chose Abhyangam, Shirodhara, Facial and Steam Bath."
Auraveda_Panchakarma_Centre,Auraveda W,5.0 of 5 bubbles,Jan 2020,Great Value and Great Service,"Dear Ma'am, 
Thank you for visit and sharing your experience with us. 🙏 Routine therapies will make you completely out of stress and other negative impact of the same on the body. We would love to welcome you back to AURAVEDA WELLNESS CENTRE. 🙏 😊 Thank you "
Auraveda_Panchakarma_Centre,pgraham2911,5.0 of 5 bubbles,Jan 2020 • Solo,I got a massage,"Dear Ma'am, 
Thank you for visit and sharing your experience with us. 🙏 Routine therapies will make you completely out of stress and other negative impact of the same on the body. We would love to welcome you back to AURAVEDA WELLNESS CENTRE. 🙏 😊 Thank you "
Auraveda_Panchakarma_Centre,BharatC,5.0 of 5 bubbles,Jan 2020 • Couples,Rejuvenating,I found the service to be friendly and professional. They were really helpful explaining the various services and how things worked. I will certainly go back again.
Auraveda_Panchakarma_Centre,Auraveda W,5.0 of 5 bubbles,Dec 2019 • Solo,Authentic Ayurvedic Massage   ,It was the best one that I have ever had. After the massage I felt really good. Highly recommend definitely visit at least once.
Auraveda_Panchakarma_Centre,Alex,5.0 of 5 bubbles,Dec 2019 • Solo,A truly invigorating experience,"Dear Sir, Thank You for your review. We would love to have you back at Auraveda Wellness. "
Auraveda_Panchakarma_Centre,Auraveda W,3.0 of 5 bubbles,Dec 2019 • Friends,A touch of Kerala Experience in the heart of Delhi,"Dear Sir, Thank You for your review. We would love to have you back at Auraveda Wellness. "
Auraveda_Panchakarma_Centre,Jaime K,5.0 of 5 bubbles,Nov 2019 • Friends,A must visit for those who like wellness,"a minute agoLove the authentic experience of this unique massage. The staffs are super friendly and accommodate my ever changing schedule. The room is basic but with all you need. You will he placed on a special wood table and wear a special G string. If you are not comfortable being semi nude, this is not your place. The massage was professionally done by two therapist, they don’t cross gender so you will get same gender therapists. After the whole two hours your skin feels rejuvenated. The rub down really helped getting blood flow. And the oil drip is really relaxing."
Auraveda_Panchakarma_Centre,Abhijit G,5.0 of 5 bubbles,Nov 2019 • Couples,Authentic ayurveda massage in Delhi,"Dear Sir, 

Thank You for your detailed review & ratings on our service. 
We are really great full to you for sharing your experience with others using this plat form. 
We would love to have you back at Auraveda again to experience another session of rejuvenating experience. 

Once again Thank You and TC. "
Auraveda_Panchakarma_Centre,Tanuj,5.0 of 5 bubbles,Nov 2019 • Solo,nice center,"Dear Sir, 

Thank You for your detailed review & ratings on our service. 
We are really great full to you for sharing your experience with others using this plat form. 
We would love to have you back at Auraveda again to experience another session of rejuvenating experience. 

Once again Thank You and TC. "
