Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Christ_Church,John Muriango,5.0 of 5 bubbles,Aug 2021,Soul Care,An amazing historic Church. Provides spiritual nourishing to our souls as they preach the Gospel of grace.
Christ_Church,pilgrim_gsa,5.0 of 5 bubbles,Feb 2020,1857 Relic,Here is a Church that was built to commemorate those Britishers who were killed in 1857 uprising .Has wonderful  commemorative plaques all in the church  with stained glass windows  not to be missed by historical buffs.
Christ_Church,RAJENDRA884 PRASAD,5.0 of 5 bubbles,Oct 2018,An eye catcher attraction,"Christ Church in Lucknow is a place of worship, sign of British heritage in this region.  It is beautifully illuminated after sunset and is a favourite of all young and old photographers."
Christ_Church,durham05,4.0 of 5 bubbles,Jul 2019 • Solo,Very old church,One of the oldest churches in Lucknow. Was closed when I arrived but caretaker opened especially for me. Very historic and liked the monuments. Sadly needs some maintenance work.
Christ_Church,mohitv,5.0 of 5 bubbles,May 2019 • Solo,Christ Church,"Initially known as the church of England, this was the first church in Lucknow made in the memory of British soldiersA very beautiful architecture becomes more beautiful in the night lights. Situated in Hazratganj near to the governors house."
Christ_Church,garhwaliya,5.0 of 5 bubbles,Feb 2019 • Friends,Big maintained place,Mostly churches are highly maintained. This is very big place. Lots of people come here for wishes and peace.
Christ_Church,ayushagarwal022,4.0 of 5 bubbles,Dec 2017 • Family,calm and peaceful,Though all churches are usually very calm and peaceful but this church deserves a special mention of its calm environment. well maintained and neat and clean surroundings.
Christ_Church,Nandana1,5.0 of 5 bubbles,May 2018 • Family,Nice place to Pray,This is a Christian Church and called as Christ Church. Everyone is welcomed here to know the Gospel of Christ. Sunday worship is very nice here.
Christ_Church,Aarav K,4.0 of 5 bubbles,Oct 2017 • Friends,Christ Church,Christ Church is very peaceful and attractive. Here the heart is very relaxed. Must Visit place. Recommend to you all
Christ_Church,AmitTraveller2016,3.0 of 5 bubbles,Jan 2017 • Friends,Nice Church...,"A nice church to visit if you are in Lucknow and like visiting churches. The architect is simple but beautiful, not so big either. the place is calm and peaceful. It is near Wing fileld park."
