Tourist Attraction,Name,Rating,Date and criteria,Title,Review
India_Gate,DivikGlobal,4.0 of 5 bubbles,Dec 2022 • Family,Nice,Entire Janpath gives you the real feel of the Delhi city. From India gate to Rashtrapati Bhawan are large open and green areas that make you feel a bit relaxed. India gate is definitely a must visit place if you are visiting Delhi. For a tourist it has the same importance as that of Arc de Triomphe in Paris.
India_Gate,Surya Katakam,5.0 of 5 bubbles,Apr 2022,Constructed by Edwin Lutyens in Triumphal Style,"India gate situated on the eastern side of Raj path. India Gate is memorial built in commemoration of more than 80,000 Indian soldiers who were killed during World War-I between 1914 and 1921. The monument- boasts of its imposing 42 meters high arch and was designed by famous architect Edwin Lutyens in 1921 with Triumphal Architecture style.Interesting facts about India Gate:- on 10th Feb 2021, India gate turned 100 years old- This 42 meter High structure is built in marble with red and pale sandstone- The Corner stone was laid in 1921 by the duke of Connaught, third Son of Queen Victoria. After ten years of planning and construction, it was Finally inaugurated by the then Viceroy of India Sir Lord Irwin on 12th Feb 1931.- An added memorial Amar jawan Jyoti was introduced in 1971 after the Indo-Pak war in the memory of the many deceased Indian Soldiers.- Pragati Maidan Metro Station is nearest metro Station to India GateTimings for Visiting:There are no restricted timings. Any time one can visit but preferable time is in the Evening"
India_Gate,podrozniczka60,4.0 of 5 bubbles,Jan 2023 • Couples,Magnificent Monument,We visited this place in the days immediately preceding the Republic of India holiday. The route for the annual parade was marked and delineated with tall bleachers for the audience leading via  India Gate.India Gate is arguably most important monument to see in Delhi .
India_Gate,robin k,5.0 of 5 bubbles,Jan 2023,India Geate,nice and beautiful day in India Gate I was been there many time and I lake to say all the time was good
India_Gate,Bala Krishnapillai,5.0 of 5 bubbles,Jan 2023 • Family,Iconic Indian Gate,"The famous India gate . It stands as a memorial to 84,000 soldiers of the British Indian Army who died between 1914 and 1921 in the First World War. You will find a similar structure in Paris (Arc de Triomphe de l'Étoile / Place Charles de Gaulle ) An iconic place to visit in the very early morning to avoid traffic congestion."
India_Gate,Sonia Makhija,4.0 of 5 bubbles,Dec 2022 • Family,Not just a monument,"India gate is one of the most touristy attractions of India and Delhi. Remarks as one of the most important monuments to visit and feel the nation’s pride. Indeed its not just a monument or a gate its a feeling of Pride and looks mesmerizing at the time lf Sunrise and Sunset. Though it was much crowded when we visited during evening hours but the area is too big that you’ll definitely get to see an amazing view and get some good pictures. Along with the India Gate visit, you can cover Kartavya Path, Rashtriya Pati bhawan and Netaji Subhash Charndra Bose statue. Hence this is a must to add to your visit to India / Delhi."
India_Gate,Gustavo A,4.0 of 5 bubbles,Dec 2022,I think the road leading up to the Gate is cooler,"It's an arch alright. Not much else to tell about it. It's nice to see but I think the avenue that leads to it from the Rashtrapati Bhavan (presidential residence) is a way nicer attraction. It's wide and very long, reminding us of the avenue from St. James' park leading to Buckingham Palace in London, which is not surprising since it was originally designed by a British man during the British Raj. You can see some hawks flying around too and people just resting on the grass. Do visit in December though, as the weather is sunny but temperate rather than scalding hot as in the summer. Plus, there are fewer people around."
India_Gate,Anika S,4.0 of 5 bubbles,Dec 2022,Famous Monument at New Delhi .,"This historic monument is must see for all - Children, adults ,tourists -from the point of cultural awareness .However during weekends and public holidays ,it can be really crowded ."
India_Gate,Todd M,4.0 of 5 bubbles,Oct 2022 • Business,Amazing park and statue,Really cool architecture in the middle of New Delhi. We traveled here the day after Dawali and it was PACKED! Loads of people celebrating and enjoying an evening. Felt very safe as there was a solid police/military presence. Was free to visit and look around.
India_Gate,dr ganapathi bhat,4.0 of 5 bubbles,Dec 2022 • Family,""" Nice architecture""","Nice architecture, by the side of the road.  A well planned one. More than one entrance, but exit is from a different gate. An open area, so plenty of light and breeze. People swarm the place like anything. Small hawkers sell tasty eatables inside. A safe place, photography is allowed. No entry fee. May visit once, 30 minutes maximum."
India_Gate,Natalie1204,5.0 of 5 bubbles,Nov 2022 • Solo,Gives me goosebumps,I get goosebumps every time I visit. Returned to Delhi after a long time and noticed quite a few changes…for the better. Parking is organised. The food vendors are near the parking area and not in front of the gate. There’s an organised underpass to access the walk area leading up to the gate. Nowadays you can’t walk through but around. The annoying part is the photographers and  jewellery sellers constantly hounding you. There should be a fixed rate if at all. Was very impressed with the garbage atm. Great move
India_Gate,Neelam Rawat,5.0 of 5 bubbles,Nov 2022 • Friends,Best in delhi,"To visit this place you can choose any Transport options as it's in a VIP area - so metro, cab, bus own vehicle , auto etcYou will easily find parking here, not restaurant but ice cream and chips, soft drinks options are there, you will also find few tea seller there just in case you are tea lover.This place is best for Walk, jogging, and Picknick,Anytime is the best time to visit this place except summer afternoon time as it will be too hot.We have boating options as well but that is only for specific time.Enjoy your visit and please keep every place neat and clean !! Thanks"
India_Gate,KodoDrummer,5.0 of 5 bubbles,Nov 2022,Honouring the Indian soldiers who died fighting in WWI,"The amazingly beautiful Indian Gate is surrounded by a well maintained park. It is an iconic symbol of New Delhi. I came across a similar structure called Delhi Gate, which is close to the Red Fort."
India_Gate,Shweta S,1.0 of 5 bubbles,Nov 2022 • Family,Bad behaviour of washroom near parking 2,I use to go the washroom so there were 2 people who are not allowed my wallet purse inside the washroom they ask me to left my wallet ouside the washroom and these people were so rude i asked to check my wallet and it's emergency time to get in but they wouldn't allow me to go and specially the lady was so rude very misbehaved....
India_Gate,singhasam,4.0 of 5 bubbles,Nov 2022,Impressive memorial.,"THIS memorial towering nearly 140ft is a fitting tribute to the 84,000 British Indian Army soldiers who died between 1914 and 1921.It respectfully remembers those who lost their lives in conflicts from the First World War in France to the Near and Far East.Right from the first glimpse of the India Gate it dominates the whole area with presence and feeling.Just walking slowly towards the great arch gives every visitor a feeling of awe and the structure has been compared with that of the Arc de Triomphe in Paris.It was very busy when I visited as part of a combination walk which also took in the nearby National War Memorial.I would recommend visiting both sites at the same time for a full appreciation of what is being remembered.The Gate was designed by the famous architect, Sir Edward Lutyens, and can be reached via the Kartavya Path, the main ceremonial procession route in New Delhi.This stretches some distance and I'd advise anyone tackling that, the Gate and the National War Memorial to ensure they have bottled water with them as there is no cover at the Gate or Path and only a few tree-shaded sections at the Memorial.The whole area is impressive and definitely worth a visit to pay your respects."
