Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Lumbini_Park,Sudipta Shaheen,4.0 of 5 bubbles,Nov 2022,Nice Park,It is the entry poin of Hussain Sagar lake. Very well maintained. You can njoy with your family with young kids.
Lumbini_Park,Amit Bansal,2.0 of 5 bubbles,Jan 2023,"Go there only if you want to go for boating, else ...","Go there only if you want to go for boating, else there is nothing exciting about it. I wasted my time going there. Could have gone else where."
Lumbini_Park,Xavier D,3.0 of 5 bubbles,Dec 2022,Lumbini,"Iconic park in hyderabad , but too much crowded in festive season. Did the boat ride and attended the laser show."
Lumbini_Park,Sagar K,1.0 of 5 bubbles,Dec 2022 • Family,Poor Quality of Service ,The ticketing system at the park is a chaos and no proper information at the park. When we reached we paid just entry free at the park after standing in long queue for 30 mins. Then another long queue for Laser Show again 30 mins. And another long queue for Boat to Buddha Statue....Ufff.The management should issue all the tickets at the main counter as per visitors choice and preferences. This will save a lot of time .No organised Cloak Room to keeps bags. Please avoid keeping valuables in the bags. Bags are not allowed in the Laser Show and Boat to Buddha Statue. 
Lumbini_Park,Xenos,2.0 of 5 bubbles,Jun 2022,Over crowded and Over rated,This is an unclean park witch is over crowded. No COVID safety measures practised. A lot of looting happening as per guards. Was advised to take extra care of belongings. Not a must to see
Lumbini_Park,AjithBhaskaran,2.0 of 5 bubbles,Mar 2022,"Over-rated, not a 'must visit'","Crowded, the boat ride certainly doesn’t feel safe. The lake itself is not clean and we get a foul smell from the waters. Overall, not a ‘must do’ visit."
Lumbini_Park,Nancy Peters,3.0 of 5 bubbles,Apr 2022 • Solo,Decent evening outing,Its a green space in middle of city and ok to spend a couple of hours. The statue of Buddha is quite impressive
Lumbini_Park,Gurus49,5.0 of 5 bubbles,Feb 2022,Family place,A small park with activities including a boat ride to the Buddha Statue in the middle of the second largest man made lake in the world.
Lumbini_Park,Milind Kshirsagar,5.0 of 5 bubbles,Jan 2022 • Family,Quality time with family.,Nice place to relax as well as to have fun. Don't miss speed boat ride. Also take mechanised boat ride if you wish to visit Buddha statue.
Lumbini_Park,Shankar I,3.0 of 5 bubbles,Nov 2021,Average park,"Located along the Hussain Sagar lake, this is a small park. People throng here mainly for leisure and boating along the lake."
Lumbini_Park,Mike Pence,4.0 of 5 bubbles,Mar 2021 • Couples,Beautiful water front,A pleasant waterfront in the heart of the city. There is a beautiful Buddha statue. Boating in the lake is a good way to appreciate the ambience
Lumbini_Park,Charles Dulles,4.0 of 5 bubbles,Feb 2021,Pleasant for an evening,The park is a pleasant destination for evenings. There is a beautiful and large statue of the Buddha. The water front is quite picturesque. A good spot for picnics.
Lumbini_Park,Kaushik G,4.0 of 5 bubbles,Jun 2019 • Family,A prime attraction,"Lumbini Park is located on the banks of the beautiful Hussain Sagar Lake and we had visited this popular tourist attraction during our sightseeing in Hyderabad. We had gone on a Saturday evening and the place was very crowded. Tickets are priced at 20 rupees per person but another 100 rupees if you have camera or else store it in the cloakroom. There are limited rides inside the park, food stalls but main usp is the boating on Hussain Sagar Lake and the beautiful laser show in the evening."
Lumbini_Park,NAZEER SHAIK,5.0 of 5 bubbles,Feb 2020,Nice to visit,it is a good place to spend your weekend with your family and friends. once it has a remark. but now t is so nice to visit
Lumbini_Park,Vikas Singh,5.0 of 5 bubbles,Feb 2020,Mechanized boat to Buddha Statue,This is the place from where you can take boat to the Buddha Statue. There are different types of boats that can be hired but it is only the mechanized boats that stop and allow you to alight near the Buddha statue. The tickets @ Rs.50/head cost the least among all categories of boats. The camera charges are very high-Rs.1000 but you can shoot with your mobile. In the evenings at 7.30 pm there is a laser show. There is a small children park as well. Near one of the exits is a small food court as well. Parking is available on other side of the road near the Secretariat.
Lumbini_Park,Pravin P,4.0 of 5 bubbles,Dec 2019 • Family,Budha statue and laser fountain/sound show are the Highlight. ,"1.The must watch place of the hyderabad  city.2.A five minute boat trip is required to see the Budha statue.it is a Nice experience. Duration  to visit approx 50 min. 3.Lazer and sound show is one of the best shows.Duration of the show is half an hour. 4.Parking Area very  far from the Park.5.Snacks, eatables are available inside the park. "
Lumbini_Park,TravelbuggIndia,3.0 of 5 bubbles,Jan 2020,Lumbini Park,Lumbini Park has good area to roam around and the greenery surely uplifts the mood. For food there are multiple street food options around this area.
Lumbini_Park,Somnath,4.0 of 5 bubbles,Mar 2019,Decent park but not well maintained,Good park with a lake and multiple rides for kids. The place is buzzing during the evening and a nice place for kids to visit.
Lumbini_Park,Eshita Shah,4.0 of 5 bubbles,Jan 2020,A must visit place in Hyderabad,Lumbini park is beautiful and it has laser water shows in the evening. It also has boating facility. It is very well maintained and looks clean.
Lumbini_Park,Stay282088,4.0 of 5 bubbles,Aug 2019,Good Timepass,"The park is well maintained. It looked neat & clean.Facilities available inside the park - Ex., boating, laser show etc., are charged extra excluding park entrance fee.Laser show and musical fountain are highlight here. It was of a great standard."
Lumbini_Park,Tarun,3.0 of 5 bubbles,Oct 2019 • Family,A dayout for fun,Visited this place in the evening hours. Found this place very interesting. The laser show in the evening was awesome. The park has little space but maintained pretty. It is in the heart of the city. Very near to Secunderabad Station and can be reached easily by bus too. My children enjoyed.
Lumbini_Park,SRIKAKOLAPU,5.0 of 5 bubbles,Nov 2019 • Friends,Good,This park has a laser show in the evening.It has boating facility through which we can go to Buddha and spend some time there
Lumbini_Park,Himjal,5.0 of 5 bubbles,Dec 2019 • Friends,Nice place along the Lake,The Laser show is wonderful. The most fascinating feature is the boat ride to the Buddha statue located in center of the lake - Hussian Sagar Lake. The ride cost is less than $1.
Lumbini_Park,Lokesh1981,5.0 of 5 bubbles,Dec 2019 • Family,must visit landmark of Hyderabad,"If you are visiting Hyderabad, perhaps first time or may be u stay in Hyderabad, u still can get rejuvenate and pass your time at this place with family & friends , Located at one corner of Hussain sagar lake, opposite to secretariat & NTR park, Laser and light show is the top attraction and u get regular ferries to Buddha statue, "
Lumbini_Park,Abhishek807,2.0 of 5 bubbles,Oct 2019,Only Boat Ride with Dirty Lake,"They have only Boat Rides with Smelly, dirty Lake. THe boat ride is only Till Buddha Statue. LASER SHOW IS good"
Lumbini_Park,Vishnu R,4.0 of 5 bubbles,Sep 2019,Not well maintained,"The park would have been great for kids, if it was well maintained. Since they charge for entry, it could have been maintained.The slides are all rusted, the cars are also down. Only thing they have is a few swings.Boating is the main business over there.We didn't take it, since we have plenty and much better ones in Kerala.They will take you to the Budha statue in the Hussain Sagar lake and back."
Lumbini_Park,Sunil,3.0 of 5 bubbles,Dec 2018 • Friends,Family time,The place is really good and the best part is the lighting and the night laser show this two thing attracts people 
Lumbini_Park,Arun Karthik,5.0 of 5 bubbles,Mar 2019,Good Place to Hangout,"An attraction every tourist would love, irrespective of their preference in religious, cultural or historical places in Hyderabad, is undoubtedly the Lumbini Park, located along the shore of Hyderabad's famous Hussain Sagar Lake. Established in 1994 under Buddha Poornima project by the Hyderabad Urban Development Authority, it gets in name from the birthplace of Lord Buddha. The park showcases some really wonderful variety of seasonal flowering plants and numerous cactiAn attraction every tourist would love, irrespective of their preference in religious, cultural or historical places in Hyderabad, is undoubtedly the Lumbini Park, located along the shore of Hyderabad's famous Hussain Sagar Lake. Established in 1994 under Buddha Poornima project by the Hyderabad Urban Development Authority, it gets in name from the birthplace of Lord Buddha. The park showcases some really wonderful variety of seasonal flowering plants and numerous cacti.It works as an ideal place for people looking out to let their head down after a hard day’s work. Relaxation and amusement happen to be one of the key reasons behind a large number of people who throng the garden, especially in the evening. The 3-D laser show and musical fountain show that are conducted in the evening mesmerize one and all. An interesting feature at Lumbini Park of Hyderabad is the huge clock decorated with colorful flowers located at the entry point.Nearby attractions include Birla Mandir and Hussain Sagar Lake. A royal statue of standing Lord Buddha made of granite is installed in the middle of the lake and can well be called a true epitome of beauty. This lake has been widely acclaimed for being the largest artificial lake in Asia and draws a number of people for its beauty and boating activities."
Lumbini_Park,Sanjit M,4.0 of 5 bubbles,Sep 2019,Good Light & sound show,You can enjoy very good light & sound show in this park in the evening. They will show you different colors & themes of laser lights over fountains with music. 
Lumbini_Park,mfpb315,2.0 of 5 bubbles,Sep 2019 • Friends,Laser show,Great disappointment. The description says that the show talks about history of Hyderabad but it was not so.can be avoided.
Lumbini_Park,sree143in,4.0 of 5 bubbles,Jun 2019,Best,"Lumbini park is a best place in hyderabad to spend time with kids, good atmosphere with a lot of trees."
Lumbini_Park,AB321,4.0 of 5 bubbles,Aug 2019 • Couples,Decent place,"Lumbini park is a good place to hangout with friends and family going out with kids as it has many services such as boat ride, ride to buddha statue, laser shows, entertainment and fountain shows etc. Maintenance can be improved."
Lumbini_Park,meetdhawan,5.0 of 5 bubbles,Jul 2019 • Family,what a fun day_!!!!,"we were so amazed to come across this happening place where you can enjoy with ur family and friends to the fullest. just like its name,its a complete mastizone.. we really enjoyed our friendship day there, from snowpark to bowling , archery, cricket, arcade games,all under one roof....It was a complete fundayyy...Must visit place..gonna visit again.."
Lumbini_Park,gpradeepshenoy,3.0 of 5 bubbles,Jul 2019 • Family,Just a small park,Took a Bus from Nampally to Lumbini Park(Nearest bus stop to Lumbini park is Secretariat ). A Walk from Secretariat bus stop to Lumbini park is of about 3 Minutes.               Entrance costs Rs 20 to this park. From this park boats goes to Buddha statue. The ferry rates are Rs 55(up and down charges). It is better to visit this park and budha statue in the late evening/ night . One can spend time at the buddha statue as per their liking and then return to Lumbini park. After sunset the budhha statue becomes lighted because of many lights directed on the statue and is good to watch.             Apart from boats which take tourists to Buddha statue there are speed boats also. These speed boats do not stop at the Buddha statue . Apart from this there is some evening/night cruise in a boat. This boat also does not stop in Buddha statue but the boat plays music for tourists to dance and have a good time.            There are few Kiosks inside Lumbini park selling snacks and beverages. We went for Laser show in the Lumbini park which costs Rs 60.00 The show was very average and the show starts at 7:15 Pm. If you are in a hurry then this laser show can be missed.                Average place to visit while at Hyderabad.
Lumbini_Park,Ambar Roy,4.0 of 5 bubbles,Mar 2019 • Friends,Reunion,Good place to hang out during the evening time.Activities not to be missed.#Boat ride to Budhha statue.#Fountain show
Lumbini_Park,Pranav_F,4.0 of 5 bubbles,Jul 2019 • Friends,Good for kids and family outing,"This park is next to Hussain sagar lake, you can have some food on neckless road in food court and then in the evening you can reach the park by boat from few boarding points. Enjoy the park and then laser light show which was really worth to watch. on holidays and weekends its little crowded for laser show so reaching early would be good. There is lockers available for bags and other belongings which are not allowed in side."
Lumbini_Park,jainms,5.0 of 5 bubbles,Feb 2019 • Family,Entry to Buddha statue,"Lumbini park is the entrance to boating and buddha statue, Also laser show available in the park only on evening times."
Lumbini_Park,ShvRm_Traveller,2.0 of 5 bubbles,Nov 2018 • Family,Overrated and commercialized,"The purpose visiting the park is to spend some peaceful time, which is defeated because of the amount of effort that is being taken to just enter the park. First, there was a long queue and heavy jostling to obtain the entry tickets. The ticket counter was absolutely unorganized. Then there was a very long queue to enter the park. Bags, even the backpack, were not allowed inside. There was a counter to deposit the bags, where again there was a heavy rush.Cameras are allowed inside the park on payment, however, the amount quoted for allowing a simple Digital camera was INR 1000/-. So we had to go and deposit the camera at the luggage counter.After all this when we entered the park, we found that, there was nothing extraordinary about the place, apart from being located on the bank of Hussain Sagar lake. Moreover, the place was heavily crowded.The boat service to the Buddha Statue starts from the park, on payment of additional charges for the boat.Overall, the park is a over hyped place, which is mostly frequented by the tourist, as it is sold to them as a tourist attraction. To be visited, only if there is nothing else better to do."
Lumbini_Park,Kishore W,2.0 of 5 bubbles,Jun 2019 • Family,Lumbini park,The boating option is good..and the buddha statue is worth visiting...but ppl here dobt know cleanliness art all..children taking bath in public fountain..some even peeing..and littering...wish they all should be fined..the pmace is so well built but ppl dobt realise the importance of cleanliness and wish the ticket counter was managed properly...
Lumbini_Park,Dr RAJKUMAR YADAV,1.0 of 5 bubbles,May 2019 • Family,Negligence at its height ,Not proper maintained nothing in the name of light show just collection of money no amenities even if rest room also absent 
Lumbini_Park,NIL_MODI,4.0 of 5 bubbles,Mar 2019 • Family,Small But Nicely Maintained,Lumbini Park is at very near to Hussain Sagar lake. Park is small but maintained. Crowded in evening. Light & Sound show is main attraction of it. Both entries to park and show are to be paid separately. The show is good and have value for money.
Lumbini_Park,Debasis,3.0 of 5 bubbles,May 2019 • Family,Decent,Very nice park with few free rides and paid rides. Always full crowd. Centrally located. Light and sound show was actually average but value for money.
Lumbini_Park,krajeevc,5.0 of 5 bubbles,May 2019 • Family,Nice park with activities ,"Next to Hussain Sagar lake, it's usually crowded. You have boating facility at various price points. The evening 3D laser show and musical fountain is worth watching.Will be good to have some mosquitoe repellents applied on you during the show. The speed boat ride we took up to the Buddh statue and back is worth it."
Lumbini_Park,Vin Dosa,3.0 of 5 bubbles,Feb 2019,Decent park,"In the heart of the city, is where this is located. It is a decent place and can be made better. One of the attractions of Hyderabad can be made better if more attractions/shows can be made available. The boat ride is the best for now. Cleaniness is also something that needs to be really looked into"
Lumbini_Park,SRIKAKOLAPU,4.0 of 5 bubbles,Dec 2018 • Friends,nice and good,Good and quite famous and a awesome place to hangout with greenery all around.Good to visit in the morning and evening
Lumbini_Park,LostMySelfTraveling,5.0 of 5 bubbles,Apr 2019 • Family,You must expeeience the evening at Lumbini Park ,Lumbini Park is one of the oldest and the best places in tank bund and necklace road area. It's a very small park with water pool dance show. It's been conducted every evening or not I'm not sure but plz post a question to verify before you visit somebody would like to definitely reply. The entry  ticket was not so costly. It's affordable common middle class people too. There is a boat ride also you must try here. You will not regret.
Lumbini_Park,Abhilash K,5.0 of 5 bubbles,Apr 2019 • Friends,Very famous,This is one of the famous park in the Hyderabad maintained by GHMC. I loved the place and I want to visit here again. 
Lumbini_Park,Nlay,4.0 of 5 bubbles,Feb 2019 • Family,Well maintained park on banks of Hussain Sagar Lake.,"Located on the banks of Hussain Sagar Lake, the Lumbini park is well maintained and clean park. This place is good for relaxing with Family and friends. The food served in the canteen area is also good, and one must definitely try the local made Pizza which is mind blowing.  There are various rides for kids as well.Ticket charges are Rs. 20 for Adult, Rs. 10 for Children (between 5-10 years). Camera is chargeable amounting to Rs. 100, the cloak charges are Rs. 20."
Lumbini_Park,Dr I R Patil,4.0 of 5 bubbles,Apr 2019 • Family,Nice,Nice place to hangout with friends and children especially in the evening time it has option of rides for children and evening laser show
Lumbini_Park,pvrkaushik,4.0 of 5 bubbles,Jul 2018 • Family,Evening getaway,You can have a pleasant evening here... Go with kids and family... All will enjoy.. Take boat ride to Buddha statue
Lumbini_Park,ravishtandon,5.0 of 5 bubbles,Jan 2019 • Family,A beautiful place to visit at Hyderabad,It is situated on the bank of Hussain Sagar. You can get ride for Budha Statue. Can have speed boating and enjoy the swings at Park. A must visit place during your stay at hyderabad.
Lumbini_Park,mohan,3.0 of 5 bubbles,Mar 2019 • Family,Average,"Very very crowded, they dont allow bags inside so make sure you leave it in the hotel room or you may have to spend time to keep it in the locker. There is some kids play area but its not clean and dirty. Better to avoid , see it if there is nothing else to do.Laser show is not worth it , its more of a musical fountain . Bangalore /Mysore has 100% better ones"
Lumbini_Park,TravellingReddy,3.0 of 5 bubbles,Feb 2019 • Family,Not close to what it used to be earlier,"Post the blasts that occurred in this park, the layout is changed and the old charm is lost. Its now more used as a base for boating in hussain sagar lake and reaching Buddha statue.. "
Lumbini_Park,Aryan2007,3.0 of 5 bubbles,Mar 2019,Decent place to have some good family time !!!,"Lumbini Park in Hyderabad near the Hussain Sagar lake is a small but decent park to have some family fun. They have laser and fountain show daily in the evenings starting 7 pm. One can also do boating in the lake or just relax on the green lawns. There are various options to eat inside and the play area for kids is also available. However, the place gets quite crowded with tourists from all parts of the country and at times gets very noisy. "
Lumbini_Park,MhdMuqthar,3.0 of 5 bubbles,Dec 2018 • Friends,Green! Boating! Music fountain!!,Lumbini park near Hussain sagar lake has a superb water fountain which would give you perfect visual treat. The boating to the budha statue starts from here.
Lumbini_Park,Chetu1087,4.0 of 5 bubbles,Dec 2018,Park near the Lake,One of the attraction of Hyderabad tour to visit. I visited this place with my friends and it seems to be kind of overcrowded. Overall good place to visit when you are in Hyderabad.
Lumbini_Park,karthikakavya,4.0 of 5 bubbles,Mar 2018 • Family,Good place,one with family or friends can enjoy  this place can have lots of rides food and water rides all the things
Lumbini_Park,thiru_sri3,4.0 of 5 bubbles,Jan 2019 • Business,A nice place to relax,It is one of the best places to be in Hyderabad. A nice calm place though it is crowded most of the times.
Lumbini_Park,YatriForever,3.0 of 5 bubbles,Feb 2019 • Solo,Touristy park. ,"Located on the banks of Hussain Sagar lake, this is a very small park. There's adequate green cover, but there's more on activities. The kids would love this place with so many play and fun activities for them.Just a park, can be skipped if you are new to Hyderabad on a quick sightseeing trip. "
