Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Marble_Palace_Kolkata,Roshni G,1.0 of 5 bubbles,Jan 2023 • Family,Wastage of time to go,The place is closed for public and looks shabby and illmaintained.Two guards at the entrance are extremely bad mannered and donot allow to take pictures from outside!!
Marble_Palace_Kolkata,ilina m,2.0 of 5 bubbles,Feb 2022,Closed to Public with no Opening date,Closed to public. Appears shabby  and ill kept. Visibly lacks maintenance from the outside.The two guards at the gate did not even allow us to take photographs of the mansion and gardens from the outside -  Extremely ill-mannered.
Marble_Palace_Kolkata,Mander Mukherjee,5.0 of 5 bubbles,Dec 2019 • Friends,Magnificent Mansion ,"A huge mansion, located on the northern fringes of Kolkata it was built by Raja Rajendra Mullick a wealthy Bengali merchant in the 19th century. The house was built in neoclassical style. The house has vast collection of western arts and also a private zoo. The entry is free though one needs permission to visit the place from West Bengal Tourism Information Bureau. "
Marble_Palace_Kolkata,R0binR,2.0 of 5 bubbles,Feb 2020,Interesting but not not very good.,"The animal cages were awful and a disgrace. The house tour was interesting  but spoilt by staff only switching on lights where you stood, no chance of admiring the total scene of what it once was in its pomp.Would not tell others that this was unmissable!."
Marble_Palace_Kolkata,good-living-montreal,3.0 of 5 bubbles,Feb 2020,It used to be beautiful in the past,"The palace requires a special permit access from the West Bengal tourism office, but the security people are willing under certain conditions to let you go in. Part of the palace is still occupied by the royal family and this is not accessible for the public. No photography is allowed in the palace.You take off your shoes and you are getting a private tour with a guide. It seems that this place used to be very grand, but the time and weather has shown its impact. While it seems that the royal family tried to bring in any prestigious art from Europe, the collection is in very bad shape. The display is overcrowded and the building is not in great shape and it is definitely time for a renovation.It's a pity that if the royal family cannot preserve those valuable artifacts, they do not sell or contribute some of those art objects to the Kolkata Indian Museum."
Marble_Palace_Kolkata,Rasputin21,1.0 of 5 bubbles,Feb 2020,IMPOSSIBLE TO VISIT,"Like Rashtrapathi Bhavan in Delhi, the Marble Palace in Calcutta is an attraction that cannot be visited by a foreigner.  We tried to find the Tourist office at 2 Brabourne Street only to find the site a dirty, paan spat  spittoon hole of a foyer with no sign that the West Bengal tourist office was anywhere there.  Someone from the Tea Board at 6 GBB.  We went there and the the staff were merely talking to each other.  They had no map of Calcutta and the only brochure was on food - street food which if any foreigner was silly enough to eat would cause more than Calcutta belly!  They wanted us to return to 2 Brabourne road and search for the unfindable office somewhere in the building.  No foreigner is going to bother with this sort of running around.  The government obviously do not want anyone to see the dilapidated state it is in as is the rest of Calcutta.  Any wonder few foreigners come to Calcutta."
Marble_Palace_Kolkata,Sea Dweller,3.0 of 5 bubbles,Feb 2020,"It can be seen, that before it was a wonderful palace ...","Marble Palace is a palatial nineteenth-century mansion in North Kolkata. It is located at 46, Muktaram Babu Street. The mansion is famous for its marble walls, floors, and sculptures, from which it derives its name.     The house was built in 1835 by Raja Rajendra Mullick, a wealthy Bengali merchant with a passion for collecting works of art. The house continues to be a residence for his descendants, and the current occupants are the family of Raja Rajendra Mullick Bahadur.     To get inside today, you need to perform many formalities. First write down your name and citizenship at the entrance gate. Then you can take a walk in the garden. To get inside the palace, you must again write down your name, citizenship and full home address, remove your shoes and after that you can enter the palace. But even with all the formalities, taking pictures is prohibited, both outside and inside.     In general, I want to say that the building is rather poorly maintained."
Marble_Palace_Kolkata,Mrudula,5.0 of 5 bubbles,Apr 2019,Master piece,This is a renowned place near chorbagan. It has collection of paintings by renowned international artist
Marble_Palace_Kolkata,A Kundu,4.0 of 5 bubbles,Dec 2019,A heritage place,"Worth a visit at least once. The museum, particularly the objects kept on the first floor are rare collection & speak volumes about the taste of Zamindars of ancient Kolkata. However, photography inside the property is not permitted. Otherwise the visit would have been more interesting."
Marble_Palace_Kolkata,Antionio10,4.0 of 5 bubbles,Feb 2020,Interesting,"This place is like a second hand store with lots of statues, paintings and other items crammed into a large space.  It is an interesting collection of items and in a once beautiful home.  Worth a visit."
Marble_Palace_Kolkata,KennethEast,4.0 of 5 bubbles,Jan 2020,Quirky and fascinating,"Definitely faded glory.  But what glory in its time!  Our hotel, the Taj Bengal, got us the necessary Tourist Office pass to get in.  That was a great help.  Entrance if free, but you'll be assigned a guide who will need to be tipped.  Ours had only ""functional"" English.  He could point out the interesting objects in the house tour, but couldn't really elaborate to follow up questions.  No matter. Don't expect a ""museum"".  It's more like a huge curio cabinet.  The house is on a grand scale--but is far from grand now.  The collection is amazing in scope but run down.  Didn't matter.  It was fascinating."
Marble_Palace_Kolkata,culturalsafaris,3.0 of 5 bubbles,Jan 2020,interesting place,..if only to see the opulence of the past & how it has dilapidated to such an extent. It is a shame that Govt does not charge entry through a trust who'll maintain some of its priceless artifacts.It is in a miserable state of barely hanging. I am surprised how its owners can look at it without being moved into action   
