Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Hawa_Mahal_Palace_of_Wind,David D,5.0 of 5 bubbles,Jan 2023,Probably the most iconic sight in Jaipur.,The Hawa Mahal is a beautiful and iconic sight. It is a series of 365 latticed windows created in a harmonious whole soaring up from the streets. It was to enable the ladies of the palace to gaze out into the town rather than being entirely secluded. It is well worth seeing. Be advised though that there are a lot of tourist shops on this street.
Hawa_Mahal_Palace_of_Wind,Raghav,5.0 of 5 bubbles,Jan 2023 • Family,Magnificent,An extremely beautiful site . I love the windows of Hawa Mahal. It is so magnificent. In the night it so Adorable
Hawa_Mahal_Palace_of_Wind,SwarupDukuria,2.0 of 5 bubbles,Jan 2023 • Couples,Outside is good but inside tour can be skipped ,Agree this is a landmark but very poorly managed. You can click pics from outside and inside tour can be skipped. Single ticket window. Long queue. Nah. You can miss it.
Hawa_Mahal_Palace_of_Wind,Pritam Sadhukhan,5.0 of 5 bubbles,Dec 2022,Best viewed at night,This is the landmark of Jaipur and a must visit. The place is the heart of the city and many other attractions are just near by.Even few of the best markets are at walkable distance.
Hawa_Mahal_Palace_of_Wind,Arun Mani Kanta Gunda,5.0 of 5 bubbles,May 2022 • Solo,Superb ,"It is the must visit place in Jaipur ,the architecture had no words to explain, really excited seeing this place energy is cool"
Hawa_Mahal_Palace_of_Wind,Vijit B,5.0 of 5 bubbles,Dec 2022 • Friends,Where and when of nice photo short,"Nice place for photo, shopping around.The best time for photo is early morning 6-7 am, which no people on road infront of it. The afternoon time is peak clouded, should go to the roof top Cafe in the opposite site ( Tatto Cafe) you will get stun view for portrait."
Hawa_Mahal_Palace_of_Wind,Woodstag,4.0 of 5 bubbles,Oct 2022,Beautiful Historical Palace,Hawa Mahal is a beautiful historical palace located in the Jaipur centre which is connected to and near the family Palace and museum. Its now only accessible to be observed from the outside roadside and to take photos. In the nighttime the lighting provides an awesome sight. Having a pre-arranged guide to provide the history and context is recommended.
Hawa_Mahal_Palace_of_Wind,TravellerFoodie,4.0 of 5 bubbles,Dec 2022 • Couples,Best place in Jaipur for night,Beautiful Hawa Mahal in Jaipur located in the Jaipur city.its very old palace now only accessible from outside to take photos and shoot.inside they are not allowing.the beauty is more in the night as looks awesome in night with the lighting.its near city center. There are other famous places nearby hawa mahal.you can easily get rikshaw for 20 or 30₹ for tour and other places to visit.You can see detailed information in my video
Hawa_Mahal_Palace_of_Wind,AJAYAERON,5.0 of 5 bubbles,Dec 2022,Historical Marvel,Excellent Historical Marvel to visit & experience the amazing Palace of Wind. A must-visit place for everyone and no Skip
Hawa_Mahal_Palace_of_Wind,KittyinLondon,3.0 of 5 bubbles,Dec 2022 • Couples,5 min for photos and you're done,We saw this about 10 times during our stay in Jaipur and a couple of times at night. It's much prettier at night. All you need is 5 min to pose for a photo. We didn't venture inside as people told us it could get very crowded in narrow passageways and there wasn't much to see past the facade. You can get some geat photos from cafe's across the street
