Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Zaveri_Bazaar,Jeff H,3.0 of 5 bubbles,Feb 2020,Good for Locals,"This is a jewel bazzar and they mostly sell indian style jewel. We did not find much that interested us as being Australian. the one store we entered which was large, was very expensive (over priced). But still worth a look around it has some very interesting streets sell most of everything."
Zaveri_Bazaar,David D,3.0 of 5 bubbles,Mar 2020,"Crowded, busy and noisy area in Mumbai","Wednesday 4th March we were out and about exploring and sightseeing in Mumbai. We walked along the labyrinth bustling streets from Crawford Market and we ended here, about 8 minute walk.It is an experience walking the streets, mingling with people pushing laden trolleys and stalls along the road and pavements. Another thing to contend with was the number of motorcycles and the constant sounding of horns and road works.The road and pavements are lined with a variety of shops and stalls with stuff you might not want to buy, but worth a walk about."
Zaveri_Bazaar,Dipika shah,4.0 of 5 bubbles,Nov 2019 • Friends,Ornaments bazaar,Zaveri bazaar is too huge with many shops for gold silver and imitations jewellery..varieties u can see in zaveri bazaar
Zaveri_Bazaar,Allise W,3.0 of 5 bubbles,Jun 2018 • Solo,Was hoping for more variety and styles,"The Zaveri Bazaar mostly has Indian style jewelry--which can be gaudy and ""over the top"" compared to the fashion of many other regions of the world.  I was hoping to find Bali-style or western style jewelry, but there isn't much to be found.  Furthermore, I was hoping for genuine jewelry, but much of the jewelry was fake."
Zaveri_Bazaar,Raaz_Still_Raaz,5.0 of 5 bubbles,Feb 2018,Good for Artificial Jewellery.,Nice place to buy artificial Jewellery and also a good place to visit. This market is itself a heritage. One should be expert in the bargain the price even though some shops have a fixed price list. Great range of ornaments is available here with the latest fashion. 
Zaveri_Bazaar,TravellerMentor,4.0 of 5 bubbles,Jan 2018 • Solo,Good Place for Shoping ornaments!,"This is famous market  for Jewellery shopping in mumbai,gold diamond,Artificial necklace,Zhoomka, finger ring and many more ornaments can be get at the best price from Zaveri bazaar.simply a jewellery  shopping market."
Zaveri_Bazaar,kapurash,4.0 of 5 bubbles,May 2017 • Friends,Jewellery mart of Mumbai,Zaveri bazaar is the place to shop for jewellery.There are a whole host of shops selling different types and designs of jewels. Good place to visit even if for window shopping
Zaveri_Bazaar,salony s,3.0 of 5 bubbles,Dec 2017 • Solo,"crowded and a puzzle, good to see not to buy","do not recommend buying from here unless you know some store through a referral as there are many fake shops as well, hard to filter"
Zaveri_Bazaar,Dipika0401,5.0 of 5 bubbles,Jul 2017 • Family,Best place in Mumbai for buying n selling of jewellery ,"Lots of shops available for gold n diamonds... varieties ul get of gold,, for selling n buying it's amazing... I prefer Zaveri bazaar many times for shopping"
Zaveri_Bazaar,Aartichand,3.0 of 5 bubbles,Oct 2016 • Solo,Jewelry Bazaar,"This is the place to go if one wants to buy and sell any jewelry, be it gold or silver. If one wants to repair or polish go to the smaller shops as they will do your work for you while you wait.It is a very crowded area and its better to use public transport as there is no parking."
Zaveri_Bazaar,Jasmina S,5.0 of 5 bubbles,Dec 2016 • Couples,Good place for buying / selling of jewellery.,"It's a famous bazaar in Mumbai.located near Crawford market.In this place many big & small shop for gold / silver/ real & imitation also.In this market you can by new things & can sell your old stuff or can exchange with new one in good rate.Lot's of varieties in design / latest one.Prices of making are cheaper than showrooms.It is crowded place so be careful for everything.Not suitable for children ,may gets tired.Many shops have very good Goodwill.After shopping / enjoy street food .It is time consuming at least needed 2 to 3 hours.Over & average u will get good stuff."
Zaveri_Bazaar,Yog83,5.0 of 5 bubbles,Jan 2016 • Solo,Nice place in Mumbai,Very crowded area with good market place for everyone.Mainly diamond and jewellery market.Variety of expensive ornaments will find
Zaveri_Bazaar,jane a,4.0 of 5 bubbles,Nov 2016 • Friends,Well worth a look for gold jewe6,"Busy but bearable market with mostly just biked, motorbikes and handcarts to avoid. Felt safe for 2 women. Plenty of small jewellery she's. "
Zaveri_Bazaar,shritimerchant,5.0 of 5 bubbles,Oct 2016 • Solo,jewellery and more!!!,"the area is aptly named as once you enter, there are loads of jewellery shops and then some more. small and big branded shops line both side of the streets and lead into many smaller streets in the area! one can buy everything from imitation, silver, semi precious to gold and diamond jewellery. some shops also buy old silver/ gold ornaments/ items. the streets are very narrow and brimming with people so one needs to be a little careful while walking.we normally buy a gold coin during diwali as per the tradition and normally my dad buys them, but this time i had also saved up some money so decided to buy 1 for myself."
