Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Diwan_e_Khas_Hall_of_Private_Audience,Film G,4.0 of 5 bubbles,Apr 2022 • Couples,Nice to Look At,"When visiting the Palace you’ll see this. Lovely to see. Walk in and stroll around. A visit is 5 minutes, unless you’re an architecture fan."
Diwan_e_Khas_Hall_of_Private_Audience,DP1066,4.0 of 5 bubbles,Mar 2020,A stunning Hall!,"Inside the City Palace, this marble-paved Hall is still in immaculate condition. It was built for the Maharaja to hold audiences with his ministers.  The Hall has two large silver vessels which are reported to be the largest silver objects in the world."
Diwan_e_Khas_Hall_of_Private_Audience,SalimM,4.0 of 5 bubbles,Dec 2019,Hall of Private Audience,Diwan-e-Khas or Hall of Private Audience is considered as the most magnificent part of the glorious Amer Fort. Diwan-e-Khas was the private audience hall of the maharajas who would gather with their advisors and courtesans here. The hall is adorned with marble floors and boasts of the most intricate architectural patterns. The jewels in the crown here are the two huge silver containers on display here. These beautiful silver containers are apparently in the Guinness Book of World Records as the largest silver vessels in the world.
Diwan_e_Khas_Hall_of_Private_Audience,Pankaj P,5.0 of 5 bubbles,Mar 2020 • Friends,Stunning monument,Part of Amber Fort and stunningly decorated.  Get adsense of the grandeur the maharaja's lived in those times.  A must see. 
Diwan_e_Khas_Hall_of_Private_Audience,Memoirs-Sachin,4.0 of 5 bubbles,Sep 2019,The Royals private space,The Diwan-e-Khas Hall of Private Audience is located in the Amber Fort. This section was the private space of the Royal king & his 12 queens. The rooms are beautifully designed to allow personal space & comfort for all.
Diwan_e_Khas_Hall_of_Private_Audience,S B Khare,4.0 of 5 bubbles,Mar 2019,Majestic building in the City Palace Jaipur,"This is a building where the king used to private audience to nobles and special people of his kingdom. It is situated in a very big courtyard. There are two massive silver urns at the entrance. There is an entrance fee. But it is worth it. It will be better if you hire a guide. But be wary of them as their primary interest is to eventually lure you into one of the handicraft, jwellary or ethnic garment shops situated in the palace compound. Be very strict to refuse politely but firmly. Otherwise be very sure to end up buying things which you do not probably need at a high price. "
Diwan_e_Khas_Hall_of_Private_Audience,Charvi_Shah,5.0 of 5 bubbles,Apr 2019 • Couples,Located in City Palace a must visit place if you are in Jaipur,This place is located in the city palace in Jaipur and I must recommend the city palace if you are visiting Jaipur.
Diwan_e_Khas_Hall_of_Private_Audience,Prathamesh Sawant,4.0 of 5 bubbles,Nov 2018 • Solo,"Literally means ""Halls of the royals""","As in most forts, there are a minimum of 2 halls...Diwan-e-Khaas and Diwan-e-Aam. The Khaas signifies royals whereas Aam is for the local people (the subjects)."
Diwan_e_Khas_Hall_of_Private_Audience,rjpriyanka,3.0 of 5 bubbles,Sep 2018 • Couples,Amazing,This hall situated in city palace of Jaipur waa dedicated to the private meetings of royal family with VIPs
Diwan_e_Khas_Hall_of_Private_Audience,One_of_the_BOFs,4.0 of 5 bubbles,Feb 2019 • Couples,Attraction within an attraction ,"This part of the old palace has been put to a different use as it now houses a museum collection of textiles, clothing & weapons. Photography is not permitted inside, but  it’s still worth visiting."
Diwan_e_Khas_Hall_of_Private_Audience,Umang A,3.0 of 5 bubbles,Sep 2018 • Couples,Royal,"Situated in city palace of Jaipur, this part of the fort was used for meetings with VIP delegates..."
