Tourist Attraction,Name,Rating,Date and criteria,Title,Review
NTR_Garden,Andrew D,1.0 of 5 bubbles,Dec 2022 • Solo,For locals only,"There is not much to appreciate for tourists. It is a decent garden with an amusement park, but nothing else really."
NTR_Garden,Global-Bhatakanti,3.0 of 5 bubbles,Nov 2022 • Family,"NTR Garden, good place to spend time","3 Nov 2022: NTR Garden ticket counter. Ticket is INR 20 for adults and free for children below 5 yr. NTR Garden is normally crowded in the evening and almost empty in the morning. Toy train is not working. Min time to spend is 30 min if you don't do any activities. There is paid parking outside. Some things to do are haunted house, typical kids play areas, 3D underwear world. Activity tickets are INR 50 each and combo is 90."
NTR_Garden,lkoraj,4.0 of 5 bubbles,May 2022 • Family,Very good,"Very nice place, full entertainment of family, clean and beautiful garden. Many attractions for kids. A good place to see."
NTR_Garden,Mayank G,4.0 of 5 bubbles,Nov 2021,Good Place to Visit if you are in Hyderabad,NTR Garden is good place to Visit if you are in Hyderabad with your family. Good environment and ambiance.
NTR_Garden,795vidhis,3.0 of 5 bubbles,Jun 2021,Disappointed with the maintenance. Needs a makeover !!,It seems this place is past it's glory days. The place is in definite need of renovation and probably COVID made the things worse. It used to be a favorite place to take kids but I guess now there are far better options to choose from.
NTR_Garden,Shankar I,3.0 of 5 bubbles,Nov 2021,NTR garden - a popular place in Hyderabad,Frequented by lots of people for leisure. The area is well maintained and people have a good time here.
NTR_Garden,Kaushik G,4.0 of 5 bubbles,Dec 2019 • Friends,Beautiful gardens near Hussain Sagar Lake,"This is a beautiful garden created in the memory of the legendary film personality cum leader NTR and we had visited the same during our sightseeing in Hyderabad. This place is located on the banks of Hussain Sagar Lake. We paid 20 rupees per person entrance tickets. Inside there are many paid rides like toy train, swing etc. We walked around the paved walkway in the middle of well maintained manicured lawns, beautiful flowers and fountains. Good to visit this along with Lumbini Park and boating in Hussain Sagar Lake."
NTR_Garden,Ratan,5.0 of 5 bubbles,Mar 2020,Fun,Nice park with water fountain and toy train taking one back to its childhood...and the haunted place..
NTR_Garden,NAZEER SHAIK,3.0 of 5 bubbles,Feb 2020,Place is good,Nice place to visit with family. but no more features to enjoy with kids. infront of sagar is nice to take rest with family
NTR_Garden,prudhvi,5.0 of 5 bubbles,Sep 2019 • Family,Must visiting place in Hyderabad with family or friends,"NTR Gardens, situated on the banks of hussain sagar.Very well maintained.Security checks are good.This is mandatory as more people visit everyday. Visitors number doubles during weekends.Fountains,cradling and many other fun activities for children.Children will definitely enjoy here.stay bit cautious."
NTR_Garden,Him6788,5.0 of 5 bubbles,Dec 2019,Good place to hangout with family,Always a good place to hang around with family at any time of the year and within the city. Next to this there is a play area for Kids
NTR_Garden,Krishna Sandeep Siram,5.0 of 5 bubbles,Nov 2019,Nice Place to Visit,"A memorial of Great Legend Nata Sarvabhouma, Nata Vikhyata Sree Nandamuri Taraka Ramarao (NTR), former chief minister of united Andhra pradesh.A nice garden near to the Hussain sagar road."
NTR_Garden,chaithu k,5.0 of 5 bubbles,Jan 2020 • Friends,Peaceful place,"NTR marg is so pleasant and peaceful area which is N.T Ramarao's memorial. Beside there is small Urban park near by Hussain Sagar lake which is in Hyderabad. Park is located in the centre of the city, and is close to other tourist attractions Birla mandir, Necklace road, Lumbini Park. It maintained by Budha purnima project authority under Telangana Government."
NTR_Garden,CuriousTraveller,5.0 of 5 bubbles,Feb 2019 • Family,There are many tree like artificial structures that are so beautiful.,It is an awesome park with lot of bequtiful artificial trees. There is also one main tree that is very big and also has some thing like a sliding thing for kids. Overall its a must visit place in Necklace road close to L V Prasad Eye max theatre. You can spend the entire Sunday here with your little ones spending time at near by iMax theatre.
NTR_Garden,alpsbt27,4.0 of 5 bubbles,Dec 2019,very beautiful,NTR garden is one of the best places where to visit. who come here always say we will again visit it. it is a really really beautiful place I must say in my diary. and we will also visit here next year.
NTR_Garden,Lokesh1981,5.0 of 5 bubbles,Dec 2019 • Family,Best park in Hyderabad ,"A very big garden cum park in front of Hussain sagar lake, one of the prominent attraction of Hyderabad, one can see Buddha statue and Birla temple both, Nicely maintained, many varieties of flowers, many options for children to play, haunted house, many rides, water tunnel etc, The best part is one toy train which gives a glimpse of entire park, In nutshell best place to enjoy time with family and friends specially kids, "
NTR_Garden,OMKAR PAGADALA,4.0 of 5 bubbles,Jan 2019 • Family,NTR GARDENS,NTR Gardens has a nice atmosphere. The place very much peaceful and calm. We can experience an peaceful climate in a very busy city like Hyderabad.
NTR_Garden,sree143in,4.0 of 5 bubbles,Oct 2019,nice park,Near Hussainsagar lake it is located. a very big garden with lot of big trees and different varities of plants.
NTR_Garden,Shailendra,3.0 of 5 bubbles,Nov 2019 • Family,Average ,"NTR Gardens located next to Hussain sagar lake has lost its charm due to poor maintenance. The toy train and tree house does not work and the park becomes overcrowded on the weekends.On the top of the above, the charge for camera is Rs. 1000/- which is too exorbitant.Overall, an average experience. "
NTR_Garden,Sunil,3.0 of 5 bubbles,Dec 2018 • Friends,Decent garden ,"Not much great garden, it’s ok to visit with family and friends just for fun and one time visit is good"
NTR_Garden,chandrasekhar g,4.0 of 5 bubbles,Aug 2019,Timepass place and fun time,Visited during kharitabad ganesh utsav time.NTR gardens near to kharitabad ganesh utsav.Entry ticket is available.Photography is allowed inside garden.Games are available.
NTR_Garden,Varsha V,3.0 of 5 bubbles,Aug 2019 • Couples,Visit only if you have nothing else to do,"NTR Gardens need a lot of repair and maintenance. After visiting other attractions in Hyderabad, I felt this park is very neglected. The toy train wasn't working, the fountain needed cleaning. Except for the plants nothing seemed lively. But that doesn't stop kids from enjoying. that's the only thing worth visiting there. You will see happy kids all around you. If you have got so much time in your hand, do visit it. Else spend more time in Salar Jung Museum!"
NTR_Garden,Natarajan K,4.0 of 5 bubbles,Sep 2018 • Friends,NTR garden,This garden is located close to Hussain Sagar lake. It was a good place to spend time with family and friends who visits the lake for boating for Short time. It's named after the memory of late Mr. NTR sir. Well maintained by the city corporation. For Kids some few play games available in the park and themes too.
NTR_Garden,Muneer,3.0 of 5 bubbles,Mar 2019,Fun time,It a very beautiful place and full of joy and great service we all are enjoy our best trip with my family and you guys also try it 
NTR_Garden,abrahamsuji,5.0 of 5 bubbles,Jul 2019 • Family,Amazing green space,Best green space in Hyderabad. Easy access. Lots of activity for kids. Endless green space to walk around
