Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Royal_Calcutta_Turf_Club,Shreya Sharma,5.0 of 5 bubbles,Jan 2020,Must visit for serenity,"The place is a member only. If you happen to get the pass, it is an awesome place to experience the luxury."
Royal_Calcutta_Turf_Club,ManojPasari,4.0 of 5 bubbles,Mar 2019 • Friends,Privilege place to dine out,Not available to all since only accessible to members and there guests. The backdrop of Victoria Memorial is just too good. Food being served by Savourites is value for money.
Royal_Calcutta_Turf_Club,Amolak Rattan K,4.0 of 5 bubbles,Jan 2019 • Family,Very popular club which promotes Horse Riding,Had gone there with a friend who is member. Their facilities are very good particularly for horse riding. Their food is tasty and delicious and worth remembering.Governor Amolak Rattan Kohli 
Royal_Calcutta_Turf_Club,tumbleweedchris,4.0 of 5 bubbles,Oct 2018 • Friends,Trashy Turf Club,"After skating by under interstate slums and past beggars, you enter the public area of the local Turf Club. This place is by no means royal or even passable as what most people would consider a nice horse track. There are signs for people not to urinate off the stands into local residential areas, patrons spit, patrons chug 8 oz cups of Coke as if they were beer, and litter is everywhere. The track is by no means a typical race grounds and is a poorly maintained racing surface. There is a pit of bookies making odds and taking bets, all while operating out of briefcases full of cash and recording everything by pencil and paper. This place is truly a one of a kind sight, even if it's not a very pretty one. Therefore, I'm ranking it as a 4 for novelty and curiosity, even though the facilities are a 1 by any other standard. It is also worth noting that it might make women tourists uncomfortable as there likely isn't 10 women in the place at any given time. They also take cell phones at the entrance, but I would just tell people you don't have one because I would not trust any valuables left anywhere here."
Royal_Calcutta_Turf_Club,Rohit B,5.0 of 5 bubbles,Mar 2018 • Friends,Royal Calcutta Turf,"If you have enough money to spend ruthlessly be a member of Royal Calcutta turf, this club offers all sort of premium luxury."
Royal_Calcutta_Turf_Club,Kasturi B,5.0 of 5 bubbles,Jan 2018 • Family,TO BET OR NOT TO BET,I had the opportunity to visit this place on a 1st of January and enjoy the thrill of horse-racing. This place is of great interest for betters and even non-betters like me feel like trying luck sometimes. 
Royal_Calcutta_Turf_Club,VinayLohia,4.0 of 5 bubbles,Jan 2018 • Couples,Great place to me on New Years race day,Its the place to be on first day of the noon during the noon . There are several races happening one after the other . Its an individuals choice if they wanna bet or not . One can also just relax and enjoy the great food thats on offer .
Royal_Calcutta_Turf_Club,Jyoti2101,4.0 of 5 bubbles,Jul 2017 • Family,Activity for Kids other than Mall!!!,"If you are looking out for activity for kids of a different type – other than mall, movies…this is the place to goIf you want regular classes as well for kids aged 8+ they have riding classes and for those just visiting its joy ride on pony. The instructor Ms Martin is very good. Reach there by 3.45 and get your payment etc sorted, the ride starts by 4 – 4.15Kids to wear Full plants and closed shoes, charges are 400 for one ride.They take kids inside for around an hour. They normally don’t allow you to go, you can watch from a tower. But if kids are very small they allow one person to accompany. What I learnt was like we have gears in the car similarly 4 stages of learning horse riding – Walking, trotting, cantering & galloping."
Royal_Calcutta_Turf_Club,Suvarghya,3.0 of 5 bubbles,Jun 2016 • Friends,Horse Racing,This is the place where one can watch horse racing in Kolkata - a well known place among the patrons.
Royal_Calcutta_Turf_Club,bisbani23,4.0 of 5 bubbles,Jan 2017 • Family,"Race Course ,Kolkata","This ground situated near Rabindra Sadan, a famous place in Kolkata. Every Saturday & Sunday horse race done here."
Royal_Calcutta_Turf_Club,973abhishekj,4.0 of 5 bubbles,Jan 2017 • Couples,Derby ,Great atmosphere during races. Vibrant colours among the crowd with lots of mouth watering food in different cusine to opt for. Good place to try your luck with an entertaining experience. 
Royal_Calcutta_Turf_Club,Manujendra R,4.0 of 5 bubbles,Oct 2016 • Friends,Only race course in Kolkata,"The only place in Kolkata where you can bet on horses. Anyone can enter the RCTC by paying a paltry Rs.20 at non member stand. If you wish to keep your mobile phone with you, then you have to pay Rs. 450 per phone or else you can keep the same with the locker room provided by Rctc at the entrance. You can bet in Kolkata races as well as the races which are taking place on that very day in other race courses in India, such as Mumbai, Bangalore, Mysore, Pune etc. You can bet on win/place/second horse pool/ forecast/tanala/trebles/jackpot. The best part is the reaction of the crowd as the horses come to finish line the crowd starts to cheer for the horse in which they had placed their bets. It's a must go for race lovers and a sheer experience for anyone who goes there. It's also one of the happening places in town on 01 January every year with lots of people dressed elegantly at the venue with much fun fare and party like atmosphere."
Royal_Calcutta_Turf_Club,Ritesh Jaiswal,3.0 of 5 bubbles,Oct 2015 • Friends,Want to experience royalty? This is the place,"Look no further if you want to indulge in the old world charm of the city. The lush green lawns, the beautifully maintained bushes and flowers and the frequent polo matches are bound to transport you to the Victorian times."
Royal_Calcutta_Turf_Club,MacKnightRider,4.0 of 5 bubbles,Aug 2016 • Solo,Very popular for horse racing ,This place is very famous for those having interest in horse racing. They conduct various courses for those wanting to ride horses although that has criteria of height and weight. Located in Hastings which is managed by the Indian Army! Is about 10 minutes distance from Maidan Metro Station by car. 
Royal_Calcutta_Turf_Club,vikasmardia,4.0 of 5 bubbles,Jul 2016 • Business,rctc,The icon location of Kolkata owned by army but an excellent place to see horse races and also for horse riding training. has helicopter landing facility also.
Royal_Calcutta_Turf_Club,Clar2107,4.0 of 5 bubbles,Jun 2016 • Family,Private tour,"Thanks to a member of the Turf Club whom we met up with, we were given a special tour of the stables, which was very nice of him to do so. Would have been nice to have visited when there was a race going on!"
Royal_Calcutta_Turf_Club,sudipnandy,5.0 of 5 bubbles,Aug 2015 • Couples,Only place to see horse racing in Kolkata,This is the only place to see horse racing in Kolkata. If you are not a member then the enclosure you are allowed into is not very pleasant. But the horse racing is worth about 1 hour of your time there. Food is available on days of races. On race days its pretty crowded.
Royal_Calcutta_Turf_Club,Rameswar M,4.0 of 5 bubbles,Jul 2015 • Family,R.C.T.C.,"Wonderful exhibit of the Raj Era. Comprises of a rather cheap (and shabby) Main stand, a Grand stand with lift, food and bar. Finally the Member's stand where the elite of the city can be seen. The last has a Fantastic food spread which any 5* joint can boast of."
Royal_Calcutta_Turf_Club,Dishaa S,5.0 of 5 bubbles,Jun 2015 • Couples,horse racing club!!,"one of the premier turf clubs in india, RCTC as the locals call it has horse races every week where anyone can buy tickets and watch it."
Royal_Calcutta_Turf_Club,prasan68,3.0 of 5 bubbles,Jan 2016 • Friends,Good place for New Year's  and Derby races,Love the atmosphere here. But it was sooo crowded and unfortunately hot though it was 10th January. Process of placing bets is also antiquated and cumbersome.
Royal_Calcutta_Turf_Club,JoaniePreston,5.0 of 5 bubbles,Dec 2015 • Couples,Better than Ascot!,We attended the Boxing Day race meeting in 2015 and what a wonderful day we had. My partner did not have a tie so one of the security guys took him to a lady who was selling ties outside and chose the one he should purchase. We were then allowed in and became members for the day. We were made most welcome by the staff and the other racegoers. We bet on all the races and won 3 so were very happy. Would highly recommend a visit
Royal_Calcutta_Turf_Club,sikharesh,4.0 of 5 bubbles,Feb 2016 • Family,Exciting - BUT less involvement unless you know a lot about HORSE,Yeah -Nice experience in winter morningColourful peopleMore colourful Jockey and horseBut who would win and why - is really a very complex calculation.Best way to enjoy - is just to pre fix a budget and play for that.Food is not that good - management should look into it
Royal_Calcutta_Turf_Club,Royjoydeep,3.0 of 5 bubbles,Nov 2015 • Friends,A must for the racing fans,"The only place in Calcutta for those who wish to see some horse racing in a royal setting. Built by the British - it still has its old world charm, which is truly enjoyable especially during the winters."
Royal_Calcutta_Turf_Club,nikitasarrof,5.0 of 5 bubbles,Jan 2016 • Family,trends and style both at one place,"I have been there on 10th January to see derby and it was my first time experience . its fun to attend ,one should have experience if they live in Kolkata .  food available here . you see all type of people here ."
Royal_Calcutta_Turf_Club,Partha Kundu,5.0 of 5 bubbles,Dec 2015,For the love of golf,The second oldest golf club in the world remains a hallowed institution for golfers from all over the world. Lovely greens and a typical English atmosphere makes it a must see.
Royal_Calcutta_Turf_Club,TRAVELLERANUP,5.0 of 5 bubbles,Jan 2016,fun with Luxury,"RCTC is a place to have fun, enjoy and play.I visited RCTC on the beginning of the year out of curiosity.A very large compound and a very decent place.Visiting RCTC gives a total new experience. Lots of people make it a point to visit RCTC on 1st of Jan."
Royal_Calcutta_Turf_Club,ankit815,1.0 of 5 bubbles,Jan 2015 • Family,Luxury with fun,One must visit for not only time pass but also to earn and have fun in great lavish style ine can bet as much as lower 10INR to upto no limit and view from repsective coridor is awsm take pic dont forget to take your glasses 
Royal_Calcutta_Turf_Club,Shourjendra D,4.0 of 5 bubbles,Dec 2015 • Solo,RCTC,"If you love horse racing,then you have to be here someday,if in Kolkata.Surely the bookies den for gambling,but surely no harm will happen if you go there once.I was invited as a guest by somebody and loved the thrilling and charged atmosphere there.Saw a few races and enjoyed myself thoroughlyPlace stinks a bit due to loads of horses and their you know what"
Royal_Calcutta_Turf_Club,vinodkhedkar,4.0 of 5 bubbles,Nov 2015 • Couples,Horce Racing,RCTC is a British legacy to Kolkata. This place is very popular among locals who are interested in horse racing and gambling over it.Lush green ambiance makes this place look wonderful.
