Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Dilkusha_Kothi_Palace,Rohit B,3.0 of 5 bubbles,Oct 2022,Ancient & historic,"Some monuments stand as a piece of our history, with not much to do or see around. Dilkusha Kothi is one such abandoned place, but a nice picture spot for the avid traveller."
Dilkusha_Kothi_Palace,silva s,4.0 of 5 bubbles,Jan 2022,Hidden gem,A piece of forgotten history. We loved the quiet winter morning here. photography lovers will also appreciate the place.
Dilkusha_Kothi_Palace,pilgrim_gsa,4.0 of 5 bubbles,Feb 2020,Oozing with history,This must no be missed for it's ascociation with Awadh history as also 1857 .There are also British graves from that period .
Dilkusha_Kothi_Palace,Tanvi,4.0 of 5 bubbles,Dec 2019 • Family,Visited here with family,If you love history don't miss this place if you are in Lucknow . I visited here with my family and had a good visit .
Dilkusha_Kothi_Palace,Pushpendra M,5.0 of 5 bubbles,May 2019 • Family,HISTORICAL PLACE,If you are history lovers then this place really for you. Its really amazing place and vert attractive.
Dilkusha_Kothi_Palace,Dhyan Chand,5.0 of 5 bubbles,Apr 2019 • Solo,Historical monument ,In a Lucknow cantt Historic monument situated just 5 km from Hajratganj. That is Nabab of Lucknow's temporary resistance when he go hunting. 
Dilkusha_Kothi_Palace,baburammarch25,5.0 of 5 bubbles,Feb 2019 • Solo,Great example of indo- French fusion architecture.,"It is located near the cantonment area of Lucknow, comprising of great Indo- french architecture and massive gardens. Fortunately this place is well maintained!"
Dilkusha_Kothi_Palace,Ashutosh Misra,5.0 of 5 bubbles,Jan 2019 • Family,Dikusha Gardens and Palace in Lucknow,Most of the tourists will surely miss this awesome place. This located right next to Lucknow cantt area and close to posh Vikramaditya Marg in Lucknow. Palace was built by the British with French design for the Nawabs of Lucknow. It's a must visit place if you happen to be in Lucknow. 
Dilkusha_Kothi_Palace,592abck,4.0 of 5 bubbles,Mar 2018 • Family,Nice palace,This palace has a good history and also well maintained. We saw many tourists here who were interested in knowing more.
Dilkusha_Kothi_Palace,Aarav K,4.0 of 5 bubbles,Dec 2017 • Friends,Fantastic,This is a great place to spend some time with your friends. Dilkusha is a very old building in which you will see a lot of things. Have fun by going at least once.
Dilkusha_Kothi_Palace,ashok_shrikhande,5.0 of 5 bubbles,Nov 2017 • Couples,Dilkusha Palace,"The Kothi and its adjoining magnificent garden were created by Nawab Saadat Ali Khan. It is almost an exact replica of an English country house called Seaton Delavel in Northumberland, England, built in 1721.It was initially intended as a hunting lodge for the nawabs although, it was later used as a summer resort too. The building had patterned walls and unusually no inner courtyard.It faced major impact during the first war of independence and hence lies in a less than perfect state with just a few towers and walls standing."
Dilkusha_Kothi_Palace,PD1059,4.0 of 5 bubbles,Apr 2017,Old world charm with garden,It is a great place to visit provided you keep in mind that you need to be secure especially because the place is visited by few people and have a deserted look.
Dilkusha_Kothi_Palace,authorneelesh,5.0 of 5 bubbles,Feb 2017 • Couples,Must go Must see,"Part of the residency complex, the magnificent building now in ruins among lovely landscaped gardens is an integral part of the history of Lucknow.Part of the residecny complex , the review of that will cover this as well"
Dilkusha_Kothi_Palace,pinaki50,3.0 of 5 bubbles,Aug 2016 • Friends,Beauty in ruins,"We had heard about a beautiful well maintained garden called dilkusha gardens but what we saw were remnants of a classic architecture called Dilkusha kothi - a really enormous hunting lodge of yesteryears, now in ruins. Surrounded by a carpet of green n some well maintained colourful foliage this rubbled structure is a mosaic of the past n the present. Worth visiting as it's only short drive from the city centre."
Dilkusha_Kothi_Palace,IndiTales,4.0 of 5 bubbles,Oct 2016 • Business,Handsome ruins,The ruins tell the story of the architecture of Lucknow. Place is absolute ruins but whatever remains is nicely maintained.
Dilkusha_Kothi_Palace,SabujSen,3.0 of 5 bubbles,Oct 2015,War memorial..,Part of the Lucknow residency . It is with in the city and well communicate. It occupies a vast area and it's well maintains. One can get to see the ruins of British colonies which were demolished by our National Freedom fighter. It Carries Some heart wrenching moments during the sepoy mutiny. 
Dilkusha_Kothi_Palace,Ujjwal S,3.0 of 5 bubbles,Oct 2015 • Friends,Nics but not worth the visit.,Its simply a garden.. you can visit lohia park instead .. its better than this.. this place has some historical significance but not worth the expectations.. U ll find only local couples there who want privacy.. not much local people go there..
Dilkusha_Kothi_Palace,Utsav_Garg,4.0 of 5 bubbles,Aug 2015 • Family,Peaceful place,"I have visited this several time and its a nice place to relax, Big gardens with ruins of nawab's monument.Nothing much to see but really good place to relax.Its 4-5KM from hazratganj on Sultanpur road. Its in cantt area."
Dilkusha_Kothi_Palace,Pallavi S,3.0 of 5 bubbles,Nov 2015,Good for a picnic with family,The ruins of the building are surrounded by pretty lawns that are perfect for a picnic. The ruin itself is interesting. You can see what an impressive building it must have been before it was turned to rubble. 
