Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Marine_Drive,DipuKV,5.0 of 5 bubbles,Jan 2023,Beautiful,"Went for early morning and late night walks while staying at a hotel on the drive. Truly representative of the city - people of all ages in high spirits during both day and night, mesmerizing views of the sea on one side and heritage buildings on the other et al!"
Marine_Drive,shakmed,4.0 of 5 bubbles,Oct 2022,So so place.,"Its mind relaxing to sit on its sea-shore boundary along the Marine Drive at the time of sun-set. Its not beach and you cannot approach the sea from here, as it is all blocks-filled and banned."
Marine_Drive,ankur kandoi,5.0 of 5 bubbles,Oct 2022,marine drive during night,its a beautiful place and we fell in love with this place..I visited this place 4times in my visit to Mumbai for 7days..visit it during the night.. there is always a cool breeze coming from the ocean..
Marine_Drive,Radhika Narasimhan,5.0 of 5 bubbles,Oct 2022 • Family,Sunset at marine drive,"My second time visit to the lovely Arabian beach waters on the south side of mumbai. Being a Sunday without much traffic, we reached the beach early than expected. Parking we walked a long way. At the brink of sunset we found a spot to sit and view the lovely beach waters. Calm side of Arabian Sea, covered by palm trees and buildings on one side. At a distance flash mob lights were moving up and down. Being a day before diwali, lights were spilling everywhere. A lovely spot of mumbai."
Marine_Drive,Mihir K Tiwari,4.0 of 5 bubbles,Oct 2022 • Friends,Must go in evening ,I think this place is good in night when you plan to go there then go evening because in evening atmosphere is to good slow air good scene 
Marine_Drive,Your Guide Here,4.0 of 5 bubbles,Oct 2022,Good place to visit frequently if Mumbaikar,"Experience was good but recently places nearby has all been dug up due to metro work , causing a lot of inconvenience."
Marine_Drive,Ritikawill,5.0 of 5 bubbles,Aug 2022 • Friends,Landmark of Mumbai,"You need to note, it's an open space to sit and enjoy, and police font allow you sit after 10pm. So you can visit within that. It's almost 9kms long, you can go for morning jog or evening walk.On weekdays, if all buildings on opposite have lights on, the view is mesmerizing. You cannot touch or go near water. There is a ramp, there you can sit and enjoy some snacks and view."
Marine_Drive,Victor,5.0 of 5 bubbles,Feb 2022 • Friends,Most amazing place,the great beach Pondicherry. If you near Auroville first visit this beach at sunrise time. You get a great experience with warm sun. The sound of the waves will give peace to your mind. But you do not go inner side of the sea very depth. Please don't throw any trach. Please pick your waste things and put into dustbins. Thank you
Marine_Drive,Prithvipal S,5.0 of 5 bubbles,Sep 2022 • Family,Super place ,Nice to visit night time to enjoy sea breez. Do long evening walk each corn 🌽 put lime 🍋juice on it. Enjoy queen👸👑 necklace light
Marine_Drive,rajatjmail,4.0 of 5 bubbles,Jan 2022 • Couples,Wonderful view,I had forgotten how beautiful marine drive looks in the night from top floor of a building. Must visit if you can. Have a chaat to get full Mumbai experience
