Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Priyadarshini_Park,Kunaal zende,5.0 of 5 bubbles,Jan 2022 • Friends,Beautiful garden,"I heard that pdp gets closed till 6pm, now a days early because of omicron virus being, sooh guys want be at their be early enough because its getting close"
Priyadarshini_Park,baburammarch25,4.0 of 5 bubbles,Feb 2020 • Family,Fresh morning,Relaxing and fresh morning which can be enjoyed in deep and fresh wind can be feel here. Big place to see.
Priyadarshini_Park,karthik0410,4.0 of 5 bubbles,Jan 2020,Beautiful sea-side park,"Priyadarshini park is in South Mumbai - very close to the sea. The park is huge and has separate sections for children, senior citizens and has a nice walking / jogging track. Located close to the sea, there is a good breeze at the park and the park is usually crowded during mornings and evenings."
Priyadarshini_Park,Sassydk,5.0 of 5 bubbles,Jan 2020 • Solo,Oxygen unlimited:),"Let me tell you the history I grew up in this area it’s called south mumbai little elitist neighborhood :) this area where they made a park was a dump when I was growing up but they have made a amazing park out if this area ... I was very skeptical about maintenance of this park but kiddos they have done a great job .as in any concrete city there’s limited accessibility to green zones and open area for kids .Its basically your neighborhood  park people come sit make group ,walk ,kids play without any traffic interference and working people come and chill and escape there everyday life troubles.we don’t have that great gyms around so this is the best place to join the gym walk on track or just chill and people watch .its a great place for senior citizens as they all come after there household chores sit and gossip and laugh :)) when I go I just sit there and watch people:) if you are in neighborhood then go check it out but it’s just a local park .My opinion :)If you are far from it then don’t bother in this traffic :)"
Priyadarshini_Park,Jigna J,4.0 of 5 bubbles,Dec 2019,nice place,it has a huge play area for kids and well maintained lawn. It also has walking track and usually lot of people walk in the evenings. The place is near the sea hence has lovely cool breeze to enjoy sitting at the lawn.
Priyadarshini_Park,KRAMA200,5.0 of 5 bubbles,Nov 2019,Excellent Park in Napean Sea Road,"Priya darshini Park is an excellent park will all facilities maintained by Citizens Forum. There are Fields,Gym ,Fitness Centre and Jogging Track.Visited this park in an evening when we visited a relative nearby.Please to see a Park with open space and fresh air in the crowded Mumbai."
Priyadarshini_Park,MNSB,5.0 of 5 bubbles,Jul 2019 • Solo,Good park in Malabar hill area,Priyadarshini park is an excillent walking garden on napean sea road.Touching Arabian sea.It has children playing area and an excillent track.Made and managed by citizen forum Priyadarshini park has a gum and recreation area. Good morning evnying walkers .Sunset is good.
Priyadarshini_Park,Aman K,5.0 of 5 bubbles,Jun 2019 • Solo,An Park For Spend Quality Time with your family and friends,This park is very big and magnificent. There are all the arrangements in the park. You can enjoy it here with your entire family here. There is a separate place for children to play here. There is a separate arrangement for the elders. There is also good management for strollers. The atmosphere here is very good.
Priyadarshini_Park,TrravvelIndia,5.0 of 5 bubbles,Mar 2019 • Couples,Garden with a sea view,This is a huge garden with a sea view of Arabian sea. It is a big garden with a separate jogging/walking lane for morning & evening walkers. There is a huge play area for children.
Priyadarshini_Park,meena1981,4.0 of 5 bubbles,Apr 2019 • Friends,park near Arabian Sea,"Priyadarshini park is a huge park.It has a running track and a fitness centre.There is a concrete running track which is ideal for morning joggers.One can also play basketball or attend aerobics or yoga classes here.There is no entry fee for the park, and anyone can enter. Lush greenery blankets the park offers a serene atmosphere.The park is situated next to the Arabian Sea and serves as an ideal point for viewing sunrise and sunset.It is a perfect place for children who can enjoy a number of activities here."
Priyadarshini_Park,NIDHI A,4.0 of 5 bubbles,May 2019 • Friends,soothing,The park is big and beautiful... the air from the sea is refreshing and relaxing.. it is good for both morning & evening walks..
Priyadarshini_Park,Hitesh S,5.0 of 5 bubbles,Oct 2018 • Family,JOGGING PARK,"jogging park, near sea, now lots of sports activity going on, its open in moring 5 am till 10 pm, worth visiti for relaxing and jogging."
Priyadarshini_Park,lachmanbalani,4.0 of 5 bubbles,Feb 2019 • Family,Serenity within Mumbai's concrete jungle,"A well maintained park in the upscale area of Nepean Sea Road in Mumbai.Suitable for morning/evening walk or jog.Lots of people playing football,cricket,frisbee- you name it. It also boasts a manmade beach along the Arabian Sea coast. Plenty of peace and quiet"
Priyadarshini_Park,JLee,5.0 of 5 bubbles,Jan 2019 • Friends,Sports & Family Park along Arabian Sea Coast,"Priyadarshini Park in upscale the NepeanSea neighborhood is undergoing a progressive improvement program for sports & athletes. Current walking-jogging paths along the Arabian Sea beach side are super for all generations, athletes, leisure. Team sports courts are well maintained. The park is clean, safe and visitors maintain mutual respect for each other. "
Priyadarshini_Park,Nikhil P,4.0 of 5 bubbles,Feb 2019 • Solo,Green place for jogging in morning,"Located at Malabar hills, this small jogging park is a place where I usually take rest in between my hill repeat run practice at Malabar hill and babulnath road. It remains crowded in the evening, however since I run in the morning, I find very few people, mostly dedicated early morning walkers and old persons in the park. During evenings , many times ,one may find young couples occupying corners over here and busy with their public display of affection"
Priyadarshini_Park,KennethSerrao,5.0 of 5 bubbles,Nov 2018,Greenery in the heart of Mumbai,Nicely maintained place which is surprisingly green and not over-crowded (at least on weekends). Worth going to for walks or to play with kids
Priyadarshini_Park,pbhPlymouth,3.0 of 5 bubbles,Jan 2019 • Solo,Relaxing,Well maintained park for adults and children. Great view of the sea and beach. Some interesting planting and structures.
Priyadarshini_Park,BomiPardiwalla,3.0 of 5 bubbles,Jan 2019 • Family,Jog it off,"Its good for a mini jog and a small park, but too crowded on week ends and can get noisy with too many kids. the construction near-by is a nuisance. forget it."
Priyadarshini_Park,Vivek Dhadha,5.0 of 5 bubbles,Jan 2019 • Family,Beautiful Views ,Very beautiful view of the sea specially during the sunsets. One should carry their light snacks to this place for a good experience because there is nothing much to eat around the park.Children can carry their football kit and a couple of games to play here.Amazing experience 
Priyadarshini_Park,charoos,4.0 of 5 bubbles,Apr 2018 • Couples,Ideal for locals,"Situated on the Arabian Sea, in the upscale residential area Napean Sea Road in South Mumbai. It is very well maintained park is very popular amongst the local residents. "
Priyadarshini_Park,Ramakant S,5.0 of 5 bubbles,Nov 2018,Secret Jewel in the Crowd,"This place is well maintained place where you can have a good time with your partner, it is a park that has everything one can ask for, it's best time to visit would be rainy season, but you can go there at any time of the year. This park attracts all types of crowd, you may find someone doing their model shoot or some old people relaxing their time together or even couples who have come to have time together."
Priyadarshini_Park,raghupalat,4.0 of 5 bubbles,Oct 2018 • Friends,Great place to relax,Priyadarshini Park is a great place to go in the mornings or evenings fore a walk or to relax. It is right by the sea and one gets a lovely breeze. In the mornings pets can be taken there too
Priyadarshini_Park,Roving813810,5.0 of 5 bubbles,Sep 2018 • Couples,Perfect place for all,"Recently i visited this place with my partner. Found all things there.U can sit on benches or on grass or on stones.Football ground⚽Jogging placePlace for old age peopleGarden for kidsPlaces for couples, friends and family tooSea-view😍 sun-set😍 Romantic😍 wind😍"
Priyadarshini_Park,Leena N,5.0 of 5 bubbles,Aug 2018,Sea Touch Garden,Its big Sea Touch Park. I like this place very much. You Can seat and watch sunset with cool breeze. Feels so relax 
Priyadarshini_Park,GauravChand,4.0 of 5 bubbles,Jun 2018 • Friends,A great place to go for a walk,Priyadarshani Park is located on Napean Sea Road.  Its also known as PDP.  It is a wonderful place to come for a walk especially during the early mornings or evenings.  Monsoons are an excellent time.  There are several paths and these are all right by the Arabian sea.  The area gets a wonderful sea breeze and is very popular with residents of the area.  There are benches you can sit on or just roam around and laze by the sea.
Priyadarshini_Park,Anand Chaturvedi,4.0 of 5 bubbles,Jul 2018 • Solo,Beautiful garden and sea view,Priyadarshini park is located in a very posh and high class location and connected by all means of transport system. Park is normally maintained by authorities and there is no entry fees. Beautiful lush green lawn and coconut trees gives garden a photogenic view. You can see vast and beautiful Arabian sea from garden. There's small play area for kids where they can enjoy rides. Garden is quite famous amongst college students and local area residents. There's no eatery or canteen inside garden but you can find few food joints nearby. Nearest railway station is Grant Road and bus station is also nearby. Garden is beautiful so carry your camera or mobile phone so that you can take memorable photographs.
Priyadarshini_Park,Gautam Pendharkar,4.0 of 5 bubbles,Jan 2018 • Friends,Park near Sea,"It is one the rare parks which is has a beach and that too a beach with black sand. Though it is quite clean. It was used in number of bollywood movies. The park is quite huge with a running track, sitting area and recreational area, open gym and a tennis court. "
