Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Prinsep_Ghat,Ganesan V,5.0 of 5 bubbles,Oct 2022,Good boating ride,"We can walk along the side of the lake, good walking trail. Best to go in a bigger boat to see Howrah bridge and it costs less as well, feels safe and very comfortable too."
Prinsep_Ghat,Let's Go Sightseeing,5.0 of 5 bubbles,Jul 2022,Magical,"Stand in front of the James Prinsep Memorial with the Vidyasagar Setu as its backdrop. The sky shows its evening colors. The entire effect is magical.James Prinsep pioneered the idea of building a tunnel to drain swamps & decoded the Brahmi script. His Memorial is in the Palladian style – six sets of Ionian columns holding a 40’ white roof.Due to increasing graffiti on the walls, the administration has cordoned off entry inside the Memorial.Sit in the Memorial lawn & then visit the riverside. To get to the Ghat, you've to first cross railway tracks of a railway station called Prinsep Ghat Station. On the other side, stone steps lead to the Ganges.Walking along the Ghat, you can see it's a popular place to meet friends, chat over bhelpuris & watch the Ganges flow. James Prinsep Ghat is a splendid place to evoke – nostalgia, old world charm, life’s calling, spirituality…No entry fees."
Prinsep_Ghat,fitnessmount,5.0 of 5 bubbles,Jan 2022,Perfect place for couple,The Prinsep Ghat and its surroundings are really very beautiful. Especially the view of Vidyasagar Setu from this ghat added extra attraction. This place is also considered a shooting spot. this place is a great place for couples.
Prinsep_Ghat,sudeep912,4.0 of 5 bubbles,Dec 2021,near new bridge,good serene place. nice garden with boating in the near by river. take some good pictures. needs to walk a bit from main road 
Prinsep_Ghat,Anjan Sengupta,5.0 of 5 bubbles,Mar 2021,An emotional connect for me!!,It was December 1992 when my father took me and my brother to show the then newly built Vidyasagar Setu in a bus from my Maternal Grandparents’ place in Norh Kolkata and we were stopped at the entry of the Bridge as pedestrians were not allowed. My father then had discovered the tiny Railway Station at Princep Ghat on the Kolkata Circular Railway to take us back to Dum Dum Junction and then back home.I had an opportunity to visit the same Princep Ghat and the Railway Station after more than 28 years in March 2021 and my mind was full of the memories of that day and my deceased father.Sitting on the banks of the Ganges just adjacent to the Railway Station has an extraordinary feeling altogether. very nice place to spend some time in Kolkata.
Prinsep_Ghat,hossainimam,5.0 of 5 bubbles,Jan 2021 • Couples,Columns,One the oldest places of kolkata.it provides launch or ferry services across river ganges and circular rail service from dumdum junction rail station
Prinsep_Ghat,Parwathi H,5.0 of 5 bubbles,Jan 2020,Beautiful Memorial,This is a beautiful Memorial built by the British Raj to honour a very renowned Anglophile - James Prinsep credited with deciphering the ancient Indian Prakrit script . The memorial is very well maintained. We also took a boat ride in the evening in the Hoogly river which was very enjoyable.
Prinsep_Ghat,Coastal820768,5.0 of 5 bubbles,Feb 2020 • Friends,This is a pretty cool place,"This is a pretty cool place to hangout with friends, with family or with your partner. It's a perfect destination for evenings. I have been to Kolkata many times and every time I get to know a new face of the city. Limited-time can't define the beauty of the city. I like this place especially during the sunset when the natural light amalgamates with man made light sources."
Prinsep_Ghat,Pritam Bhattacharjee,5.0 of 5 bubbles,Jul 2019,Historic Place.,"One of the best historic places of the city, which was once the Capital of India. Located by the Hooghy river, its a great place to relax and chill out and also hang out with friends. This place is also highly recommended for couples; as well as photography."
Prinsep_Ghat,Srikanth_Sudhir,4.0 of 5 bubbles,Mar 2020,A walk and a row,"A well maintained walk with views of the two iconic bridges across the Hoogly. One the the landings afford you the option of taking a boat ride which gives you a better view of the bridges. The boat ride is a bit disappointing though. While it lasts 30 minutes as committed (costs INR400), the distance traveled is negligible, so you are basically shelling out the money to float on the Hoogly for 30 minutes. It still does afford gorgeous photo-opportunities though."
Prinsep_Ghat,Mrudula,5.0 of 5 bubbles,Apr 2019,Ghat,"Prinsep Ghat, located on the banks of River Hooghly,With the magnificent Howrah Bridge in the background."
Prinsep_Ghat,Sea Dweller,4.0 of 5 bubbles,Feb 2020,This is one of the oldest recreational spots of Kolkata.,"Prinsep Ghats is a ghat built in 1841 during the British Raj, along the Kolkata bank of the Hooghly River in India. The Palladian porch in the memory of the eminent Anglo-Indian scholar and antiquary James Prinsep was designed by W. Fitzgerald and constructed in 1843.      The monument to Prinsep is rich in Greek and Gothic inlays. It was restored by the state's public works department in November 2001 and has since been well-maintained."
Prinsep_Ghat,KennethEast,5.0 of 5 bubbles,Jan 2020,Wonderful walk on promenade from Prinsep Ghat along the Hooghly,"Fodor's pitched the walk on the Prinsep Ghat-Babu Ghat Promenade.  Thank you, Fodor's!  It was a wonderful Sunday morning walk along a nicely maintained riverside path where mostly locals were taking a morning outing.  We saw few other non-Indians.  Important tip!  Take a taxi, uber or tuk tuk to the Prinsep Ghat!  We tried to walk through the parks to the Prinsep Ghat.  Looks doable from tourist maps. But the roads along the river are major, elevated, and confusing.  We finally grabbed a cab.  You'll come across many people taking their morning bath in the Hooghly.  There are many small boats for hire along the route.  We didn't hire one, but wish we had.  We later took a river cruise instead, which was a disappointment.  The small oar boats looked more interesting.  There are several places where you can exit the promenade.  We walked past the Eden Gardens and then explored the old colonial area near the General Post Office.  It was a delightful walk and served as our introduction to Kolkata."
Prinsep_Ghat,Mitesh,5.0 of 5 bubbles,Dec 2019 • Friends,So good,"Prinsep Ghat, located on the banks of River Hooghly, is a majestic structure famous for its Greek/ Gothic inlays."
Prinsep_Ghat,Gopal R,4.0 of 5 bubbles,Jan 2020 • Family,A stroll down prinsep ghat,It's a must see on a visit to Kolkatta built in honour of James Prinsep along the bank of the Hoogly river in the 1840s as a monument. Best viewed when the lights come on in the evening. You can stroll down the waterfront from vidyasagar sethu to Howrah Bridge.
Prinsep_Ghat,746ballfamily746,5.0 of 5 bubbles,Jan 2020,Sunset visit,"This is a peaceful and relaxing spot, but best visited at sunset where the atmosphere is enhanced even more! "
Prinsep_Ghat,RameshKN,5.0 of 5 bubbles,Dec 2019,Great place to relax,"Witht he biggest suspended bridge(Vidyasagar setu) of India in the background and river Ganga on its side, good place to sit and relax and especially at night to see the lighted up building and the bridge. Young couples will be romancing on the chairs in the garden, never mind..."
Prinsep_Ghat,RandDtravellers,3.0 of 5 bubbles,Dec 2019,Well restored monument,Interesting to see especially now it's been restored and the area around it smartened up. But not much information.
Prinsep_Ghat,adityainc,5.0 of 5 bubbles,Dec 2019,Must visit in Kolkata,The Princep Ghat is a must visit in Kolkata because of the natural beauty it offers along with great photography experience.
Prinsep_Ghat,iamrhys,5.0 of 5 bubbles,Dec 2019,Good photo op,Not much to see here but it's a good photo opportunity under the bridge when the lighting is just right. Took a walk down to the ghat across the railway line too. 
Prinsep_Ghat,Milita,4.0 of 5 bubbles,Dec 2019 • Friends,Place for couples,A lovely walk along a river. Full of couples. Possible to take a boat ride to relax and enjoy the Ganga. The monument itself is not very exciting. But the trash bins in the park are entertaining (see picture).
Prinsep_Ghat,Franciscus,3.0 of 5 bubbles,Nov 2019,East meets west,"David Prinsep litterally ""bridged"" English and Indian literature. Also nice to see this old monument against the new bridge"
Prinsep_Ghat,Mavis57,3.0 of 5 bubbles,Nov 2019,Strange location for colonial style building,"Dwarfed by the bridge under which it is situated, this almost folly like building is a curiosity. To get to the actual Ghat you have to walk across an unguarded railway line, which seems bizarre and potentially hazardous."
Prinsep_Ghat,Knightcrawlerstudios,5.0 of 5 bubbles,Jan 2019 • Couples,Best place for Photographers,"This place is very good for Photographers and couples, the Ganges gives you a peaceful experience and the beauty of the nature is so well experienced there."
Prinsep_Ghat,Shreya Sharma,5.0 of 5 bubbles,Nov 2019,Must visit in the area,The Princep ghat provides great locations for photography with a very beautiful garden full of life.
Prinsep_Ghat,Debjani Gupta,4.0 of 5 bubbles,Dec 2018 • Family,Prinsep Ghat,"James Prinsep FRS - born on this date 20 Aug...( 20 August 1799 – 22 April 1840) was an English scholar, orientalist and antiquary. He was the founding editor of the Journal of the Asiatic Society of Bengal and is best remembered for deciphering the Kharosthi and Brahmi scripts of ancient India. Prinsep Ghat, a Palladian porch on the bank of the Hooghly River designed by W. Fitzgerald in 1843, was erected in his memory by the citizens of Calcutta."
Prinsep_Ghat,Tanvi,4.0 of 5 bubbles,Sep 2019 • Friends,It's good,We visited here for sunset view .it was good to visit here . The food stalls near it serve amazing fast-food . So don't miss it . Even boating is there ...
Prinsep_Ghat,Nisha,3.0 of 5 bubbles,Sep 2019 • Family,Prinsep bridge,"when we visited renovation work was going on James Prinsep memorial building. Park was almost empty but view of the bridge was good. Watching the bridge in movies, we were able to get full view when we visited Indian Museum. Nothing much to do in james prinsep , so we moved to howrah for better view of hoogly river and howrah bridge"
Prinsep_Ghat,Deepak DB,5.0 of 5 bubbles,Aug 2019,Beautiful and Serene,"In midst of the Cantonment area is this ghat. It is one of the ghats on Hoogly river, Ganges of Bengal. It's a beautiful place to spend an evening with the New Howrah Bridge for back drop. A little ahead of this park is the ghat where one can take a row boat from the fishermen to enjoy the beautiful sights of both the coasts donning multiple ghats. Not to forget the beautiful view of both the worlds New Bridge (suspension) and The Original one made by British (cantilever).Along the boating ghat there are multiple eateries. One has to cross the local railway tracks to get to the ghat of boats.Must visit for all ages"
Prinsep_Ghat,parikshit,4.0 of 5 bubbles,Aug 2019 • Couples,Hard luck ,"During my visit in mid of August this was under renovation which might last few months as it’s seems. So i unable to see it the shape I expected because of renovation work, though even work going on this place is beautiful and I am sure once renovation work is complete this place will be restored to same beauty, it’s a must visit place I feel so give it a try "
Prinsep_Ghat,Upasana chettri,3.0 of 5 bubbles,Aug 2019 • Family,Trip,We here in Kolkata the city of joy for the first time and we went to the princep ghat it is very beautiful place locate in the river bank of Hooghly.
