Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Colaba,DipuKV,5.0 of 5 bubbles,Jan 2023,Beautiful,"Truly representative of the best that South Mumbai has to offer, Colaba gives you amazing views of the sea and buildings of yore!"
Colaba,Andrew D,3.0 of 5 bubbles,Dec 2022 • Solo,Lovely neighbourhood,Colaba has many mansions in the neighborhood and right on the main street it's full of shops and some eateries. I stayed in this area and I am glad I did!
Colaba,Bhakti Somaiya,5.0 of 5 bubbles,Nov 2022 • Solo,Colaba is vibe place,"Colaba is south Mumbai's posh area. It's such a clean neat area all colaba I love the vibes here feel such great iconic structure of buildings safe area for solo traveler and girls also Everything is near by this area gate way of India, market, fashion street and Marine Lines also 🫀"
Colaba,tyagirakg,4.0 of 5 bubbles,Oct 2021,Nice View to Taj Hotel,This place is opposite to Gateway of India and historical and make sense to take picture in front of this. 
Colaba,Sandy_JSR,5.0 of 5 bubbles,Mar 2021,Lively and Diverse Neighborhood,"Colaba is situated at the Southern part of Mumbai, a diverse neighborhood, filled with busy markets, historic monuments, interesting art galleries and educational institute. The famous Gateway of India and Taj Mahal Hotel are located here. The place houses several cafes including Cafe Royal and Leopold Cafe, numerous restaurants from high end to street food, to name a few, Bademiya and Bagdadi restaurants are two known economy eateries, as well as number of modern pubs and clubs. The southern tip is occupied by a military cantonment, including the large Navy Nagar built on reclaimed land. In the midst of Navy Nagar lies the Tata Institute of Fundamental Research (TIFR), one of India's leading scientific institutions. Colaba is also famous for high-end shopping and boutiques to street shopping, including Colaba Causeway. Colaba also houses major art galleries and museums in and around this area and Ragal Cinema, Mani Bhavan etc. To summarize, Colaba is a busy neighborhood offering everything."
Colaba,Munna,5.0 of 5 bubbles,Mar 2021,Best place to spend a day!!,"Colaba is one place where you can spend a day. Be it shopping, sight seeing , restaurant hopping or a mix of all these(which is usually do) , be it anything! You can spend an entire day roaming around this place. When I visited Colaba in 2013(college time), we visited every single shop in the Colaba market looking out for the best of the best available here. Frankly speaking, I got some best stuff at best rates(even at Rs 50) which I still use. If you have time to go through the shops and bargain with the shopkeepers, then Colaba market is one place you shouldn't miss in your shopping list. Second time we visited this place, we did some sight seeing and tried to make some memories. You can enjoy the best sights of Taj Mumbai and Gateway of India in Colaba. (I recommend going here in the morning to get the best experience because it becomes too crowded in the evening ). Coming to food, we have been to Leopold's cafe(yum food + the popularity of being attacked by terrorists in 2008 makes it a must visit place) and Delhi Durbar which servers some average Mughalai and North Indian stuff(the interiors are done like a typical Indian restaurant). Altogether, Colaba is one of the best  places in Mumbai to spend a day with friends, be it walking through the streets or getting some food !! It gives a pleasant experience for tourists. On the way back to the hotel, we spent few hours in Marine Drive, Mumbai in the evening as well which again adds up to the experience!"
Colaba,Biren Singh,5.0 of 5 bubbles,Feb 2021 • Solo,Best place in Mumbai if you ask me.,"This place has so much to offer. Amazing food options, I loved a small time restaurant called Baghdadi. Then there are so many nice cafés with good European dining options. Amazing architecture all around. Walk around in the neighborhood in the evening. Friendly people everywhere. "
Colaba,Pappaloon,5.0 of 5 bubbles,Nov 2020,What a view!,The best place to come in the evening and relax. Amazing view of the Taj Mahal hotel and the Gateway Of India.
Colaba,Iqbal M,5.0 of 5 bubbles,Mar 2020 • Couples,Nice,Colaba is one of the posh area of south mumbai .its great place to explore art gallery 👌then taj mahal hotel .and the beat part is its look like sea is beautiful with the view of gateway of india 
Colaba,igolfCA,4.0 of 5 bubbles,Mar 2020,Interesting area,"This is a large area located in the Southern part of Mumbai consisting of the Gateway of India, the Taj Hotel, waterfront, Sasoon Dock, shops, eateries, museums, and various historic buildings. There is a lot to see and do here.The waterfront has a fish market that is interesting to visit. Many boats are in the area of all shapes and sizes, also interesting to see. We checked out some of the shops but didn’t try any of the street food or eat in any of the restaurants. Conditions seemed iffy to me at many of them.Walking along the streets, there are many old buildings and mansions. Some are beautiful and seem to have been restored, while others are dilapidated and crumbling. Still, it is an area worth seeing and enjoying while in Mumbai."
