Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mayajaal_Entertainment,Vineeth,5.0 of 5 bubbles,Feb 2020,Multiplex for Entertainments,My visit to the Mayajaal was for FROZEN 2. The theatre gave such a wonderful experience. Seating and sound effects were perfect. Eatables are little but expensive. the ground floor is exclusively for gaming and kids. An awesome day I had with my friends.
Mayajaal_Entertainment,Arogya Raj,5.0 of 5 bubbles,Mar 2019,Long lasting multiplex in Chennai,"Great theater experience and the ticket prices are also reasonable.Really worth watching a movie at this theater and worth buying Snacks & eatables which is moderate in prices.Mayajaal has a gaming center and a couple of food ventures, a sixteen screen multiplex, a sports complex and a resort and many more.One of the best place to visit with childrens if they love games.Parking charges is comparatively very low then other malls."
Mayajaal_Entertainment,mageshkumar712,5.0 of 5 bubbles,Sep 2019,nice place to visit,"a good place to visit your whole holidays...and a nice place to shop,dine,watch movies etc.Childrens will love the place very much"
Mayajaal_Entertainment,Kavita Vinod,4.0 of 5 bubbles,Sep 2019,Great Place for Movie Buffs!,"Shopping malls like Mayajaal are making waves in the lives of Chennai People.  It is a good place for stop-over en route to Pondicherry. It's a great place to be in on weekends as it has everything for a family and movie lovers. A parking facility is available.  It has a very beautiful interior done and has good paintings. It is a good place to take selfies with loved ones!Mayajaal is the only Mall having 16 movies Screen. A lot of fun games and electronic rides for small kids including bike, car, and roller ride. A lot of gaming options for kids to enjoy but prices are a little high. One can spend a lovely time watching movies, play games and eat good food.  It is one time to visit this place if you are not accustomed to shopping malls having gaming zones and food court. People staying in metros may not appreciate this on bigger scale. Since it is the only mall available in ECR so people hop on to this place very frequently on weekends."
Mayajaal_Entertainment,Ahamed,5.0 of 5 bubbles,Aug 2019 • Family,Good for kids,"I visit maayajaal with my family (including my 3 year old nephew). We went for a movie first and the theatre and the seat looks pretty good and comfortable. Once the movie is done, we came down to ground floor and it is filled with full of games and kind of electric bike ride for kids. They are charging rs 100 for 4 minutes of bike ride. Though it sounds bit high, it's worth as my nephew enjoyed the ride a lot. In addition to theatres and games, there we have a food court too to satisfy our hunger"
Mayajaal_Entertainment,Amarchand.S,5.0 of 5 bubbles,Jan 2019 • Friends,Theatre,Theatre facility is good and food also good. It was spacious in terms of parking and theatre. Overall theatre was good
Mayajaal_Entertainment,Hari K,4.0 of 5 bubbles,Jan 2019,Visiting,"Very calm and isolated mall. good parking facilities, gaming, food court and movie experience. still price is little bit not acceptable for gaming "
Mayajaal_Entertainment,niki dee,3.0 of 5 bubbles,Feb 2019 • Couples,Only Mall in ECR,Lot of memories associated with this mall since was close to my college. From a tourists perspective a good place to stopover on the highway en route to Pondicherry. Offers to opt for a movie in the theatre. Lot of eat outs as well. Game zone is decent as well. 
Mayajaal_Entertainment,ramakrishnabanoth3,5.0 of 5 bubbles,Jan 2019 • Friends,Flagship theaters.,Good mall with only theaters  of 16 screens and play area for kids.Well designed interior for the look to capture pictures.
Mayajaal_Entertainment,ganapathyex,4.0 of 5 bubbles,Jan 2019 • Friends,Pattai Movie at Mayajaal,"We were group of nine people went for Rajani's pattai movie at Mayajaal multiplex. The screen, screen 7 was really big (compared to other screen in Mayajaal) and the audio quality was above average. The cost of food and beverages were expensive. The place also charge you an hefty amount on parking. Not to forget ECR toll that has to be paid en-route."
