Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Indian_Museum_Ship_Vikrant,MANCHIMASTER,5.0 of 5 bubbles,Dec 2018 • Family,Vikrant,Indian Ship Musuem is at and near Gateway of India named after the first Indian Naval Ship aircraft carrier INS VIKRANT.Interesting place
Indian_Museum_Ship_Vikrant,Sandeepthota,4.0 of 5 bubbles,Oct 2018,Nice Feeling,"Do plan to visit elephanta caves also along with this. Going here, you can also see Taj hotel.Temperature is expected to be humid. Do carry your sunglasses "
Indian_Museum_Ship_Vikrant,antonvanold,1.0 of 5 bubbles,Aug 2018 • Solo,Permanently closed.,"The museum ship Vikrant was originally launched as HMS Hercules on 22 September 1945. It was sold to the Indian Navy, who commissioned the ship 4 March 1961. It was decommissioned on 31 January 1997. the museum was closed after it was deemed unsafe for the public in 2012. The ship was scrapped, commencing on 22 November 2014."
Indian_Museum_Ship_Vikrant,Ashok D,5.0 of 5 bubbles,Jun 2017 • Solo,Nice Experience,It was best experience i had evevBefore meeting place i check it on trip advisor & it help lot to reveal about this place
Indian_Museum_Ship_Vikrant,Shailesh Thumber,2.0 of 5 bubbles,Dec 2016 • Solo,Ttthhdddfh,"Now Indian museum ship is not their, it is recycled by Indian Navy. So further it is not available at site. It is already disposed. And no need to visit further."
Indian_Museum_Ship_Vikrant,thatzamit,4.0 of 5 bubbles,Feb 2016 • Friends,Great,One should visit this place to know historical importance of ship. One can relived the experience of war time here.
Indian_Museum_Ship_Vikrant,thrilladventure,4.0 of 5 bubbles,Jan 2016 • Family,Indian Museum Ship ...Nice,"There is a dedicated section in the museum that provides detailed information about war operations of 1971 and Vikrant's contribution to history.To reach this ship museum, visitors have to take a ferry ride from the dockyard near the Gateway of India.As this ship museum throws light on the glorious war victories of India, it serves as a source of knowledge and fun for children"
Indian_Museum_Ship_Vikrant,Karan440,5.0 of 5 bubbles,Jun 2015,Must visit,Actually this was the war ship which was converted to museum on 2012 during the navy celebrations. This was a British aircraft carrier which was later purchased by the Indian govt for in participation of war with Pakistan. Now this stand here in Mumbai proudly as a witness to that war victory. Here there are no war planes on the deck but one can experience the time pass on those days by stepping on board
Indian_Museum_Ship_Vikrant,Anshul M,4.0 of 5 bubbles,Nov 2015,Mesmerising,Must visit if you are into old heritage stuff. Must visit if you want to see how aircraft carriers look like. Experience the Navy life!
Indian_Museum_Ship_Vikrant,JigDave,4.0 of 5 bubbles,Nov 2015 • Friends,Glimpse to the Vikrant ship,This ship was brought to rest after a long period of service. The ship has been converted to museum now and there are various things to show up for the people every year. A sure do.
Indian_Museum_Ship_Vikrant,BharatKumarKondru,4.0 of 5 bubbles,Aug 2015,"""Warship converted to Museum""",The warship converted to museum and it is open on weekends only which is located near Gate Way of India.It is a very massive aircraft carrier and the feel you get when you are on it is something that can't be defined. 
Indian_Museum_Ship_Vikrant,Sahil852015,4.0 of 5 bubbles,Aug 2015,Amazing time,The one thing you cant miss. Had an amazing times in Mumbai. One must visit once u come to Mumbai. Always spare time for the above
Indian_Museum_Ship_Vikrant,dee_1503,2.0 of 5 bubbles,Jan 2015,dont go!! waste of time and effort,Hyped hyped and hyped is all i can say. none of indias attractions are that good. worth a MISS!!!!!!!!
Indian_Museum_Ship_Vikrant,Vinaytiwari06,5.0 of 5 bubbles,Jun 2015 • Couples,"Amazing , lively and Historical Monument of Indian Pride","One of the great city landmarks. Behind the Taj gateway, there are steps leading down to the water. You can take a ride on a motor launch, for a short cruise that takes you around the harbor- around the now decommissioned aircraft carrier INS Vikrant, or one that heads out to the 9th century Elephanta caves. The caves have been designated a `world heritage site'Was wonderful  with just the image proper with the sun shining on top birds giving attention the taj adding beauty and the boat ride adding fun"
Indian_Museum_Ship_Vikrant,Abhishek Kumar S,5.0 of 5 bubbles,Apr 2015,India's Pride past,A life time experience of being of a real Air craft carrier. Patriotism can be felt by the very presence when on board. 
Indian_Museum_Ship_Vikrant,Nergish2014,4.0 of 5 bubbles,Dec 2014 • Friends,Majestic old carrier!,"This was a British aircraft carrier purchased by the Indian navy and used during the Indian Pakistan conflicts and it now stands proudly in Mumbai harbor as a testament to its wartime heroics. There are no warplanes on the deck now but one can imagine it in its prime as one sails past it on the launch to Alibag,"
Indian_Museum_Ship_Vikrant,Archana001,3.0 of 5 bubbles,Jan 2015 • Friends,Nice place,Indian Museum Ship Vikrant is an aircraft carrier that was opened as a public museum during the Navy Week celebrations of 2012.. Nice place to drop a visit atleast for once.. peaceful.. calm.. and 
Indian_Museum_Ship_Vikrant,UVed,5.0 of 5 bubbles,Dec 2014 • Friends,Floating museum,"This used to be an aircraft carrier war ship that is not coverted to a floating museum in Colaba, South Mumbai. It has one of the most impressive decks and dont miss the old missile collection"
