Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Birla_Planetarium,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Well worth it!,"A 30 min show costs 120 bucks per person (Dec 22). The shows are available in English, Hindi and Bengali. The content is excellent, the planetarium air-conditioned and the entire complex is well-maintained."
Birla_Planetarium,swarup p,5.0 of 5 bubbles,Dec 2021,"Birla Planetarium, one of the must visit places in Kolkata.","Birla Planetarium is the oldest and largest planetarium in Asia. It is popularly called Tara Mandal. There are regular one hour shows on wonders of the universe and on facts about the galaxies held here in three major languages Bengali, Hindi, English. The show is really amazing. Great experience. The Sky Theatre show was just amazing and a different experience all together. The explanation and projection was professional."
Birla_Planetarium,sudeep912,4.0 of 5 bubbles,Dec 2021,planetarium,need better organising to get visitors during covid times. There is so much crowding. otherwise a good experience. need to check language and broadcast.
Birla_Planetarium,Anjan Sengupta,5.0 of 5 bubbles,Mar 2021,Cosmic Collission once again,"This was my second visit to this place and I again was made to watch the same show named ""Cosmic Collisions"", this time in English though. This Planetarium is undoubtedly the best one in India and gives a unique experience about the rich heritage of Kolkata. A must visit for everyone"
Birla_Planetarium,Ritwik Ahuja,5.0 of 5 bubbles,Sep 2021 • Family,Good Experienced,"The M. P. Birla Planetarium in Kolkata, West Bengal, India, is an iconic  structure whose architecture is based on the famous Buddhist Stupa at Sanchi. Situated near Victoria Memorial, it is a landmark in the city of Kolkata."
Birla_Planetarium,Bhaskar_10,4.0 of 5 bubbles,Feb 2021,Landmark Area,"Visited on 11th Feb 2021The location of this landmark is central of Kolkata with Victoria Memorial and St Pauls' Cathedral at walking distances. Shows are timed and also available in different languages like Bengali, Hindi, English and the 40 min show can be enjoyed along with family with children.the landmark is well maintained and there is a fountain with lights during the evening, making it a good day out for families.This place will be part of a landmark area of Kolkata so must visit."
Birla_Planetarium,Parwathi H,5.0 of 5 bubbles,Jan 2020,Birla Planetarium,The Birla Planetarium in Kolkata is the biggest planetarium in India. The planetarium is very well maintained. We had been to a show in English and enjoyed it very much.
Birla_Planetarium,Rasputin21,4.0 of 5 bubbles,Feb 2020,Well maintained and popular with locals.,"I remember visiting this as a child with my father on numerous occasions.  I was pleased to see that it was well maintained and that locals are enjoying it as much as I did.  The shows are excellent.  They used to be in English,  I presume that they are now in Bengali.  The gardens are beautifully maintained and provide photo opportunities for the young.  The fountain in the centre when operating would be worth seeing.  I note that it is clean."
Birla_Planetarium,Mrudula,5.0 of 5 bubbles,Apr 2019,Largest Planetarium,This is the largest planetarium in India and second largest in world. This is one of the popular places to visit to see Buddhist
Birla_Planetarium,Thomast1940,4.0 of 5 bubbles,Feb 2020,A fascinating experience at a modest price,"The first piece of advice is to ensure that you are going to an English showing, otherwise you might be disappointed to see the show in Hindi or Bengali. The times and languages are accessible on the web site. After he queue for tickets there is another one to get in, Once in place, it is clean , comfortable and well organised. Unlike a cinema , seats nearer the project offer a better view. After the show, which lasts about half an hour, there is a gallery running around the auditorium which is well worth lingering over. In fact we had to be gently urged out, so fascinated were we by he many exhibits."
